# event_ticker=KXATPMATCH-25SEP23WATBOR
# final_score=2-6 6-4 6-1
# match_winner=Nuno Borges
# fav_player=Nuno Borges
# dog_player=Yosuke Watanuki
# kalshi_date=2025-09-23
timestamp,Nuno Borges,Yosuke Watanuki
2025-09-24T01:15:00Z,60.00,
2025-09-24T01:19:00Z,60.00,
2025-09-24T01:28:00Z,60.00,
2025-09-24T01:49:00Z,60.00,
2025-09-24T01:52:00Z,60.00,
2025-09-24T02:18:00Z,60.00,
2025-09-24T02:28:00Z,60.00,
2025-09-24T02:40:00Z,60.00,
2025-09-24T02:47:00Z,60.00,41.00
2025-09-24T02:54:00Z,60.00,41.00
2025-09-24T02:55:00Z,60.00,41.00
2025-09-24T03:13:00Z,60.00,41.00
2025-09-24T03:15:00Z,60.00,41.00
2025-09-24T03:17:00Z,63.00,41.00
2025-09-24T03:18:00Z,63.00,41.00
2025-09-24T03:19:00Z,63.00,41.00
2025-09-24T03:20:00Z,63.00,41.00
2025-09-24T03:25:00Z,63.00,41.52
2025-09-24T03:28:00Z,63.00,46.31
2025-09-24T03:33:00Z,68.00,46.31
2025-09-24T03:36:00Z,68.00,43.31
2025-09-24T03:37:00Z,62.17,41.00
2025-09-24T03:40:00Z,62.00,41.00
2025-09-24T03:41:00Z,62.00,41.00
2025-09-24T03:42:00Z,63.00,41.00
2025-09-24T03:43:00Z,63.00,40.00
2025-09-24T03:44:00Z,63.00,40.00
2025-09-24T03:45:00Z,63.00,40.00
2025-09-24T03:47:00Z,63.00,40.00
2025-09-24T03:48:00Z,63.00,40.00
2025-09-24T03:51:00Z,63.00,38.00
2025-09-24T03:52:00Z,63.00,38.71
2025-09-24T03:53:00Z,63.00,40.97
2025-09-24T03:54:00Z,63.00,42.00
2025-09-24T03:55:00Z,61.00,42.00
2025-09-24T03:56:00Z,61.00,42.00
2025-09-24T03:57:00Z,61.00,42.00
2025-09-24T03:58:00Z,61.00,42.00
2025-09-24T03:59:00Z,61.00,42.00
2025-09-24T04:00:00Z,61.00,42.00
2025-09-24T04:01:00Z,61.00,42.00
2025-09-24T04:02:00Z,61.00,42.00
2025-09-24T04:03:00Z,61.00,41.00
2025-09-24T04:04:00Z,60.94,41.00
2025-09-24T04:05:00Z,59.51,41.00
2025-09-24T04:06:00Z,57.87,45.41
2025-09-24T04:07:00Z,48.70,51.55
2025-09-24T04:08:00Z,52.91,45.00
2025-09-24T04:09:00Z,48.10,53.78
2025-09-24T04:10:00Z,43.51,53.01
2025-09-24T04:11:00Z,48.18,50.40
2025-09-24T04:12:00Z,46.00,50.18
2025-09-24T04:13:00Z,47.63,49.05
2025-09-24T04:14:00Z,49.12,51.27
2025-09-24T04:15:00Z,45.50,52.50
2025-09-24T04:16:00Z,45.47,51.42
2025-09-24T04:17:00Z,48.33,51.42
2025-09-24T04:18:00Z,49.34,54.00
2025-09-24T04:19:00Z,46.52,53.04
2025-09-24T04:20:00Z,46.52,48.42
2025-09-24T04:21:00Z,50.00,51.57
2025-09-24T04:22:00Z,44.82,56.59
2025-09-24T04:23:00Z,43.99,57.83
