# event_ticker=KXATPCHALLENGERMATCH-26APR07VASBRA
# final_score=7-5 7-5
# score_resolution=5-7 5-7
# match_winner=Raul Brancaccio
# fav_player=Jacopo Vasami
# dog_player=Raul Brancaccio
# kalshi_date=2026-04-07
timestamp,Jacopo Vasami,Raul Brancaccio
2026-04-07T00:05:00Z,62.00,43.96
2026-04-07T00:32:00Z,67.00,43.96
2026-04-07T01:11:00Z,67.00,43.00
2026-04-07T03:06:00Z,67.00,43.00
2026-04-07T03:18:00Z,67.00,43.00
2026-04-07T03:31:00Z,67.00,32.30
2026-04-07T04:05:00Z,67.00,37.00
2026-04-07T04:15:00Z,67.00,38.00
2026-04-07T04:34:00Z,67.25,38.00
2026-04-07T04:35:00Z,70.00,38.00
2026-04-07T04:36:00Z,70.00,38.00
2026-04-07T04:44:00Z,70.00,38.00
2026-04-07T04:48:00Z,64.31,38.00
2026-04-07T05:14:00Z,69.00,37.00
2026-04-07T05:33:00Z,69.00,37.00
2026-04-07T05:51:00Z,65.00,37.00
2026-04-07T05:56:00Z,65.00,35.00
2026-04-07T05:57:00Z,65.00,37.61
2026-04-07T06:15:00Z,67.00,37.61
2026-04-07T06:25:00Z,67.00,38.00
2026-04-07T06:41:00Z,66.00,38.00
2026-04-07T06:47:00Z,66.00,37.00
2026-04-07T06:49:00Z,66.43,37.00
2026-04-07T06:53:00Z,66.43,38.00
2026-04-07T07:08:00Z,66.43,37.00
2026-04-07T07:29:00Z,66.00,37.00
2026-04-07T07:31:00Z,66.00,35.00
2026-04-07T07:40:00Z,67.00,35.00
2026-04-07T08:15:00Z,67.00,35.00
2026-04-07T09:21:00Z,67.00,35.00
2026-04-07T09:24:00Z,67.00,37.11
2026-04-07T09:35:00Z,69.00,37.11
2026-04-07T09:44:00Z,69.00,37.00
2026-04-07T10:04:00Z,62.02,41.02
2026-04-07T10:05:00Z,62.00,42.00
2026-04-07T10:06:00Z,65.42,35.00
2026-04-07T10:14:00Z,65.42,33.00
2026-04-07T10:15:00Z,70.22,31.51
2026-04-07T10:17:00Z,70.22,28.10
2026-04-07T10:18:00Z,70.22,34.01
2026-04-07T10:19:00Z,70.22,31.14
2026-04-07T10:20:00Z,76.18,26.33
2026-04-07T10:21:00Z,72.88,26.33
2026-04-07T10:22:00Z,73.50,28.00
2026-04-07T10:23:00Z,66.98,32.45
2026-04-07T10:24:00Z,64.50,38.00
2026-04-07T10:25:00Z,64.69,40.00
2026-04-07T10:26:00Z,66.00,37.53
2026-04-07T10:27:00Z,63.67,34.92
2026-04-07T10:28:00Z,67.19,34.92
2026-04-07T10:29:00Z,67.19,33.00
2026-04-07T10:30:00Z,66.00,33.16
2026-04-07T10:31:00Z,63.00,36.00
2026-04-07T10:32:00Z,63.00,33.00
2026-04-07T10:33:00Z,63.00,35.00
2026-04-07T10:34:00Z,70.00,35.00
2026-04-07T10:35:00Z,70.00,31.04
2026-04-07T10:36:00Z,72.00,31.04
2026-04-07T10:37:00Z,72.00,32.00
2026-04-07T10:38:00Z,64.99,36.55
2026-04-07T10:41:00Z,69.00,33.01
2026-04-07T10:42:00Z,69.00,41.00
2026-04-07T10:43:00Z,58.29,41.00
2026-04-07T10:44:00Z,59.00,40.29
2026-04-07T10:45:00Z,65.87,36.83
2026-04-07T10:46:00Z,69.00,33.00
2026-04-07T10:47:00Z,69.00,30.00
2026-04-07T10:48:00Z,74.00,25.59
2026-04-07T10:49:00Z,75.00,26.75
2026-04-07T10:50:00Z,67.53,31.66
2026-04-07T10:51:00Z,67.00,36.70
2026-04-07T10:53:00Z,69.91,36.70
2026-04-07T10:54:00Z,69.91,31.93
2026-04-07T10:56:00Z,72.29,32.51
2026-04-07T10:57:00Z,67.00,32.51
2026-04-07T10:58:00Z,66.58,36.00
2026-04-07T10:59:00Z,66.58,38.00
2026-04-07T11:00:00Z,66.58,31.67
2026-04-07T11:01:00Z,68.00,31.67
2026-04-07T11:02:00Z,68.00,36.00
2026-04-07T11:03:00Z,59.14,40.30
2026-04-07T11:04:00Z,67.00,42.45
2026-04-07T11:05:00Z,62.00,39.47
2026-04-07T11:06:00Z,62.00,36.86
2026-04-07T11:08:00Z,65.94,37.00
2026-04-07T11:09:00Z,66.80,39.55
2026-04-07T11:10:00Z,65.04,36.32
2026-04-07T11:11:00Z,66.29,35.73
2026-04-07T11:12:00Z,55.65,45.67
2026-04-07T11:13:00Z,53.11,46.39
2026-04-07T11:14:00Z,55.42,45.19
2026-04-07T11:15:00Z,48.37,53.72
2026-04-07T11:16:00Z,42.02,58.64
2026-04-07T11:17:00Z,40.05,61.63
2026-04-07T11:18:00Z,32.13,66.02
2026-04-07T11:19:00Z,34.00,66.02
2026-04-07T11:20:00Z,34.92,67.00
2026-04-07T11:21:00Z,35.00,65.43
2026-04-07T11:22:00Z,36.63,63.00
2026-04-07T11:23:00Z,40.59,61.50
2026-04-07T11:24:00Z,41.39,59.00
2026-04-07T11:25:00Z,41.00,66.49
2026-04-07T11:26:00Z,41.62,61.91
2026-04-07T11:27:00Z,44.15,58.42
2026-04-07T11:28:00Z,40.31,58.08
2026-04-07T11:29:00Z,42.13,55.06
2026-04-07T11:30:00Z,43.81,55.32
2026-04-07T11:31:00Z,39.80,65.25
2026-04-07T11:32:00Z,37.13,61.00
2026-04-07T11:33:00Z,44.45,58.81
2026-04-07T11:34:00Z,37.26,65.38
2026-04-07T11:35:00Z,24.43,76.20
2026-04-07T11:36:00Z,20.07,79.97
2026-04-07T11:37:00Z,22.40,81.41
2026-04-07T11:38:00Z,13.69,86.06
2026-04-07T11:39:00Z,12.81,86.49
2026-04-07T11:40:00Z,13.43,90.52
2026-04-07T11:41:00Z,12.43,88.96
2026-04-07T11:42:00Z,17.78,84.92
2026-04-07T11:43:00Z,23.80,82.21
2026-04-07T11:44:00Z,25.72,77.93
2026-04-07T11:45:00Z,38.39,67.98
2026-04-07T11:46:00Z,39.24,62.64
2026-04-07T11:47:00Z,45.58,56.70
2026-04-07T11:48:00Z,42.69,64.42
2026-04-07T11:49:00Z,42.89,59.86
2026-04-07T11:50:00Z,43.00,60.85
2026-04-07T11:51:00Z,37.53,64.33
2026-04-07T11:52:00Z,34.35,66.22
2026-04-07T11:53:00Z,33.00,64.99
2026-04-07T11:54:00Z,34.51,67.25
2026-04-07T11:55:00Z,31.88,75.82
2026-04-07T11:56:00Z,23.81,81.89
2026-04-07T11:57:00Z,14.68,82.34
2026-04-07T11:58:00Z,27.65,71.00
2026-04-07T11:59:00Z,36.77,64.24
2026-04-07T12:00:00Z,41.40,57.31
2026-04-07T12:01:00Z,38.78,59.51
2026-04-07T12:02:00Z,36.92,61.98
2026-04-07T12:03:00Z,32.11,67.04
2026-04-07T12:04:00Z,33.05,69.92
2026-04-07T12:05:00Z,26.79,75.93
2026-04-07T12:06:00Z,15.39,83.59
2026-04-07T12:07:00Z,14.60,87.07
2026-04-07T12:08:00Z,9.03,90.75
2026-04-07T12:09:00Z,9.84,91.46
2026-04-07T12:10:00Z,4.41,93.58
2026-04-07T12:11:00Z,1.17,98.50
2026-04-07T12:12:00Z,1.17,99.00
2026-04-07T12:13:00Z,1.17,99.00
2026-04-07T12:14:00Z,1.00,99.00
2026-04-07T12:15:00Z,1.00,99.00
2026-04-07T12:16:00Z,1.00,99.00
2026-04-07T12:17:00Z,1.00,99.00
