# event_ticker=KXATPCHALLENGERMATCH-26FEB11MARBRA
# final_score=7-6(2) 6-3
# score_resolution=7-6 6-3
# match_winner=Pol Martin Tiffon
# fav_player=Pol Martin Tiffon
# dog_player=Raul Brancaccio
# kalshi_date=2026-02-11
timestamp,Pol Martin Tiffon,Raul Brancaccio
2026-02-10T22:41:00Z,60.00,
2026-02-11T03:10:00Z,60.00,80.00
2026-02-11T04:11:00Z,60.00,80.00
2026-02-11T04:14:00Z,60.00,80.00
2026-02-11T04:39:00Z,60.00,80.00
2026-02-11T04:48:00Z,68.00,80.00
2026-02-11T05:26:00Z,69.10,33.00
2026-02-11T05:33:00Z,73.00,33.00
2026-02-11T05:45:00Z,68.00,79.00
2026-02-11T06:10:00Z,64.02,79.00
2026-02-11T06:51:00Z,63.17,44.00
2026-02-11T07:09:00Z,62.01,44.99
2026-02-11T07:10:00Z,67.67,44.99
2026-02-11T07:23:00Z,67.00,44.99
2026-02-11T07:27:00Z,68.00,44.99
2026-02-11T07:30:00Z,63.00,42.00
2026-02-11T07:36:00Z,63.00,42.00
2026-02-11T07:37:00Z,67.29,42.00
2026-02-11T07:43:00Z,63.00,40.00
2026-02-11T07:48:00Z,68.00,40.00
2026-02-11T07:54:00Z,63.00,41.00
2026-02-11T08:09:00Z,68.00,41.00
2026-02-11T08:13:00Z,63.00,42.00
2026-02-11T08:14:00Z,68.00,42.00
2026-02-11T08:17:00Z,68.00,42.00
2026-02-11T08:22:00Z,67.82,42.00
2026-02-11T08:36:00Z,63.00,42.75
2026-02-11T08:38:00Z,63.00,42.00
2026-02-11T08:46:00Z,63.00,42.84
2026-02-11T08:48:00Z,63.00,42.00
2026-02-11T08:50:00Z,67.95,42.00
2026-02-11T08:52:00Z,63.00,42.00
2026-02-11T08:55:00Z,63.00,42.18
2026-02-11T08:58:00Z,63.00,59.00
2026-02-11T09:06:00Z,67.88,59.00
2026-02-11T09:27:00Z,67.77,59.00
2026-02-11T09:28:00Z,62.77,66.33
