# event_ticker=KXATPCHALLENGERMATCH-26MAR03CARSAK
# final_score=4-6 7-5 3-1 RET
# match_winner=Stefanos Sakellaridis
# fav_player=Lorenzo Carboni
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-03-03
timestamp,Lorenzo Carboni,Stefanos Sakellaridis
2026-03-03T04:23:00Z,,73.00
2026-03-03T04:32:00Z,,73.00
2026-03-03T04:49:00Z,28.00,73.00
2026-03-03T05:15:00Z,28.00,73.00
2026-03-03T05:38:00Z,28.00,73.00
2026-03-03T05:48:00Z,28.00,73.00
2026-03-03T06:12:00Z,30.00,73.00
2026-03-03T06:19:00Z,27.00,73.00
2026-03-03T06:44:00Z,30.00,73.00
2026-03-03T06:50:00Z,30.00,73.00
2026-03-03T07:01:00Z,30.00,73.00
2026-03-03T07:07:00Z,30.00,73.00
2026-03-03T09:01:00Z,30.00,72.00
2026-03-03T10:54:00Z,27.00,72.00
2026-03-03T10:55:00Z,27.00,72.00
2026-03-03T11:29:00Z,29.00,72.00
2026-03-03T12:27:00Z,29.00,72.00
2026-03-03T12:49:00Z,29.00,72.00
2026-03-03T13:22:00Z,29.00,72.00
2026-03-03T13:26:00Z,29.00,72.00
2026-03-03T13:28:00Z,30.00,72.00
2026-03-03T13:33:00Z,30.00,73.00
2026-03-03T13:37:00Z,30.00,73.00
2026-03-03T13:46:00Z,30.00,71.67
2026-03-03T14:15:00Z,30.00,73.00
2026-03-03T14:17:00Z,30.00,73.00
2026-03-03T14:28:00Z,30.00,73.00
2026-03-03T14:32:00Z,29.00,73.00
2026-03-03T14:33:00Z,29.00,73.50
2026-03-03T14:34:00Z,29.00,74.00
2026-03-03T14:40:00Z,29.00,74.00
2026-03-03T14:41:00Z,29.00,74.00
2026-03-03T14:42:00Z,29.00,73.00
2026-03-03T14:43:00Z,29.00,73.96
2026-03-03T14:44:00Z,26.00,75.33
2026-03-03T14:45:00Z,26.00,76.00
2026-03-03T14:46:00Z,26.00,76.08
