# event_ticker=KXATPCHALLENGERMATCH-26MAR06ROCPRA
# final_score=6-3 6-3
# match_winner=Henrique Rocha
# fav_player=Henrique Rocha
# dog_player=Juan Carlos Prado Angelo
# kalshi_date=2026-03-06
timestamp,Henrique Rocha,Juan Carlos Prado Angelo
2026-03-06T01:56:00Z,66.00,
2026-03-06T03:58:00Z,66.00,35.00
2026-03-06T04:00:00Z,68.00,35.00
2026-03-06T04:07:00Z,68.00,34.00
2026-03-06T04:19:00Z,68.00,34.00
2026-03-06T05:01:00Z,68.00,34.00
2026-03-06T05:20:00Z,68.00,34.00
2026-03-06T05:37:00Z,68.00,34.00
2026-03-06T05:51:00Z,68.56,34.00
2026-03-06T05:52:00Z,68.56,31.00
2026-03-06T05:54:00Z,69.00,31.00
2026-03-06T05:57:00Z,69.00,31.00
2026-03-06T06:41:00Z,68.00,31.00
2026-03-06T06:48:00Z,69.06,31.00
2026-03-06T06:50:00Z,70.00,31.00
2026-03-06T06:52:00Z,70.00,31.00
2026-03-06T06:54:00Z,70.00,31.00
2026-03-06T06:56:00Z,70.00,31.00
2026-03-06T07:01:00Z,70.00,33.00
2026-03-06T07:03:00Z,70.00,33.00
2026-03-06T07:04:00Z,70.00,33.00
2026-03-06T07:07:00Z,70.00,33.00
2026-03-06T07:08:00Z,70.00,33.00
2026-03-06T07:10:00Z,70.00,33.00
2026-03-06T07:11:00Z,70.00,33.00
2026-03-06T07:13:00Z,70.00,33.00
2026-03-06T07:18:00Z,70.00,33.00
2026-03-06T07:19:00Z,70.00,33.00
2026-03-06T07:22:00Z,70.00,33.00
2026-03-06T07:23:00Z,70.00,32.00
2026-03-06T07:24:00Z,69.83,32.00
2026-03-06T07:28:00Z,69.75,32.00
2026-03-06T07:29:00Z,69.75,32.00
2026-03-06T07:33:00Z,70.00,32.00
2026-03-06T07:34:00Z,70.00,32.00
2026-03-06T07:39:00Z,69.00,32.00
2026-03-06T07:45:00Z,69.00,32.00
2026-03-06T09:08:00Z,67.53,32.00
2026-03-06T09:25:00Z,69.00,32.00
2026-03-06T10:04:00Z,69.00,32.00
2026-03-06T10:43:00Z,69.00,32.00
2026-03-06T10:45:00Z,69.00,31.00
