# event_ticker=KXATPMATCH-25OCT30CERSIN
# final_score=7-5 6-1
# score_resolution=5-7 1-6
# match_winner=Jannik Sinner
# fav_player=Francisco Cerundolo
# dog_player=Jannik Sinner
# kalshi_date=2025-10-30
timestamp,Francisco Cerundolo,Jannik Sinner
2025-10-30T06:22:00Z,7.00,
2025-10-30T06:23:00Z,7.00,94.00
2025-10-30T06:36:00Z,7.00,94.00
2025-10-30T06:39:00Z,7.00,94.00
2025-10-30T06:45:00Z,7.00,94.00
2025-10-30T06:52:00Z,7.00,94.00
2025-10-30T09:02:00Z,7.00,94.00
2025-10-30T09:11:00Z,7.00,94.00
2025-10-30T09:25:00Z,7.00,94.00
2025-10-30T09:44:00Z,6.00,94.00
2025-10-30T09:52:00Z,7.00,94.00
2025-10-30T09:55:00Z,7.00,94.00
2025-10-30T09:57:00Z,7.00,94.00
2025-10-30T10:01:00Z,7.00,94.00
2025-10-30T10:18:00Z,7.00,94.00
2025-10-30T10:22:00Z,7.00,94.00
2025-10-30T10:37:00Z,7.00,94.00
2025-10-30T10:43:00Z,7.00,94.00
2025-10-30T10:52:00Z,7.00,94.00
2025-10-30T10:55:00Z,7.00,94.00
2025-10-30T11:00:00Z,7.00,94.00
2025-10-30T11:01:00Z,7.00,94.00
2025-10-30T11:02:00Z,7.00,94.00
2025-10-30T11:08:00Z,7.00,94.00
2025-10-30T11:18:00Z,7.00,94.00
2025-10-30T11:23:00Z,7.00,94.00
2025-10-30T11:26:00Z,7.00,94.00
2025-10-30T11:29:00Z,7.10,94.00
2025-10-30T11:33:00Z,8.00,94.00
2025-10-30T11:39:00Z,8.00,94.00
2025-10-30T11:40:00Z,8.00,94.00
2025-10-30T11:44:00Z,7.00,94.00
2025-10-30T12:00:00Z,7.00,94.00
2025-10-30T12:02:00Z,7.00,94.00
2025-10-30T12:04:00Z,7.00,94.00
2025-10-30T12:07:00Z,7.00,94.00
2025-10-30T12:23:00Z,7.00,94.00
2025-10-30T12:30:00Z,7.00,94.00
2025-10-30T12:32:00Z,7.00,94.00
2025-10-30T12:37:00Z,7.00,94.00
2025-10-30T12:38:00Z,7.00,94.00
2025-10-30T12:42:00Z,7.00,94.00
2025-10-30T12:44:00Z,7.00,94.00
2025-10-30T12:50:00Z,7.00,94.00
2025-10-30T12:51:00Z,7.00,94.00
2025-10-30T12:54:00Z,7.00,94.00
2025-10-30T13:03:00Z,7.00,94.00
2025-10-30T13:12:00Z,8.00,94.00
2025-10-30T13:16:00Z,7.00,94.00
2025-10-30T13:18:00Z,7.00,94.00
2025-10-30T13:19:00Z,7.75,94.00
2025-10-30T13:24:00Z,6.00,94.00
2025-10-30T13:25:00Z,8.00,94.00
2025-10-30T13:31:00Z,6.00,94.00
2025-10-30T13:32:00Z,8.00,94.00
2025-10-30T13:36:00Z,8.00,94.00
2025-10-30T13:39:00Z,8.00,94.00
2025-10-30T13:45:00Z,8.00,94.00
2025-10-30T13:53:00Z,8.00,93.00
2025-10-30T13:54:00Z,6.00,93.00
2025-10-30T13:56:00Z,8.00,93.00
2025-10-30T13:58:00Z,8.00,93.00
