# event_ticker=KXATPCHALLENGERMATCH-26APR10NAPSCH
# final_score=3-6 6-1 6-4
# score_resolution=6-3 1-6 4-6
# match_winner=Stefano Napolitano
# fav_player=Tristan Schoolkate
# dog_player=Stefano Napolitano
# kalshi_date=2026-04-10
timestamp,Tristan Schoolkate,Stefano Napolitano
2026-04-10T10:02:00Z,45.00,
2026-04-10T10:03:00Z,45.53,
2026-04-10T10:06:00Z,46.00,
2026-04-10T10:12:00Z,44.00,
2026-04-10T10:13:00Z,44.00,
2026-04-10T10:19:00Z,44.00,
2026-04-10T10:24:00Z,44.00,
2026-04-10T10:29:00Z,44.00,
2026-04-10T11:08:00Z,44.00,56.00
2026-04-10T11:15:00Z,46.00,56.00
2026-04-10T11:16:00Z,46.00,56.00
2026-04-10T11:55:00Z,45.00,56.00
2026-04-10T11:58:00Z,45.00,56.00
2026-04-10T12:11:00Z,45.00,55.00
2026-04-10T12:28:00Z,45.00,55.00
2026-04-10T12:43:00Z,45.00,55.00
2026-04-10T12:56:00Z,45.00,55.00
2026-04-10T13:05:00Z,45.00,55.00
2026-04-10T13:07:00Z,45.00,55.00
2026-04-10T13:09:00Z,45.00,55.00
2026-04-10T13:40:00Z,46.00,55.00
2026-04-10T13:47:00Z,46.00,55.00
2026-04-10T13:58:00Z,46.00,55.00
2026-04-10T13:59:00Z,46.00,55.00
2026-04-10T14:13:00Z,46.00,55.00
2026-04-10T14:19:00Z,46.00,55.00
2026-04-10T14:21:00Z,46.00,54.00
2026-04-10T14:22:00Z,46.00,54.00
2026-04-10T14:24:00Z,46.00,54.00
2026-04-10T14:53:00Z,46.00,54.00
2026-04-10T14:57:00Z,46.00,55.00
2026-04-10T15:06:00Z,46.00,55.18
2026-04-10T15:18:00Z,46.00,55.18
2026-04-10T15:33:00Z,46.00,55.18
2026-04-10T15:47:00Z,46.00,55.18
2026-04-10T15:57:00Z,46.00,56.00
2026-04-10T16:02:00Z,45.00,56.00
2026-04-10T16:24:00Z,45.00,56.00
2026-04-10T16:31:00Z,45.00,56.00
2026-04-10T16:35:00Z,45.00,56.00
2026-04-10T16:38:00Z,45.00,56.00
2026-04-10T16:40:00Z,44.00,56.00
2026-04-10T16:42:00Z,45.00,56.00
2026-04-10T16:51:00Z,45.00,54.00
2026-04-10T16:57:00Z,45.00,54.00
2026-04-10T17:10:00Z,45.00,55.00
2026-04-10T17:15:00Z,45.00,55.00
2026-04-10T17:17:00Z,45.00,55.00
2026-04-10T17:42:00Z,45.00,55.00
2026-04-10T17:43:00Z,45.00,55.00
2026-04-10T17:53:00Z,45.00,55.00
2026-04-10T17:55:00Z,45.00,55.00
2026-04-10T18:05:00Z,45.00,55.00
2026-04-10T18:07:00Z,45.00,55.00
2026-04-10T18:10:00Z,45.00,55.00
