# event_ticker=KXATPCHALLENGERMATCH-26APR21ATLDUR
# final_score=6-4 6-7(5) 6-4
# score_resolution=6-4 6-7 6-4
# match_winner=Bekkhan Atlangeriev
# fav_player=Bekhan Atlangeriev
# dog_player=Viktor Durasovic
# kalshi_date=2026-04-21
timestamp,Bekhan Atlangeriev,Viktor Durasovic
2026-04-21T01:18:00Z,27.00,
2026-04-21T01:50:00Z,27.00,84.00
2026-04-21T02:18:00Z,27.00,84.00
2026-04-21T02:46:00Z,27.00,75.00
2026-04-21T02:47:00Z,23.00,81.00
2026-04-21T02:51:00Z,23.00,75.00
2026-04-21T03:16:00Z,27.00,70.00
2026-04-21T03:39:00Z,27.00,75.93
2026-04-21T03:47:00Z,23.00,81.00
2026-04-21T05:13:00Z,23.00,75.59
2026-04-21T06:17:00Z,23.00,78.00
2026-04-21T07:11:00Z,23.00,78.00
2026-04-21T07:41:00Z,25.00,78.00
2026-04-21T09:03:00Z,27.38,78.00
2026-04-21T09:04:00Z,27.38,77.00
2026-04-21T09:36:00Z,28.00,74.00
2026-04-21T11:20:00Z,28.00,76.00
2026-04-21T11:21:00Z,28.00,74.00
2026-04-21T11:28:00Z,28.40,74.00
2026-04-21T11:47:00Z,29.00,74.00
2026-04-21T12:05:00Z,29.00,72.51
2026-04-21T12:12:00Z,24.50,80.09
2026-04-21T12:16:00Z,21.00,79.38
2026-04-21T12:17:00Z,23.00,79.38
2026-04-21T12:18:00Z,22.51,79.38
2026-04-21T12:19:00Z,26.73,74.46
2026-04-21T12:20:00Z,28.37,72.04
2026-04-21T12:21:00Z,28.37,71.00
2026-04-21T12:22:00Z,28.37,73.00
2026-04-21T12:23:00Z,28.37,73.00
2026-04-21T12:24:00Z,24.47,73.00
2026-04-21T12:25:00Z,28.00,73.00
2026-04-21T12:26:00Z,28.00,73.00
2026-04-21T12:27:00Z,28.00,73.00
2026-04-21T12:29:00Z,28.91,71.00
2026-04-21T12:31:00Z,29.84,69.56
2026-04-21T12:32:00Z,29.84,67.42
2026-04-21T12:33:00Z,28.00,71.55
2026-04-21T12:34:00Z,28.00,73.18
2026-04-21T12:35:00Z,27.00,71.00
2026-04-21T12:38:00Z,35.00,66.00
2026-04-21T12:41:00Z,35.00,64.11
2026-04-21T12:42:00Z,35.72,63.98
2026-04-21T12:43:00Z,29.08,63.98
2026-04-21T12:44:00Z,30.75,69.90
2026-04-21T12:45:00Z,34.00,69.90
2026-04-21T12:46:00Z,34.00,65.65
2026-04-21T12:47:00Z,35.90,68.81
2026-04-21T12:49:00Z,30.76,71.89
2026-04-21T12:50:00Z,33.80,68.46
2026-04-21T12:51:00Z,35.89,68.78
2026-04-21T12:52:00Z,41.71,59.54
2026-04-21T12:53:00Z,46.56,52.16
2026-04-21T12:54:00Z,50.00,52.00
2026-04-21T12:55:00Z,44.31,56.70
2026-04-21T12:56:00Z,47.88,52.83
2026-04-21T12:57:00Z,53.00,55.05
2026-04-21T12:58:00Z,53.00,52.56
2026-04-21T12:59:00Z,43.40,57.00
2026-04-21T13:00:00Z,41.00,57.00
2026-04-21T13:01:00Z,36.92,63.00
2026-04-21T13:02:00Z,36.92,64.00
2026-04-21T13:03:00Z,36.30,60.00
2026-04-21T13:04:00Z,42.00,58.00
2026-04-21T13:05:00Z,44.64,52.00
2026-04-21T13:06:00Z,53.16,44.19
2026-04-21T13:07:00Z,57.33,43.09
2026-04-21T13:08:00Z,62.07,37.72
2026-04-21T13:09:00Z,62.37,33.69
2026-04-21T13:10:00Z,69.92,32.00
2026-04-21T13:11:00Z,69.00,32.00
2026-04-21T13:12:00Z,69.00,32.00
2026-04-21T13:13:00Z,69.00,32.00
2026-04-21T13:14:00Z,69.95,32.00
2026-04-21T13:15:00Z,66.84,33.00
2026-04-21T13:16:00Z,69.82,31.26
2026-04-21T13:17:00Z,72.12,29.88
2026-04-21T13:18:00Z,71.42,31.90
2026-04-21T13:19:00Z,69.92,30.66
2026-04-21T13:20:00Z,72.00,32.00
2026-04-21T13:21:00Z,73.33,27.98
2026-04-21T13:22:00Z,78.00,28.00
2026-04-21T13:23:00Z,70.86,28.05
2026-04-21T13:24:00Z,70.86,32.00
2026-04-21T13:25:00Z,75.00,32.00
2026-04-21T13:26:00Z,76.29,31.00
2026-04-21T13:27:00Z,76.00,29.00
2026-04-21T13:28:00Z,75.94,27.83
2026-04-21T13:29:00Z,79.25,26.08
2026-04-21T13:30:00Z,79.00,26.02
2026-04-21T13:31:00Z,76.00,24.16
2026-04-21T13:32:00Z,75.00,28.35
2026-04-21T13:33:00Z,69.00,30.00
2026-04-21T13:34:00Z,69.00,31.02
2026-04-21T13:35:00Z,69.64,32.75
2026-04-21T13:36:00Z,69.00,35.00
2026-04-21T13:37:00Z,68.72,37.13
2026-04-21T13:38:00Z,61.94,35.82
2026-04-21T13:39:00Z,60.95,41.90
2026-04-21T13:40:00Z,47.30,55.37
2026-04-21T13:41:00Z,49.56,49.00
2026-04-21T13:42:00Z,46.32,55.73
2026-04-21T13:43:00Z,39.54,57.25
2026-04-21T13:44:00Z,44.78,58.00
2026-04-21T13:45:00Z,47.00,55.00
2026-04-21T13:46:00Z,46.41,57.13
2026-04-21T13:47:00Z,38.41,62.00
2026-04-21T13:48:00Z,47.12,52.93
2026-04-21T13:49:00Z,55.51,48.50
2026-04-21T13:50:00Z,56.15,47.09
2026-04-21T13:51:00Z,68.19,29.83
2026-04-21T13:52:00Z,74.00,35.04
2026-04-21T13:53:00Z,56.51,47.68
2026-04-21T13:54:00Z,43.37,56.33
2026-04-21T13:55:00Z,36.69,64.25
2026-04-21T13:56:00Z,35.53,59.50
2026-04-21T13:57:00Z,39.95,57.20
2026-04-21T13:58:00Z,48.45,50.79
2026-04-21T13:59:00Z,68.46,33.39
2026-04-21T14:00:00Z,69.97,32.43
2026-04-21T14:01:00Z,69.40,30.39
2026-04-21T14:02:00Z,59.61,37.88
2026-04-21T14:03:00Z,52.97,49.26
2026-04-21T14:04:00Z,54.03,47.53
2026-04-21T14:05:00Z,52.64,51.67
2026-04-21T14:06:00Z,46.31,51.71
2026-04-21T14:07:00Z,46.19,52.88
2026-04-21T14:08:00Z,59.72,38.31
2026-04-21T14:09:00Z,48.00,53.19
2026-04-21T14:10:00Z,34.62,62.37
2026-04-21T14:11:00Z,36.37,64.16
2026-04-21T14:12:00Z,35.17,65.64
2026-04-21T14:13:00Z,34.43,65.93
2026-04-21T14:14:00Z,35.81,66.58
2026-04-21T14:15:00Z,37.16,64.52
2026-04-21T14:16:00Z,36.87,63.40
2026-04-21T14:17:00Z,36.43,66.55
2026-04-21T14:18:00Z,32.47,67.29
2026-04-21T14:19:00Z,38.55,64.67
2026-04-21T14:20:00Z,34.63,69.43
2026-04-21T14:21:00Z,27.54,68.70
2026-04-21T14:22:00Z,27.47,75.04
2026-04-21T14:23:00Z,29.82,72.04
2026-04-21T14:24:00Z,34.66,65.42
2026-04-21T14:25:00Z,37.66,62.94
2026-04-21T14:26:00Z,37.97,64.67
2026-04-21T14:27:00Z,47.48,61.20
2026-04-21T14:28:00Z,47.70,60.12
2026-04-21T14:29:00Z,46.38,61.79
2026-04-21T14:30:00Z,52.77,58.71
2026-04-21T14:31:00Z,38.48,57.41
2026-04-21T14:32:00Z,47.05,62.09
2026-04-21T14:33:00Z,64.46,35.86
2026-04-21T14:34:00Z,64.55,33.25
2026-04-21T14:35:00Z,65.54,33.95
2026-04-21T14:36:00Z,69.31,31.04
2026-04-21T14:37:00Z,72.78,27.49
2026-04-21T14:38:00Z,72.00,24.97
2026-04-21T14:39:00Z,66.49,30.24
2026-04-21T14:40:00Z,66.49,31.00
2026-04-21T14:41:00Z,69.30,37.29
2026-04-21T14:42:00Z,67.57,31.91
2026-04-21T14:43:00Z,75.52,24.18
2026-04-21T14:44:00Z,74.81,24.60
2026-04-21T14:45:00Z,66.64,33.35
2026-04-21T14:46:00Z,77.89,18.53
2026-04-21T14:47:00Z,78.93,23.06
2026-04-21T14:48:00Z,72.86,27.35
2026-04-21T14:49:00Z,72.48,28.00
2026-04-21T14:50:00Z,68.85,29.46
2026-04-21T14:51:00Z,68.82,31.42
2026-04-21T14:52:00Z,66.64,37.64
2026-04-21T14:53:00Z,63.93,33.26
2026-04-21T14:54:00Z,69.83,44.75
2026-04-21T14:55:00Z,74.86,32.63
2026-04-21T14:56:00Z,83.97,17.14
2026-04-21T14:57:00Z,84.68,16.26
2026-04-21T14:58:00Z,83.26,12.69
2026-04-21T14:59:00Z,87.70,17.32
2026-04-21T15:00:00Z,80.25,17.99
2026-04-21T15:01:00Z,82.00,18.92
2026-04-21T15:02:00Z,72.65,30.89
2026-04-21T15:03:00Z,63.71,43.49
2026-04-21T15:04:00Z,85.36,13.85
2026-04-21T15:05:00Z,98.42,1.83
2026-04-21T15:06:00Z,99.00,1.83
2026-04-21T15:07:00Z,99.00,1.83
2026-04-21T15:08:00Z,99.00,1.83
2026-04-21T15:09:00Z,99.00,1.83
2026-04-21T15:10:00Z,99.00,1.83
2026-04-21T15:11:00Z,99.00,1.83
2026-04-21T15:12:00Z,99.00,1.83
2026-04-21T15:13:00Z,99.00,1.83
