# event_ticker=KXATPCHALLENGERMATCH-26MAR31JASHSU
# final_score=6-4 5-7 6-3
# match_winner=Yu Hsiou Hsu
# fav_player=Yu Hsiou Hsu
# dog_player=Omar Jasika
# kalshi_date=2026-03-31
timestamp,Yu Hsiou Hsu,Omar Jasika
2026-04-01T16:44:00Z,,26.00
2026-04-01T17:56:00Z,75.00,26.00
2026-04-01T18:13:00Z,75.00,26.00
2026-04-01T18:28:00Z,74.00,26.00
2026-04-01T18:29:00Z,74.00,26.00
2026-04-01T18:30:00Z,75.00,26.00
2026-04-01T18:33:00Z,75.00,26.00
2026-04-01T18:39:00Z,75.00,27.00
2026-04-01T19:04:00Z,75.00,27.00
2026-04-01T19:37:00Z,75.00,27.00
2026-04-01T19:52:00Z,74.00,27.00
2026-04-01T20:02:00Z,74.00,27.00
2026-04-01T20:24:00Z,74.00,27.00
2026-04-01T20:49:00Z,74.00,27.00
2026-04-01T20:52:00Z,74.00,27.00
2026-04-01T21:01:00Z,74.00,27.00
2026-04-01T21:57:00Z,74.00,27.00
2026-04-01T22:11:00Z,74.00,27.00
2026-04-01T22:48:00Z,74.00,27.00
2026-04-01T22:57:00Z,74.00,26.00
2026-04-01T23:23:00Z,75.00,26.00
2026-04-01T23:45:00Z,75.00,26.00
2026-04-01T23:47:00Z,75.00,26.00
2026-04-01T23:56:00Z,75.00,26.00
2026-04-02T00:26:00Z,75.00,26.00
2026-04-02T00:39:00Z,75.00,26.00
2026-04-02T00:45:00Z,75.00,26.00
2026-04-02T00:57:00Z,75.00,26.00
2026-04-02T01:05:00Z,75.00,26.00
2026-04-02T01:07:00Z,75.00,25.00
2026-04-02T01:09:00Z,75.00,24.33
2026-04-02T01:18:00Z,75.00,24.33
2026-04-02T01:34:00Z,75.00,26.00
2026-04-02T01:36:00Z,75.00,26.00
2026-04-02T01:47:00Z,75.00,26.00
2026-04-02T01:50:00Z,75.00,26.00
2026-04-02T01:59:00Z,75.00,26.46
2026-04-02T02:00:00Z,75.00,27.00
2026-04-02T02:05:00Z,76.00,26.00
2026-04-02T02:06:00Z,76.00,26.00
2026-04-02T02:07:00Z,76.00,26.00
2026-04-02T02:08:00Z,76.00,26.00
2026-04-02T02:09:00Z,76.00,26.00
2026-04-02T02:10:00Z,76.00,24.52
2026-04-02T02:11:00Z,75.92,23.41
2026-04-02T02:12:00Z,82.61,20.11
2026-04-02T02:13:00Z,84.00,16.23
2026-04-02T02:14:00Z,84.90,14.84
2026-04-02T02:15:00Z,83.83,18.07
2026-04-02T02:16:00Z,83.00,19.00
2026-04-02T02:17:00Z,81.05,18.63
2026-04-02T02:18:00Z,81.00,20.04
2026-04-02T02:19:00Z,75.95,26.65
2026-04-02T02:20:00Z,74.00,24.75
2026-04-02T02:21:00Z,75.73,26.33
2026-04-02T02:22:00Z,69.00,31.95
2026-04-02T02:23:00Z,68.00,33.59
2026-04-02T02:24:00Z,66.98,32.51
2026-04-02T02:25:00Z,74.00,27.91
2026-04-02T02:26:00Z,71.00,26.43
2026-04-02T02:27:00Z,69.20,29.00
2026-04-02T02:28:00Z,76.32,25.40
