# event_ticker=KXATPCHALLENGERMATCH-26MAY11RODSMI
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Colton Smith
# fav_player=Jurij Rodionov
# dog_player=Colton Smith
# kalshi_date=2026-05-11
timestamp,Jurij Rodionov,Colton Smith
2026-05-11T04:23:00Z,,20.00
2026-05-11T05:53:00Z,81.00,20.00
2026-05-11T06:05:00Z,81.00,20.00
2026-05-11T06:10:00Z,81.00,21.00
2026-05-11T07:07:00Z,81.00,21.00
2026-05-11T07:25:00Z,81.00,21.00
2026-05-11T09:51:00Z,81.00,21.00
2026-05-11T10:51:00Z,80.00,21.00
2026-05-11T11:14:00Z,80.00,21.00
2026-05-11T12:00:00Z,80.00,21.00
2026-05-11T12:40:00Z,80.00,21.00
2026-05-11T13:12:00Z,80.00,21.00
2026-05-11T13:53:00Z,80.00,21.00
2026-05-11T14:15:00Z,80.00,21.00
2026-05-11T14:23:00Z,80.00,21.00
2026-05-11T14:53:00Z,80.00,21.00
2026-05-11T14:54:00Z,80.00,22.00
2026-05-11T15:09:00Z,80.00,21.96
2026-05-11T15:14:00Z,80.00,21.00
2026-05-11T15:17:00Z,80.00,23.00
2026-05-11T15:19:00Z,80.00,23.00
2026-05-11T15:23:00Z,80.00,22.09
2026-05-11T15:35:00Z,80.00,20.00
2026-05-11T15:37:00Z,80.00,20.00
2026-05-11T15:47:00Z,80.00,20.00
2026-05-11T15:48:00Z,80.00,20.00
2026-05-11T15:50:00Z,80.00,20.00
2026-05-11T15:51:00Z,80.00,20.99
2026-05-11T15:53:00Z,82.00,20.99
2026-05-11T16:00:00Z,82.00,21.00
2026-05-11T16:01:00Z,80.03,20.66
2026-05-11T16:02:00Z,82.64,17.16
2026-05-11T16:04:00Z,82.64,22.10
2026-05-11T16:05:00Z,77.38,22.90
2026-05-11T16:06:00Z,77.00,23.41
2026-05-11T16:07:00Z,76.30,23.29
2026-05-11T16:08:00Z,76.30,21.00
2026-05-11T16:09:00Z,79.00,21.11
2026-05-11T16:10:00Z,77.00,24.00
2026-05-11T16:11:00Z,77.00,24.83
2026-05-11T16:12:00Z,77.00,24.85
2026-05-11T16:13:00Z,77.01,23.00
2026-05-11T16:14:00Z,76.78,24.00
2026-05-11T16:15:00Z,74.00,25.51
2026-05-11T16:16:00Z,71.07,29.89
2026-05-11T16:17:00Z,69.83,31.89
2026-05-11T16:18:00Z,61.00,35.03
2026-05-11T16:19:00Z,61.08,40.94
2026-05-11T16:20:00Z,64.52,34.02
2026-05-11T16:21:00Z,64.52,35.11
2026-05-11T16:22:00Z,61.00,39.00
2026-05-11T16:23:00Z,56.00,43.48
2026-05-11T16:24:00Z,56.00,45.00
2026-05-11T16:25:00Z,52.82,47.00
2026-05-11T16:26:00Z,53.33,47.44
2026-05-11T16:27:00Z,55.00,45.99
2026-05-11T16:28:00Z,58.00,42.00
2026-05-11T16:29:00Z,58.00,45.47
2026-05-11T16:30:00Z,55.99,43.20
2026-05-11T16:31:00Z,54.43,46.92
2026-05-11T16:32:00Z,52.00,49.00
2026-05-11T16:33:00Z,50.17,50.00
2026-05-11T16:34:00Z,50.17,49.55
2026-05-11T16:35:00Z,49.12,52.71
2026-05-11T16:36:00Z,46.52,56.25
2026-05-11T16:37:00Z,48.73,51.24
