# event_ticker=KXATPMATCH-26FEB11CERMAR
# final_score=7-6(5) 6-4
# score_resolution=6-7 4-6
# match_winner=Pedro Martinez
# fav_player=Juan Manuel Cerundolo
# dog_player=Pedro Martinez
# kalshi_date=2026-02-11
timestamp,Juan Manuel Cerundolo,Pedro Martinez
2026-02-12T06:47:00Z,62.00,
2026-02-12T06:55:00Z,63.00,
2026-02-12T07:03:00Z,63.00,
2026-02-12T07:08:00Z,63.00,
2026-02-12T07:18:00Z,63.00,
2026-02-12T07:23:00Z,63.00,
2026-02-12T07:24:00Z,62.00,38.77
2026-02-12T07:25:00Z,60.00,38.77
2026-02-12T07:28:00Z,61.00,38.77
2026-02-12T07:49:00Z,61.00,40.00
2026-02-12T10:02:00Z,61.00,41.00
2026-02-12T10:05:00Z,60.00,41.00
2026-02-12T10:07:00Z,60.00,41.00
2026-02-12T10:35:00Z,60.98,41.00
2026-02-12T11:27:00Z,60.98,40.00
2026-02-12T12:01:00Z,61.00,40.00
2026-02-12T12:10:00Z,61.00,40.00
2026-02-12T12:27:00Z,61.00,40.00
2026-02-12T12:39:00Z,60.00,40.00
2026-02-12T12:42:00Z,58.91,40.00
2026-02-12T12:43:00Z,60.00,40.00
2026-02-12T12:45:00Z,59.00,40.00
2026-02-12T12:46:00Z,60.00,40.00
2026-02-12T12:58:00Z,60.00,40.00
2026-02-12T13:06:00Z,60.00,40.00
2026-02-12T13:15:00Z,60.00,40.00
2026-02-12T13:26:00Z,60.00,40.00
2026-02-12T13:32:00Z,60.00,40.00
2026-02-12T13:38:00Z,60.00,40.00
2026-02-12T13:42:00Z,60.00,40.00
2026-02-12T13:52:00Z,59.00,40.00
2026-02-12T13:55:00Z,60.00,40.00
2026-02-12T13:57:00Z,61.00,40.00
2026-02-12T14:02:00Z,61.00,40.00
2026-02-12T14:03:00Z,61.00,39.00
2026-02-12T14:04:00Z,61.00,39.00
2026-02-12T14:18:00Z,61.00,39.00
2026-02-12T14:31:00Z,61.00,39.00
