# event_ticker=KXATPCHALLENGERMATCH-26MAY12VALBAL
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Amit Vales
# fav_player=Aditya Vishal Balsekar
# dog_player=Amit Vales
# kalshi_date=2026-05-12
timestamp,Amit Vales,Aditya Vishal Balsekar
2026-05-12T04:19:00Z,,27.00
2026-05-12T05:47:00Z,77.00,27.00
2026-05-12T06:15:00Z,77.00,27.00
2026-05-12T06:45:00Z,77.00,27.00
2026-05-12T08:58:00Z,76.00,26.00
2026-05-12T10:13:00Z,76.00,26.00
2026-05-12T11:06:00Z,76.00,26.00
2026-05-12T11:33:00Z,78.00,26.00
2026-05-12T11:36:00Z,78.00,25.00
2026-05-12T11:38:00Z,78.00,24.80
2026-05-12T11:39:00Z,77.00,25.02
2026-05-12T11:40:00Z,77.00,23.95
2026-05-12T11:42:00Z,85.00,23.95
2026-05-12T11:43:00Z,83.00,23.95
2026-05-12T11:44:00Z,84.00,23.95
2026-05-12T11:48:00Z,83.00,23.95
2026-05-12T11:49:00Z,86.00,23.95
2026-05-12T11:50:00Z,86.00,14.00
2026-05-12T11:51:00Z,86.00,16.00
2026-05-12T11:52:00Z,86.00,16.00
2026-05-12T11:53:00Z,84.00,16.00
2026-05-12T11:54:00Z,83.05,16.00
2026-05-12T11:55:00Z,87.00,16.00
2026-05-12T11:56:00Z,84.00,16.00
2026-05-12T11:57:00Z,83.00,17.00
2026-05-12T11:58:00Z,82.50,17.00
2026-05-12T11:59:00Z,85.00,16.00
2026-05-12T12:00:00Z,85.00,19.77
2026-05-12T12:01:00Z,84.00,16.00
2026-05-12T12:02:00Z,84.00,14.00
2026-05-12T12:03:00Z,87.93,12.86
2026-05-12T12:04:00Z,88.36,11.66
2026-05-12T12:06:00Z,91.00,11.66
2026-05-12T12:07:00Z,92.00,9.00
2026-05-12T12:08:00Z,92.00,7.00
2026-05-12T12:09:00Z,92.00,8.00
2026-05-12T12:10:00Z,91.79,8.00
2026-05-12T12:11:00Z,91.79,8.00
2026-05-12T12:12:00Z,92.03,8.00
2026-05-12T12:13:00Z,93.00,9.00
2026-05-12T12:14:00Z,92.00,10.13
2026-05-12T12:15:00Z,92.44,10.13
2026-05-12T12:16:00Z,94.00,5.40
2026-05-12T12:17:00Z,96.00,4.20
2026-05-12T12:18:00Z,94.00,8.00
2026-05-12T12:20:00Z,92.00,9.00
2026-05-12T12:22:00Z,96.20,9.00
2026-05-12T12:23:00Z,97.00,9.00
2026-05-12T12:24:00Z,98.00,2.00
2026-05-12T12:25:00Z,98.00,2.00
2026-05-12T12:26:00Z,97.00,3.00
2026-05-12T12:28:00Z,98.00,3.00
2026-05-12T12:29:00Z,98.00,3.00
2026-05-12T12:30:00Z,98.99,1.00
2026-05-12T12:31:00Z,98.99,1.00
2026-05-12T12:33:00Z,98.99,1.00
2026-05-12T12:34:00Z,99.00,1.00
2026-05-12T12:37:00Z,99.00,1.00
2026-05-12T12:39:00Z,99.00,1.00
