# event_ticker=KXATPCHALLENGERMATCH-26MAR26MEDSAK
# final_score=6-4 3-6 7-5
# score_resolution=4-6 6-3 5-7
# match_winner=Hamad Medjedovic
# fav_player=Stefanos Sakellaridis
# dog_player=Hamad Medjedovic
# kalshi_date=2026-03-26
timestamp,Stefanos Sakellaridis,Hamad Medjedovic
2026-03-25T21:30:00Z,,76.00
2026-03-25T21:56:00Z,,76.00
2026-03-25T22:13:00Z,,77.00
2026-03-25T23:23:00Z,25.00,77.00
2026-03-25T23:48:00Z,25.00,77.00
2026-03-25T23:51:00Z,25.00,77.00
2026-03-26T01:49:00Z,25.00,77.00
2026-03-26T01:55:00Z,23.00,77.00
2026-03-26T01:57:00Z,23.00,77.00
2026-03-26T02:09:00Z,23.00,77.00
2026-03-26T03:02:00Z,23.00,77.00
2026-03-26T03:07:00Z,23.00,76.00
2026-03-26T03:20:00Z,23.00,76.00
2026-03-26T03:57:00Z,25.00,76.00
2026-03-26T04:01:00Z,23.00,76.00
2026-03-26T04:02:00Z,25.00,76.00
2026-03-26T04:12:00Z,25.00,76.89
2026-03-26T04:20:00Z,23.00,76.89
2026-03-26T04:52:00Z,23.00,77.00
2026-03-26T04:54:00Z,23.00,77.00
2026-03-26T04:58:00Z,23.00,77.00
2026-03-26T05:00:00Z,24.00,77.00
2026-03-26T05:07:00Z,24.00,77.00
2026-03-26T05:13:00Z,24.00,77.00
2026-03-26T05:22:00Z,24.00,76.00
2026-03-26T05:26:00Z,24.00,76.00
2026-03-26T05:40:00Z,24.00,76.00
2026-03-26T05:47:00Z,25.00,76.00
2026-03-26T06:06:00Z,26.00,76.00
2026-03-26T06:07:00Z,26.00,76.00
2026-03-26T06:23:00Z,26.00,76.00
2026-03-26T06:32:00Z,26.00,76.00
2026-03-26T06:38:00Z,26.00,76.00
2026-03-26T06:39:00Z,26.00,76.00
2026-03-26T06:47:00Z,26.00,76.00
2026-03-26T06:48:00Z,26.00,76.00
2026-03-26T09:02:00Z,26.00,76.00
2026-03-26T09:03:00Z,27.00,76.07
2026-03-26T09:04:00Z,27.00,77.00
2026-03-26T09:05:00Z,25.99,77.00
2026-03-26T09:06:00Z,26.00,77.00
2026-03-26T09:07:00Z,25.93,77.00
2026-03-26T09:08:00Z,26.28,77.00
2026-03-26T09:09:00Z,33.25,72.01
2026-03-26T09:10:00Z,32.50,71.48
2026-03-26T09:11:00Z,26.98,75.83
2026-03-26T09:12:00Z,26.22,75.25
2026-03-26T09:13:00Z,22.08,82.59
2026-03-26T09:14:00Z,35.78,74.22
2026-03-26T09:15:00Z,30.56,72.92
2026-03-26T09:16:00Z,32.66,73.10
2026-03-26T09:17:00Z,29.26,71.64
2026-03-26T09:18:00Z,39.39,69.46
2026-03-26T09:19:00Z,28.47,72.88
2026-03-26T09:20:00Z,27.87,74.94
2026-03-26T09:21:00Z,28.78,73.97
2026-03-26T09:22:00Z,30.57,72.29
2026-03-26T09:23:00Z,30.83,71.47
2026-03-26T09:24:00Z,27.40,73.35
2026-03-26T09:25:00Z,24.42,76.43
2026-03-26T09:26:00Z,25.61,76.49
2026-03-26T09:27:00Z,27.41,75.52
2026-03-26T09:28:00Z,27.26,74.01
2026-03-26T09:29:00Z,26.42,74.01
2026-03-26T09:30:00Z,24.47,77.06
2026-03-26T09:31:00Z,16.57,82.59
