# event_ticker=KXATPMATCH-25OCT14BUDCIL
# final_score=7-5 6-3
# score_resolution=5-7 3-6
# match_winner=Marin Cilic
# fav_player=Nicolai Budkov Kjaer
# dog_player=Marin Cilic
# kalshi_date=2025-10-14
timestamp,Nicolai Budkov Kjaer,Marin Cilic
2025-10-14T03:30:00Z,,52.00
2025-10-14T03:37:00Z,,52.00
2025-10-14T03:39:00Z,49.00,52.00
2025-10-14T03:44:00Z,50.00,52.00
2025-10-14T04:45:00Z,50.00,52.00
2025-10-14T04:47:00Z,50.00,52.00
2025-10-14T04:48:00Z,50.00,52.00
2025-10-14T05:01:00Z,50.00,52.00
2025-10-14T05:05:00Z,50.00,52.00
2025-10-14T05:11:00Z,50.00,52.00
2025-10-14T05:17:00Z,50.00,52.00
2025-10-14T05:48:00Z,50.00,52.00
2025-10-14T05:56:00Z,50.00,52.00
2025-10-14T06:00:00Z,49.00,52.00
2025-10-14T06:01:00Z,51.00,52.00
2025-10-14T06:03:00Z,51.00,52.00
2025-10-14T06:05:00Z,51.00,52.00
2025-10-14T06:12:00Z,51.00,49.00
2025-10-14T06:29:00Z,51.00,49.00
2025-10-14T06:31:00Z,50.00,49.00
2025-10-14T07:04:00Z,51.00,49.00
2025-10-14T07:12:00Z,52.00,49.00
2025-10-14T07:17:00Z,52.00,49.00
2025-10-14T07:19:00Z,52.00,49.00
2025-10-14T07:20:00Z,52.00,48.00
2025-10-14T08:08:00Z,52.00,48.00
2025-10-14T08:12:00Z,52.00,48.00
2025-10-14T08:19:00Z,53.00,48.00
2025-10-14T08:33:00Z,53.00,48.00
2025-10-14T08:36:00Z,53.00,48.00
2025-10-14T08:38:00Z,53.00,49.00
2025-10-14T08:55:00Z,52.71,49.00
2025-10-14T08:58:00Z,52.57,49.00
2025-10-14T09:12:00Z,52.00,49.00
2025-10-14T09:23:00Z,52.00,48.00
2025-10-14T09:31:00Z,52.00,48.00
2025-10-14T09:41:00Z,52.00,48.00
2025-10-14T09:56:00Z,52.00,49.00
2025-10-14T10:00:00Z,52.00,49.00
2025-10-14T10:12:00Z,52.00,49.00
2025-10-14T10:20:00Z,52.00,49.00
2025-10-14T10:27:00Z,52.00,49.00
2025-10-14T10:35:00Z,52.00,49.00
2025-10-14T11:05:00Z,52.00,49.00
2025-10-14T11:15:00Z,52.00,49.00
2025-10-14T11:40:00Z,52.00,49.00
