# event_ticker=KXATPCHALLENGERMATCH-26APR28REHCUE
# final_score=7-6(7) 6-2
# score_resolution=6-7 2-6
# match_winner=Max Hans Rehberg
# fav_player=Sean Cuenin
# dog_player=Max Hans Rehberg
# kalshi_date=2026-04-28
timestamp,Max Hans Rehberg,Sean Cuenin
2026-04-27T21:31:00Z,,29.00
2026-04-27T21:39:00Z,68.00,29.00
2026-04-27T22:25:00Z,68.00,29.00
2026-04-28T03:15:00Z,67.00,29.00
2026-04-28T04:50:00Z,67.00,34.00
2026-04-28T05:36:00Z,67.00,34.00
2026-04-28T05:45:00Z,67.93,34.00
2026-04-28T05:53:00Z,68.00,34.00
2026-04-28T05:55:00Z,68.00,33.00
2026-04-28T06:29:00Z,68.00,34.00
2026-04-28T06:31:00Z,68.00,34.00
2026-04-28T06:38:00Z,68.00,34.00
2026-04-28T06:47:00Z,67.00,34.00
2026-04-28T07:08:00Z,67.00,35.00
2026-04-28T07:24:00Z,67.00,38.13
2026-04-28T07:36:00Z,67.00,38.00
2026-04-28T07:37:00Z,64.69,38.00
2026-04-28T08:37:00Z,65.00,38.00
2026-04-28T08:52:00Z,65.00,38.00
2026-04-28T08:59:00Z,65.00,38.23
2026-04-28T09:17:00Z,58.19,41.92
2026-04-28T09:18:00Z,59.15,40.61
2026-04-28T09:19:00Z,55.00,46.24
2026-04-28T09:20:00Z,55.00,50.00
2026-04-28T09:21:00Z,52.00,49.00
2026-04-28T09:22:00Z,52.00,51.61
2026-04-28T09:23:00Z,48.00,51.61
2026-04-28T09:24:00Z,44.87,55.00
2026-04-28T09:25:00Z,44.87,59.00
2026-04-28T09:26:00Z,44.87,63.04
2026-04-28T09:27:00Z,44.87,66.02
2026-04-28T09:28:00Z,34.57,68.16
2026-04-28T09:29:00Z,37.40,61.40
2026-04-28T09:30:00Z,38.33,59.31
2026-04-28T09:31:00Z,44.46,54.01
2026-04-28T09:32:00Z,46.97,54.00
2026-04-28T09:33:00Z,46.97,55.00
2026-04-28T09:34:00Z,45.00,55.00
2026-04-28T09:36:00Z,45.00,53.55
2026-04-28T09:37:00Z,45.00,53.00
2026-04-28T09:39:00Z,45.00,55.32
2026-04-28T09:41:00Z,45.00,56.00
2026-04-28T09:42:00Z,45.00,56.00
2026-04-28T09:44:00Z,43.00,57.84
2026-04-28T09:45:00Z,45.99,57.41
2026-04-28T09:46:00Z,51.38,45.43
2026-04-28T09:47:00Z,51.64,49.22
2026-04-28T09:48:00Z,50.08,49.16
2026-04-28T09:49:00Z,49.00,49.00
2026-04-28T09:50:00Z,53.17,48.55
2026-04-28T09:51:00Z,43.16,56.07
2026-04-28T09:52:00Z,42.00,58.00
2026-04-28T09:53:00Z,43.80,57.00
2026-04-28T09:54:00Z,44.00,57.00
2026-04-28T09:55:00Z,44.02,55.45
2026-04-28T09:56:00Z,44.02,53.00
2026-04-28T09:57:00Z,44.00,55.68
2026-04-28T09:58:00Z,41.43,59.30
2026-04-28T09:59:00Z,37.43,59.30
2026-04-28T10:00:00Z,43.87,54.38
2026-04-28T10:01:00Z,55.07,43.75
2026-04-28T10:02:00Z,68.00,34.20
2026-04-28T10:03:00Z,68.33,30.00
2026-04-28T10:04:00Z,71.24,29.00
2026-04-28T10:05:00Z,72.49,28.40
2026-04-28T10:06:00Z,73.00,28.40
2026-04-28T10:07:00Z,73.00,29.00
2026-04-28T10:08:00Z,73.00,32.52
2026-04-28T10:09:00Z,73.00,38.06
2026-04-28T10:10:00Z,73.00,36.33
2026-04-28T10:11:00Z,74.57,28.08
2026-04-28T10:12:00Z,73.63,27.10
2026-04-28T10:13:00Z,78.61,19.85
2026-04-28T10:14:00Z,83.94,16.05
2026-04-28T10:15:00Z,83.94,17.00
2026-04-28T10:16:00Z,80.25,20.27
2026-04-28T10:17:00Z,70.81,27.65
2026-04-28T10:18:00Z,69.55,30.26
2026-04-28T10:19:00Z,70.00,29.16
2026-04-28T10:20:00Z,77.88,18.86
2026-04-28T10:21:00Z,83.00,17.00
2026-04-28T10:22:00Z,84.00,17.00
2026-04-28T10:23:00Z,83.54,17.00
2026-04-28T10:24:00Z,83.54,16.48
2026-04-28T10:25:00Z,84.00,16.48
2026-04-28T10:26:00Z,85.16,15.00
2026-04-28T10:27:00Z,85.16,16.12
2026-04-28T10:29:00Z,87.00,12.39
2026-04-28T10:30:00Z,92.56,11.36
2026-04-28T10:31:00Z,92.56,8.00
2026-04-28T10:32:00Z,93.00,5.92
2026-04-28T10:34:00Z,95.00,4.57
2026-04-28T10:35:00Z,95.96,4.18
2026-04-28T10:36:00Z,95.96,5.00
2026-04-28T10:37:00Z,97.99,2.00
2026-04-28T10:38:00Z,97.00,2.00
2026-04-28T10:40:00Z,99.00,3.00
2026-04-28T10:41:00Z,99.00,2.01
2026-04-28T10:42:00Z,98.98,1.54
2026-04-28T10:44:00Z,97.44,2.00
2026-04-28T10:45:00Z,97.00,2.75
2026-04-28T10:46:00Z,97.00,3.76
2026-04-28T10:47:00Z,97.87,3.47
2026-04-28T10:48:00Z,96.95,5.64
2026-04-28T10:49:00Z,96.96,5.00
2026-04-28T10:50:00Z,97.87,1.37
2026-04-28T10:51:00Z,99.00,1.07
2026-04-28T10:53:00Z,99.00,1.00
2026-04-28T10:54:00Z,98.00,3.00
2026-04-28T10:55:00Z,98.95,1.50
2026-04-28T10:56:00Z,99.00,1.08
2026-04-28T10:58:00Z,99.00,2.00
2026-04-28T10:59:00Z,99.00,2.00
