# event_ticker=KXATPMATCH-25OCT20SONDAV
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Alejandro Davidovich Fokina
# fav_player=Alejandro Davidovich Fokina
# dog_player=Lorenzo Sonego
# kalshi_date=2025-10-20
timestamp,Alejandro Davidovich Fokina,Lorenzo Sonego
2025-10-20T03:30:00Z,70.00,
2025-10-20T03:34:00Z,69.00,
2025-10-20T03:37:00Z,69.00,
2025-10-20T03:44:00Z,69.00,
2025-10-20T03:56:00Z,70.30,
2025-10-20T04:01:00Z,70.30,42.00
2025-10-20T04:14:00Z,67.63,41.00
2025-10-20T04:18:00Z,60.00,41.00
2025-10-20T04:19:00Z,60.00,41.00
2025-10-20T04:30:00Z,60.00,41.50
2025-10-20T04:33:00Z,59.00,41.50
2025-10-20T04:42:00Z,59.00,41.50
2025-10-20T04:44:00Z,60.00,41.50
2025-10-20T04:45:00Z,60.00,40.00
2025-10-20T04:49:00Z,60.00,40.00
2025-10-20T05:02:00Z,60.00,40.00
2025-10-20T05:05:00Z,60.00,40.00
2025-10-20T05:09:00Z,60.00,40.00
2025-10-20T05:10:00Z,60.00,40.00
2025-10-20T05:11:00Z,60.00,40.00
2025-10-20T05:16:00Z,60.00,40.00
2025-10-20T05:34:00Z,60.00,40.00
2025-10-20T05:40:00Z,60.00,42.00
2025-10-20T05:49:00Z,60.00,42.00
2025-10-20T05:53:00Z,60.00,42.00
2025-10-20T05:56:00Z,60.00,42.00
2025-10-20T06:13:00Z,60.00,42.00
2025-10-20T06:21:00Z,60.00,42.00
2025-10-20T06:24:00Z,60.00,42.00
2025-10-20T06:27:00Z,60.00,42.00
2025-10-20T06:37:00Z,60.00,42.00
2025-10-20T06:51:00Z,60.00,42.00
2025-10-20T06:52:00Z,60.00,42.00
2025-10-20T06:59:00Z,60.00,42.00
2025-10-20T07:02:00Z,60.00,42.00
2025-10-20T07:05:00Z,60.00,42.00
2025-10-20T07:13:00Z,60.00,42.00
