# event_ticker=KXATPCHALLENGERMATCH-26MAR21CADMID
# final_score=4-6 6-1 6-0
# score_resolution=6-4 1-6 0-6
# match_winner=Gianluca Cadenasso
# fav_player=Lautaro Midon
# dog_player=Gianluca Cadenasso
# kalshi_date=2026-03-21
timestamp,Lautaro Midon,Gianluca Cadenasso
2026-03-21T13:54:00Z,,62.00
2026-03-21T14:09:00Z,40.00,62.00
2026-03-21T14:48:00Z,40.00,62.00
2026-03-21T14:49:00Z,40.00,62.00
2026-03-21T14:50:00Z,40.00,63.00
2026-03-21T14:51:00Z,40.00,63.00
2026-03-21T15:07:00Z,40.00,63.00
2026-03-21T15:21:00Z,40.00,63.00
2026-03-21T15:30:00Z,40.00,63.00
2026-03-21T15:49:00Z,40.00,63.00
2026-03-21T16:52:00Z,40.00,61.00
2026-03-21T17:13:00Z,40.00,61.00
2026-03-21T18:44:00Z,40.00,62.00
2026-03-21T19:01:00Z,39.00,62.00
2026-03-21T19:49:00Z,39.00,62.00
2026-03-21T20:25:00Z,39.00,60.00
2026-03-21T20:41:00Z,39.00,62.00
2026-03-21T20:55:00Z,39.00,62.00
2026-03-21T20:57:00Z,39.00,62.00
2026-03-21T21:03:00Z,39.00,62.00
2026-03-21T21:09:00Z,39.00,62.00
2026-03-21T21:10:00Z,39.00,63.00
2026-03-21T21:11:00Z,39.00,63.00
2026-03-21T21:12:00Z,39.00,63.00
2026-03-21T21:19:00Z,39.00,62.00
2026-03-21T21:22:00Z,39.00,62.00
2026-03-21T21:31:00Z,39.00,63.00
2026-03-21T21:41:00Z,35.98,64.86
2026-03-21T21:42:00Z,32.10,67.00
2026-03-21T21:45:00Z,32.50,66.50
2026-03-21T21:46:00Z,36.00,66.50
2026-03-21T21:47:00Z,36.00,63.00
2026-03-21T21:48:00Z,38.00,63.00
2026-03-21T21:49:00Z,36.00,66.00
2026-03-21T21:51:00Z,33.98,66.00
2026-03-21T21:52:00Z,33.00,66.00
2026-03-21T21:53:00Z,37.97,66.00
2026-03-21T21:54:00Z,34.00,65.38
2026-03-21T21:55:00Z,35.00,66.00
2026-03-21T21:56:00Z,33.00,66.00
2026-03-21T21:57:00Z,33.00,71.71
2026-03-21T21:58:00Z,38.70,62.40
2026-03-21T21:59:00Z,45.00,52.38
2026-03-21T22:00:00Z,45.00,52.00
2026-03-21T22:01:00Z,46.55,54.64
2026-03-21T22:02:00Z,48.91,54.64
2026-03-21T22:03:00Z,45.50,56.96
2026-03-21T22:04:00Z,39.84,64.40
2026-03-21T22:05:00Z,39.05,59.41
2026-03-21T22:06:00Z,41.29,59.00
2026-03-21T22:07:00Z,44.00,56.19
2026-03-21T22:08:00Z,36.32,62.40
2026-03-21T22:09:00Z,41.00,58.00
2026-03-21T22:10:00Z,48.92,51.35
2026-03-21T22:11:00Z,52.86,48.15
2026-03-21T22:12:00Z,43.51,54.50
2026-03-21T22:14:00Z,53.30,50.00
