# event_ticker=KXATPCHALLENGERMATCH-26APR01TUNJUB
# final_score=7-6(6) 2-6 7-6(6)
# score_resolution=6-7 6-2 6-7
# match_winner=Tung-Lin Wu
# fav_player=Paul Jubb
# dog_player=Tung-Lin Wu
# kalshi_date=2026-04-01
timestamp,Paul Jubb,Tung-Lin Wu
2026-04-01T18:12:00Z,,46.00
2026-04-01T18:19:00Z,56.00,46.00
2026-04-01T19:19:00Z,56.00,45.00
2026-04-01T19:23:00Z,55.00,44.50
2026-04-01T19:35:00Z,55.00,44.50
2026-04-01T19:50:00Z,55.00,45.00
2026-04-01T21:01:00Z,56.00,45.00
2026-04-01T21:22:00Z,56.00,45.00
2026-04-01T21:38:00Z,56.00,44.00
2026-04-01T22:27:00Z,56.00,44.00
2026-04-01T22:39:00Z,56.00,44.00
2026-04-01T22:42:00Z,56.00,44.00
2026-04-01T23:07:00Z,56.00,44.00
2026-04-01T23:46:00Z,56.00,44.00
2026-04-01T23:58:00Z,56.00,44.00
2026-04-02T00:05:00Z,56.00,44.00
2026-04-02T00:37:00Z,56.95,44.00
2026-04-02T00:41:00Z,57.00,44.00
2026-04-02T00:42:00Z,57.00,44.00
2026-04-02T00:48:00Z,57.00,44.00
2026-04-02T00:51:00Z,56.92,44.00
2026-04-02T01:12:00Z,57.00,44.00
2026-04-02T01:28:00Z,57.00,44.00
2026-04-02T01:30:00Z,57.00,44.00
2026-04-02T01:34:00Z,57.00,44.00
2026-04-02T01:46:00Z,57.00,44.00
2026-04-02T01:59:00Z,57.00,44.00
2026-04-02T02:00:00Z,57.00,44.00
2026-04-02T02:11:00Z,57.00,44.00
2026-04-02T02:16:00Z,57.00,44.00
2026-04-02T02:17:00Z,57.00,44.00
2026-04-02T02:23:00Z,57.00,44.00
2026-04-02T02:27:00Z,57.00,44.00
2026-04-02T02:30:00Z,57.00,44.00
2026-04-02T02:31:00Z,57.00,44.00
2026-04-02T02:33:00Z,57.00,44.00
2026-04-02T02:41:00Z,57.00,44.00
2026-04-02T02:44:00Z,57.00,44.00
2026-04-02T02:47:00Z,57.00,44.00
2026-04-02T02:50:00Z,57.00,44.00
2026-04-02T02:52:00Z,57.00,44.00
2026-04-02T02:57:00Z,57.00,44.00
2026-04-02T02:59:00Z,57.00,44.00
2026-04-02T03:01:00Z,57.00,44.00
2026-04-02T03:03:00Z,57.00,44.00
2026-04-02T03:04:00Z,57.00,44.00
