# event_ticker=KXATPMATCH-26FEB12VANTSI
# final_score=6-4 7-6(4)
# score_resolution=6-4 7-6
# match_winner=Botic van de Zandschulp
# fav_player=Botic Van de Zandschulp
# dog_player=Stefanos Tsitsipas
# kalshi_date=2026-02-12
timestamp,Botic Van de Zandschulp,Stefanos Tsitsipas
2026-02-12T01:17:00Z,,65.00
2026-02-12T01:20:00Z,36.00,65.00
2026-02-12T01:34:00Z,36.00,65.00
2026-02-12T01:39:00Z,36.00,65.43
2026-02-12T01:49:00Z,36.00,64.00
2026-02-12T01:52:00Z,36.00,66.00
2026-02-12T01:53:00Z,36.00,66.00
2026-02-12T02:01:00Z,36.00,66.00
2026-02-12T02:03:00Z,36.00,66.00
2026-02-12T02:05:00Z,36.00,66.00
2026-02-12T02:06:00Z,36.00,66.00
2026-02-12T02:14:00Z,35.00,66.00
2026-02-12T02:16:00Z,35.00,66.00
2026-02-12T02:23:00Z,35.00,66.00
2026-02-12T02:25:00Z,35.00,66.00
2026-02-12T02:26:00Z,35.00,66.00
2026-02-12T02:34:00Z,35.00,66.00
2026-02-12T02:37:00Z,35.00,66.00
2026-02-12T02:38:00Z,35.00,66.00
2026-02-12T02:43:00Z,35.00,66.00
2026-02-12T02:50:00Z,35.00,66.00
2026-02-12T02:51:00Z,35.00,66.00
2026-02-12T02:52:00Z,35.00,66.00
2026-02-12T02:54:00Z,35.00,66.00
2026-02-12T02:58:00Z,35.00,66.00
2026-02-12T02:59:00Z,35.00,66.00
2026-02-12T03:01:00Z,35.00,66.00
2026-02-12T03:03:00Z,35.00,66.00
2026-02-12T03:06:00Z,35.00,66.00
2026-02-12T03:09:00Z,35.00,66.00
2026-02-12T03:10:00Z,35.00,66.00
2026-02-12T03:11:00Z,35.00,66.00
2026-02-12T03:24:00Z,35.00,66.00
2026-02-12T03:26:00Z,35.00,66.00
2026-02-12T03:30:00Z,35.00,66.00
2026-02-12T03:33:00Z,35.00,66.00
2026-02-12T03:34:00Z,35.00,66.00
2026-02-12T03:35:00Z,35.00,66.00
2026-02-12T03:38:00Z,35.00,66.00
2026-02-12T03:42:00Z,35.00,66.00
2026-02-12T03:46:00Z,35.00,66.00
2026-02-12T03:50:00Z,35.00,66.00
2026-02-12T03:52:00Z,35.00,66.01
2026-02-12T03:53:00Z,35.00,67.00
2026-02-12T03:54:00Z,35.00,67.74
