# event_ticker=KXATPMATCH-25JUL29MPERUN
# final_score=7-6(7) 6-3
# score_resolution=6-7 3-6
# match_winner=Holger Rune
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Holger Rune
# kalshi_date=2025-07-29
timestamp,Giovanni Mpetshi Perricard,Holger Rune
2025-07-29T12:06:00Z,,61.00
2025-07-29T12:07:00Z,,61.00
2025-07-29T12:09:00Z,,61.00
2025-07-29T12:11:00Z,40.93,61.00
2025-07-29T12:22:00Z,40.93,62.00
2025-07-29T12:23:00Z,40.00,62.00
2025-07-29T12:24:00Z,40.00,62.00
2025-07-29T12:35:00Z,40.00,62.00
2025-07-29T12:38:00Z,40.00,62.00
2025-07-29T12:39:00Z,40.00,62.00
2025-07-29T12:41:00Z,40.00,62.00
2025-07-29T14:18:00Z,40.00,62.00
2025-07-29T14:20:00Z,67.00,62.00
2025-07-29T14:24:00Z,67.00,62.00
2025-07-29T14:25:00Z,67.00,62.00
2025-07-29T14:29:00Z,67.00,62.00
2025-07-29T14:31:00Z,43.00,62.00
2025-07-29T14:40:00Z,39.00,62.00
2025-07-29T14:43:00Z,39.00,62.00
2025-07-29T14:44:00Z,39.00,62.00
2025-07-29T14:51:00Z,39.00,61.00
2025-07-29T14:54:00Z,39.00,61.00
2025-07-29T15:00:00Z,39.00,61.77
2025-07-29T15:11:00Z,39.00,62.00
2025-07-29T15:25:00Z,38.82,62.00
2025-07-29T15:30:00Z,39.00,62.00
2025-07-29T15:49:00Z,39.00,62.00
2025-07-29T15:54:00Z,39.00,60.00
2025-07-29T16:00:00Z,39.00,61.00
2025-07-29T16:06:00Z,39.00,61.00
2025-07-29T16:11:00Z,39.00,61.00
2025-07-29T16:12:00Z,41.00,61.00
2025-07-29T16:13:00Z,41.00,61.00
2025-07-29T16:16:00Z,41.00,61.00
2025-07-29T16:18:00Z,41.00,61.00
2025-07-29T16:24:00Z,40.00,61.55
2025-07-29T16:25:00Z,40.00,62.00
2025-07-29T16:26:00Z,40.75,62.00
2025-07-29T16:29:00Z,40.75,61.17
2025-07-29T16:37:00Z,40.75,64.00
2025-07-29T16:38:00Z,38.00,64.00
2025-07-29T16:40:00Z,40.76,60.00
2025-07-29T16:41:00Z,42.00,58.00
2025-07-29T16:42:00Z,43.00,57.00
2025-07-29T16:43:00Z,41.00,57.00
2025-07-29T16:44:00Z,40.00,63.03
2025-07-29T16:45:00Z,40.00,62.00
2025-07-29T16:46:00Z,42.00,62.00
2025-07-29T16:47:00Z,42.00,61.00
2025-07-29T16:48:00Z,41.00,61.00
2025-07-29T16:49:00Z,40.00,62.00
2025-07-29T16:50:00Z,39.00,62.00
2025-07-29T16:52:00Z,44.00,61.01
2025-07-29T16:53:00Z,45.00,61.01
2025-07-29T16:54:00Z,46.00,57.35
2025-07-29T16:55:00Z,49.00,53.00
2025-07-29T16:57:00Z,49.00,61.00
2025-07-29T16:58:00Z,49.00,60.00
2025-07-29T17:00:00Z,43.00,60.00
2025-07-29T17:01:00Z,43.00,59.00
2025-07-29T17:03:00Z,38.39,64.95
2025-07-29T17:04:00Z,40.00,64.95
2025-07-29T17:05:00Z,45.19,64.95
2025-07-29T17:06:00Z,44.29,64.95
2025-07-29T17:07:00Z,43.50,64.95
2025-07-29T17:08:00Z,43.50,62.00
2025-07-29T17:09:00Z,42.01,59.00
2025-07-29T17:10:00Z,44.00,59.00
2025-07-29T17:11:00Z,44.36,59.00
2025-07-29T17:12:00Z,44.36,60.00
2025-07-29T17:13:00Z,42.00,58.07
2025-07-29T17:14:00Z,42.00,62.00
2025-07-29T17:15:00Z,51.86,49.61
2025-07-29T17:16:00Z,47.96,56.00
2025-07-29T17:17:00Z,38.06,61.00
2025-07-29T17:18:00Z,36.86,63.17
2025-07-29T17:19:00Z,39.01,63.19
2025-07-29T17:20:00Z,41.07,63.93
2025-07-29T17:21:00Z,48.01,63.00
2025-07-29T17:22:00Z,36.93,64.00
2025-07-29T17:23:00Z,26.95,80.81
2025-07-29T17:24:00Z,16.51,83.84
2025-07-29T17:25:00Z,17.00,84.00
2025-07-29T17:26:00Z,17.49,87.00
2025-07-29T17:27:00Z,21.15,87.00
2025-07-29T17:28:00Z,26.88,80.44
2025-07-29T17:29:00Z,18.88,84.00
2025-07-29T17:30:00Z,13.00,88.00
2025-07-29T17:31:00Z,16.00,85.00
2025-07-29T17:32:00Z,18.00,85.00
2025-07-29T17:33:00Z,18.00,83.06
2025-07-29T17:34:00Z,15.00,85.00
2025-07-29T17:35:00Z,19.00,85.00
2025-07-29T17:36:00Z,18.00,86.09
2025-07-29T17:37:00Z,11.61,90.39
2025-07-29T17:38:00Z,6.00,92.00
2025-07-29T17:39:00Z,7.78,98.57
2025-07-29T17:40:00Z,3.00,98.00
2025-07-29T17:41:00Z,3.00,98.18
2025-07-29T17:42:00Z,3.31,98.18
2025-07-29T17:43:00Z,2.21,98.25
2025-07-29T17:44:00Z,2.00,98.03
2025-07-29T17:45:00Z,2.00,98.03
2025-07-29T17:46:00Z,2.82,98.55
2025-07-29T17:47:00Z,1.90,99.00
2025-07-29T17:48:00Z,1.50,99.00
2025-07-29T17:49:00Z,1.00,98.25
2025-07-29T17:50:00Z,2.00,99.00
2025-07-29T17:51:00Z,2.00,98.41
2025-07-29T17:52:00Z,2.00,99.00
2025-07-29T17:53:00Z,2.00,99.00
2025-07-29T17:54:00Z,1.00,99.00
