# event_ticker=KXATPCHALLENGERMATCH-26FEB10MCCSTR
# final_score=7-6(6) 6-4
# score_resolution=7-6 6-4
# match_winner=Robert Strombachs
# fav_player=Robert Strombachs
# dog_player=Tristan McCormick
# kalshi_date=2026-02-10
timestamp,Robert Strombachs,Tristan McCormick
2026-02-10T12:23:00Z,67.00,
2026-02-10T13:35:00Z,67.00,38.00
2026-02-10T13:37:00Z,66.00,38.00
2026-02-10T13:57:00Z,66.00,38.00
2026-02-10T13:58:00Z,66.00,34.00
2026-02-10T14:53:00Z,66.00,34.00
2026-02-10T15:17:00Z,67.00,34.00
2026-02-10T15:31:00Z,63.00,34.00
2026-02-10T15:46:00Z,66.00,34.00
2026-02-10T16:00:00Z,66.00,34.00
2026-02-10T16:10:00Z,66.00,36.00
2026-02-10T16:16:00Z,66.00,36.00
2026-02-10T16:26:00Z,66.00,36.00
2026-02-10T16:29:00Z,66.00,36.00
2026-02-10T16:32:00Z,66.00,34.00
2026-02-10T16:42:00Z,66.00,37.00
2026-02-10T16:52:00Z,66.00,37.00
2026-02-10T17:06:00Z,66.00,37.00
2026-02-10T17:28:00Z,66.35,37.00
2026-02-10T17:30:00Z,66.00,37.00
2026-02-10T17:38:00Z,66.00,37.00
2026-02-10T17:42:00Z,66.00,37.00
2026-02-10T17:44:00Z,66.00,37.00
2026-02-10T17:45:00Z,66.00,37.00
2026-02-10T17:46:00Z,66.00,37.00
2026-02-10T17:47:00Z,66.13,36.00
2026-02-10T17:48:00Z,66.70,35.67
2026-02-10T17:49:00Z,67.47,33.82
2026-02-10T17:50:00Z,67.34,36.03
2026-02-10T17:51:00Z,63.00,39.00
2026-02-10T17:52:00Z,70.53,30.00
2026-02-10T17:53:00Z,70.93,31.00
2026-02-10T17:54:00Z,74.94,22.69
2026-02-10T17:55:00Z,73.38,28.00
2026-02-10T17:56:00Z,68.27,33.80
2026-02-10T17:57:00Z,67.92,31.15
2026-02-10T17:58:00Z,66.20,36.80
2026-02-10T17:59:00Z,68.00,33.07
2026-02-10T18:00:00Z,69.69,32.00
2026-02-10T18:01:00Z,69.50,30.61
2026-02-10T18:02:00Z,66.22,33.90
2026-02-10T18:03:00Z,66.57,34.34
2026-02-10T18:04:00Z,65.08,36.93
2026-02-10T18:05:00Z,67.56,34.00
2026-02-10T18:06:00Z,70.21,31.47
2026-02-10T18:07:00Z,69.47,31.39
2026-02-10T18:08:00Z,69.80,31.94
2026-02-10T18:09:00Z,67.71,34.94
2026-02-10T18:10:00Z,67.18,35.52
2026-02-10T18:11:00Z,66.00,35.95
2026-02-10T18:12:00Z,71.00,30.63
2026-02-10T18:13:00Z,73.75,30.56
2026-02-10T18:14:00Z,74.53,29.38
2026-02-10T18:15:00Z,75.67,23.74
2026-02-10T18:16:00Z,71.29,31.32
2026-02-10T18:17:00Z,70.07,31.74
2026-02-10T18:18:00Z,73.00,29.00
2026-02-10T18:19:00Z,70.89,28.63
2026-02-10T18:20:00Z,70.33,29.18
2026-02-10T18:21:00Z,76.23,23.47
2026-02-10T18:22:00Z,72.05,27.80
2026-02-10T18:23:00Z,68.73,31.96
2026-02-10T18:24:00Z,73.10,28.84
2026-02-10T18:25:00Z,75.11,27.96
2026-02-10T18:26:00Z,78.08,22.98
2026-02-10T18:27:00Z,78.57,25.09
2026-02-10T18:28:00Z,70.90,29.44
2026-02-10T18:29:00Z,72.77,28.38
2026-02-10T18:30:00Z,70.19,30.28
2026-02-10T18:31:00Z,76.30,20.83
2026-02-10T18:32:00Z,77.24,22.22
2026-02-10T18:33:00Z,81.93,19.86
2026-02-10T18:34:00Z,84.02,17.20
2026-02-10T18:35:00Z,87.09,13.30
2026-02-10T18:36:00Z,69.94,27.80
2026-02-10T18:37:00Z,69.62,31.22
2026-02-10T18:38:00Z,83.71,14.81
2026-02-10T18:39:00Z,86.78,13.95
2026-02-10T18:40:00Z,85.96,16.14
2026-02-10T18:41:00Z,91.22,10.30
2026-02-10T18:42:00Z,88.86,13.64
2026-02-10T18:43:00Z,85.01,15.54
2026-02-10T18:44:00Z,85.32,15.38
2026-02-10T18:45:00Z,87.92,11.50
2026-02-10T18:46:00Z,88.06,12.29
2026-02-10T18:47:00Z,92.07,9.05
2026-02-10T18:48:00Z,90.82,10.79
2026-02-10T18:49:00Z,87.79,12.87
2026-02-10T18:50:00Z,90.24,11.18
2026-02-10T18:51:00Z,88.61,13.64
2026-02-10T18:52:00Z,87.35,12.25
2026-02-10T18:53:00Z,93.84,6.57
2026-02-10T18:54:00Z,95.99,5.04
2026-02-10T18:55:00Z,96.00,5.15
2026-02-10T18:56:00Z,97.09,3.93
2026-02-10T18:57:00Z,97.07,2.98
2026-02-10T18:58:00Z,97.00,3.96
2026-02-10T18:59:00Z,97.56,3.25
2026-02-10T19:00:00Z,95.98,5.12
2026-02-10T19:01:00Z,96.62,3.07
2026-02-10T19:02:00Z,98.13,3.71
2026-02-10T19:03:00Z,97.51,2.23
2026-02-10T19:04:00Z,97.02,2.95
2026-02-10T19:05:00Z,97.98,2.99
2026-02-10T19:06:00Z,94.03,3.24
2026-02-10T19:07:00Z,97.00,3.71
2026-02-10T19:08:00Z,96.24,5.25
2026-02-10T19:09:00Z,93.19,6.88
2026-02-10T19:10:00Z,94.40,6.79
2026-02-10T19:11:00Z,95.27,3.73
2026-02-10T19:12:00Z,94.95,7.16
2026-02-10T19:13:00Z,96.55,5.38
2026-02-10T19:14:00Z,93.69,6.38
2026-02-10T19:15:00Z,84.62,15.76
2026-02-10T19:16:00Z,85.48,14.71
2026-02-10T19:17:00Z,87.87,13.00
2026-02-10T19:18:00Z,95.66,3.25
2026-02-10T19:19:00Z,97.35,3.17
2026-02-10T19:20:00Z,96.06,4.14
2026-02-10T19:21:00Z,96.96,3.48
2026-02-10T19:22:00Z,97.79,2.90
2026-02-10T19:23:00Z,98.99,1.01
2026-02-10T19:24:00Z,99.00,1.00
2026-02-10T19:25:00Z,99.00,1.00
2026-02-10T19:28:00Z,99.00,1.00
2026-02-10T19:29:00Z,99.00,1.00
2026-02-10T19:32:00Z,99.00,1.00
