# event_ticker=KXATPCHALLENGERMATCH-26MAY26SAKDOS
# final_score=6-3 6-2
# match_winner=Stefan Dostanic
# fav_player=Stefan Dostanic
# dog_player=Pedro Sakamoto
# kalshi_date=2026-05-26
timestamp,Pedro Sakamoto,Stefan Dostanic
2026-05-26T01:16:00Z,,72.00
2026-05-26T02:31:00Z,31.00,72.00
2026-05-26T05:10:00Z,28.10,72.00
2026-05-26T06:08:00Z,28.44,72.00
2026-05-26T07:20:00Z,28.44,71.00
2026-05-26T08:32:00Z,28.44,72.00
2026-05-26T09:11:00Z,30.00,72.00
2026-05-26T09:12:00Z,30.00,71.97
2026-05-26T09:47:00Z,30.00,71.01
2026-05-26T09:48:00Z,30.00,69.00
2026-05-26T09:49:00Z,30.00,69.00
2026-05-26T09:50:00Z,28.33,70.54
2026-05-26T09:51:00Z,28.33,72.00
2026-05-26T09:52:00Z,27.00,72.21
2026-05-26T09:53:00Z,30.60,69.00
2026-05-26T09:54:00Z,33.00,69.00
2026-05-26T09:55:00Z,33.00,69.00
2026-05-26T09:56:00Z,33.00,70.00
2026-05-26T09:58:00Z,33.00,70.00
2026-05-26T09:59:00Z,33.00,71.00
2026-05-26T10:00:00Z,33.00,75.00
2026-05-26T10:01:00Z,20.50,81.19
2026-05-26T10:02:00Z,17.00,83.00
2026-05-26T10:03:00Z,19.00,83.00
2026-05-26T10:04:00Z,19.00,83.03
2026-05-26T10:06:00Z,16.00,84.88
2026-05-26T10:08:00Z,16.00,83.92
2026-05-26T10:09:00Z,16.00,82.00
2026-05-26T10:10:00Z,16.00,83.00
2026-05-26T10:12:00Z,16.00,84.00
2026-05-26T10:13:00Z,20.88,79.68
2026-05-26T10:15:00Z,22.00,80.00
2026-05-26T10:16:00Z,23.00,77.00
2026-05-26T10:17:00Z,21.00,82.00
2026-05-26T10:18:00Z,18.80,82.00
2026-05-26T10:20:00Z,18.80,83.00
2026-05-26T10:21:00Z,18.80,83.00
2026-05-26T10:22:00Z,18.80,84.33
2026-05-26T10:25:00Z,16.00,86.00
2026-05-26T10:26:00Z,16.00,86.00
2026-05-26T10:29:00Z,13.80,87.17
2026-05-26T10:30:00Z,9.88,90.07
2026-05-26T10:31:00Z,9.88,94.00
2026-05-26T10:32:00Z,6.78,92.72
2026-05-26T10:33:00Z,10.00,92.00
2026-05-26T10:34:00Z,10.00,96.00
2026-05-26T10:35:00Z,5.00,94.27
2026-05-26T10:37:00Z,7.00,95.00
2026-05-26T10:38:00Z,7.00,94.00
2026-05-26T10:39:00Z,7.00,94.00
2026-05-26T10:41:00Z,6.00,94.00
2026-05-26T10:42:00Z,6.00,92.00
2026-05-26T10:43:00Z,8.39,93.83
2026-05-26T10:44:00Z,6.00,94.00
2026-05-26T10:45:00Z,6.00,93.02
2026-05-26T10:46:00Z,8.00,93.02
2026-05-26T10:47:00Z,8.00,93.00
2026-05-26T10:48:00Z,4.00,94.91
2026-05-26T10:49:00Z,4.00,96.00
2026-05-26T10:50:00Z,3.64,96.79
2026-05-26T10:51:00Z,1.54,96.79
2026-05-26T10:52:00Z,1.00,99.00
2026-05-26T10:53:00Z,1.00,98.14
2026-05-26T10:56:00Z,2.00,98.14
2026-05-26T10:57:00Z,2.00,99.00
