# event_ticker=KXATPCHALLENGERMATCH-26JUN02FORSEL
# final_score=6-0 7-6(4)
# score_resolution=6-0 7-6
# match_winner=Francesco Forti
# fav_player=Francesco Forti
# dog_player=Jelle Sels
# kalshi_date=2026-06-02
timestamp,Francesco Forti,Jelle Sels
2026-06-02T10:05:00Z,,26.00
2026-06-02T10:06:00Z,,26.00
2026-06-02T10:07:00Z,,26.00
2026-06-02T10:20:00Z,,27.00
2026-06-02T13:33:00Z,79.00,27.00
2026-06-02T13:42:00Z,79.00,24.00
2026-06-02T13:54:00Z,79.00,24.00
2026-06-02T14:03:00Z,76.00,24.00
2026-06-02T14:10:00Z,79.74,20.02
2026-06-02T14:11:00Z,79.74,20.00
2026-06-02T14:13:00Z,81.00,20.00
2026-06-02T14:14:00Z,84.00,18.20
2026-06-02T14:16:00Z,85.10,15.83
2026-06-02T14:17:00Z,86.00,16.74
2026-06-02T14:18:00Z,87.49,12.12
2026-06-02T14:19:00Z,89.96,10.99
2026-06-02T14:20:00Z,91.00,10.00
2026-06-02T14:21:00Z,90.00,11.00
2026-06-02T14:22:00Z,91.00,11.00
2026-06-02T14:23:00Z,90.00,10.90
2026-06-02T14:24:00Z,90.00,11.00
2026-06-02T14:25:00Z,90.00,10.00
2026-06-02T14:26:00Z,91.00,9.00
2026-06-02T14:27:00Z,92.01,8.00
2026-06-02T14:28:00Z,93.84,7.00
2026-06-02T14:29:00Z,94.00,7.00
2026-06-02T14:30:00Z,94.00,7.00
2026-06-02T14:31:00Z,94.00,7.00
2026-06-02T14:32:00Z,94.00,7.00
2026-06-02T14:33:00Z,95.00,6.38
2026-06-02T14:34:00Z,95.00,6.00
2026-06-02T14:35:00Z,95.00,5.00
2026-06-02T14:38:00Z,95.52,4.14
2026-06-02T14:39:00Z,95.52,4.00
2026-06-02T14:40:00Z,97.00,4.00
2026-06-02T14:41:00Z,96.00,3.00
2026-06-02T14:42:00Z,97.00,4.00
2026-06-02T14:43:00Z,96.00,4.30
2026-06-02T14:44:00Z,97.00,2.31
2026-06-02T14:45:00Z,97.00,3.00
2026-06-02T14:46:00Z,98.99,3.00
2026-06-02T14:47:00Z,99.00,1.04
2026-06-02T14:48:00Z,98.91,1.00
2026-06-02T14:49:00Z,98.91,2.00
2026-06-02T14:50:00Z,98.00,2.00
2026-06-02T14:51:00Z,98.98,2.00
2026-06-02T14:52:00Z,99.00,2.00
2026-06-02T14:53:00Z,99.00,1.00
2026-06-02T14:54:00Z,97.60,3.20
2026-06-02T14:55:00Z,95.00,4.40
2026-06-02T14:56:00Z,95.00,5.00
2026-06-02T14:57:00Z,94.00,5.98
2026-06-02T14:58:00Z,93.99,6.79
2026-06-02T14:59:00Z,94.00,7.00
2026-06-02T15:00:00Z,94.00,6.02
2026-06-02T15:01:00Z,95.00,6.02
2026-06-02T15:02:00Z,93.30,7.54
2026-06-02T15:03:00Z,91.36,10.61
2026-06-02T15:04:00Z,92.28,8.22
2026-06-02T15:06:00Z,93.00,7.00
2026-06-02T15:07:00Z,92.00,8.97
2026-06-02T15:08:00Z,92.00,9.00
2026-06-02T15:09:00Z,92.00,9.00
2026-06-02T15:10:00Z,91.00,9.20
2026-06-02T15:11:00Z,92.00,8.78
2026-06-02T15:12:00Z,91.99,10.81
2026-06-02T15:13:00Z,88.31,14.83
2026-06-02T15:14:00Z,87.48,12.15
2026-06-02T15:15:00Z,87.19,12.92
2026-06-02T15:16:00Z,90.80,9.16
