# event_ticker=KXATPMATCH-25SEP19ZEPTIE
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Learner Tien
# fav_player=Giulio Zeppieri
# dog_player=Learner Tien
# kalshi_date=2025-09-19
timestamp,Giulio Zeppieri,Learner Tien
2025-09-19T17:53:00Z,,62.00
2025-09-19T18:14:00Z,,60.00
2025-09-19T18:33:00Z,,59.00
2025-09-19T18:41:00Z,43.00,59.00
2025-09-19T18:46:00Z,43.00,58.00
2025-09-19T18:47:00Z,43.00,58.00
2025-09-19T19:03:00Z,43.00,58.95
2025-09-19T19:11:00Z,43.00,59.00
2025-09-19T19:13:00Z,43.00,59.00
2025-09-19T19:26:00Z,43.00,59.00
2025-09-19T19:45:00Z,42.00,59.00
2025-09-19T20:34:00Z,40.00,59.00
2025-09-19T20:39:00Z,40.00,61.00
2025-09-19T20:46:00Z,40.00,61.00
2025-09-19T20:47:00Z,40.00,61.00
2025-09-19T20:52:00Z,40.00,61.00
2025-09-19T20:53:00Z,40.00,61.00
2025-09-19T21:00:00Z,40.00,61.00
2025-09-19T21:17:00Z,40.00,61.00
2025-09-19T21:27:00Z,40.00,61.00
2025-09-19T21:37:00Z,40.00,61.00
2025-09-19T21:40:00Z,40.00,61.00
2025-09-19T21:50:00Z,40.00,61.00
2025-09-19T22:01:00Z,40.00,61.00
2025-09-19T22:19:00Z,40.00,61.57
2025-09-19T22:28:00Z,40.00,61.57
2025-09-19T23:22:00Z,40.00,62.00
2025-09-19T23:23:00Z,39.00,62.00
2025-09-20T00:14:00Z,39.00,63.00
2025-09-20T00:35:00Z,39.00,63.00
2025-09-20T00:45:00Z,39.00,63.00
2025-09-20T00:46:00Z,39.00,62.00
2025-09-20T00:59:00Z,39.00,63.00
2025-09-20T01:03:00Z,39.00,63.00
2025-09-20T01:18:00Z,39.00,63.00
2025-09-20T01:20:00Z,39.00,63.00
2025-09-20T01:46:00Z,39.00,63.00
2025-09-20T01:47:00Z,38.00,63.00
2025-09-20T01:52:00Z,38.00,63.00
2025-09-20T01:56:00Z,38.00,61.11
2025-09-20T01:57:00Z,38.00,60.00
2025-09-20T02:01:00Z,38.00,61.00
2025-09-20T02:04:00Z,38.00,61.90
2025-09-20T02:06:00Z,39.00,61.90
2025-09-20T02:07:00Z,39.00,61.90
2025-09-20T02:10:00Z,39.00,61.00
2025-09-20T02:11:00Z,39.00,61.00
2025-09-20T02:17:00Z,39.00,61.00
2025-09-20T02:19:00Z,39.00,61.00
2025-09-20T02:21:00Z,39.00,61.00
2025-09-20T02:23:00Z,39.00,61.00
2025-09-20T02:30:00Z,39.00,61.00
2025-09-20T02:35:00Z,39.00,61.00
2025-09-20T02:39:00Z,39.00,61.00
2025-09-20T02:41:00Z,39.00,61.00
2025-09-20T02:47:00Z,39.00,61.00
2025-09-20T02:49:00Z,39.00,61.69
2025-09-20T02:53:00Z,39.00,60.00
2025-09-20T02:54:00Z,39.00,62.00
2025-09-20T02:55:00Z,39.00,62.00
2025-09-20T02:56:00Z,39.00,62.00
2025-09-20T02:57:00Z,39.00,62.00
2025-09-20T02:58:00Z,40.00,62.00
2025-09-20T03:01:00Z,40.00,62.00
