# event_ticker=KXATPCHALLENGERMATCH-26MAY20SURIVA
# final_score=6-1 6-1
# match_winner=Ilya Ivashka
# fav_player=Ilya Ivashka
# dog_player=Manish Sureshkumar
# kalshi_date=2026-05-20
timestamp,Manish Sureshkumar,Ilya Ivashka
2026-05-19T19:38:00Z,18.00,
2026-05-19T20:17:00Z,18.00,
2026-05-19T20:55:00Z,18.00,
2026-05-19T23:41:00Z,18.00,83.00
2026-05-20T00:46:00Z,18.00,83.00
2026-05-20T03:22:00Z,17.00,83.00
2026-05-20T03:27:00Z,17.99,83.00
2026-05-20T04:28:00Z,17.99,84.00
2026-05-20T04:31:00Z,18.00,84.00
2026-05-20T04:33:00Z,18.00,84.00
2026-05-20T04:38:00Z,18.00,84.00
2026-05-20T04:40:00Z,18.72,84.00
2026-05-20T04:41:00Z,19.00,84.00
2026-05-20T04:42:00Z,19.00,84.00
2026-05-20T04:43:00Z,19.00,84.00
2026-05-20T04:45:00Z,19.00,84.54
2026-05-20T04:46:00Z,17.00,85.00
2026-05-20T04:47:00Z,17.00,85.91
2026-05-20T04:48:00Z,15.00,86.00
2026-05-20T04:49:00Z,15.00,86.89
2026-05-20T04:50:00Z,15.00,86.59
2026-05-20T04:51:00Z,15.00,86.65
2026-05-20T04:52:00Z,15.00,86.65
2026-05-20T04:53:00Z,15.00,86.65
2026-05-20T04:56:00Z,15.00,86.65
2026-05-20T04:57:00Z,15.00,86.00
2026-05-20T04:59:00Z,15.00,86.00
2026-05-20T05:01:00Z,15.00,86.00
2026-05-20T05:04:00Z,15.00,86.00
2026-05-20T05:07:00Z,15.00,85.00
2026-05-20T05:16:00Z,15.00,85.00
2026-05-20T05:18:00Z,15.00,85.00
2026-05-20T05:19:00Z,15.00,85.00
2026-05-20T05:22:00Z,15.00,85.00
2026-05-20T05:23:00Z,15.00,85.00
2026-05-20T05:24:00Z,15.00,86.00
2026-05-20T05:33:00Z,15.00,85.00
2026-05-20T05:39:00Z,15.00,85.00
2026-05-20T05:42:00Z,15.00,85.00
2026-05-20T05:45:00Z,15.10,85.00
2026-05-20T05:50:00Z,15.10,85.00
2026-05-20T05:54:00Z,15.00,85.00
2026-05-20T05:59:00Z,14.00,85.00
2026-05-20T06:00:00Z,15.00,85.00
2026-05-20T06:03:00Z,15.00,85.00
2026-05-20T06:06:00Z,15.00,85.00
2026-05-20T06:09:00Z,15.00,85.00
2026-05-20T06:11:00Z,15.00,85.00
2026-05-20T06:13:00Z,15.00,85.00
2026-05-20T06:14:00Z,14.50,85.00
2026-05-20T06:15:00Z,15.00,85.00
2026-05-20T06:20:00Z,15.00,86.00
2026-05-20T06:21:00Z,16.00,86.00
2026-05-20T06:27:00Z,16.00,86.00
2026-05-20T06:30:00Z,16.00,86.00
2026-05-20T06:32:00Z,16.00,86.00
2026-05-20T06:34:00Z,16.00,86.00
2026-05-20T06:35:00Z,16.00,85.00
2026-05-20T06:36:00Z,16.00,85.00
2026-05-20T06:37:00Z,16.00,85.00
2026-05-20T06:39:00Z,16.00,85.00
2026-05-20T06:41:00Z,14.00,85.00
2026-05-20T06:42:00Z,16.00,86.00
2026-05-20T06:44:00Z,16.00,86.00
2026-05-20T06:47:00Z,15.00,86.00
2026-05-20T06:48:00Z,15.00,86.00
2026-05-20T06:49:00Z,15.99,86.00
2026-05-20T06:50:00Z,16.00,85.49
2026-05-20T06:51:00Z,16.00,86.00
2026-05-20T06:52:00Z,16.00,86.00
2026-05-20T06:53:00Z,15.07,85.70
2026-05-20T06:54:00Z,15.28,85.53
2026-05-20T06:55:00Z,15.04,85.01
2026-05-20T06:56:00Z,14.65,85.01
2026-05-20T06:57:00Z,13.02,86.00
2026-05-20T06:58:00Z,15.62,84.00
2026-05-20T06:59:00Z,16.89,84.00
2026-05-20T07:00:00Z,19.55,81.08
2026-05-20T07:01:00Z,20.97,80.52
2026-05-20T07:02:00Z,18.59,82.78
2026-05-20T07:03:00Z,17.00,84.00
2026-05-20T07:04:00Z,16.88,83.00
2026-05-20T07:05:00Z,16.40,84.17
2026-05-20T07:06:00Z,13.38,89.00
2026-05-20T07:07:00Z,9.43,90.41
2026-05-20T07:08:00Z,9.00,90.41
2026-05-20T07:09:00Z,8.03,92.00
2026-05-20T07:10:00Z,10.22,92.71
2026-05-20T07:11:00Z,8.00,92.00
2026-05-20T07:12:00Z,7.72,92.54
2026-05-20T07:13:00Z,7.42,92.54
2026-05-20T07:14:00Z,6.20,94.00
2026-05-20T07:15:00Z,6.00,94.50
2026-05-20T07:16:00Z,5.57,96.00
2026-05-20T07:17:00Z,5.00,95.00
2026-05-20T07:18:00Z,4.96,96.00
2026-05-20T07:19:00Z,4.98,96.00
2026-05-20T07:20:00Z,5.00,97.00
2026-05-20T07:21:00Z,3.87,97.39
2026-05-20T07:22:00Z,2.43,97.00
2026-05-20T07:23:00Z,2.04,98.00
2026-05-20T07:24:00Z,2.00,98.00
2026-05-20T07:25:00Z,1.98,99.00
2026-05-20T07:26:00Z,1.91,99.00
2026-05-20T07:27:00Z,2.11,98.02
2026-05-20T07:28:00Z,2.09,97.00
2026-05-20T07:29:00Z,2.99,99.00
2026-05-20T07:30:00Z,1.41,98.82
2026-05-20T07:31:00Z,1.01,99.00
2026-05-20T07:32:00Z,2.33,98.49
2026-05-20T07:33:00Z,1.49,97.10
2026-05-20T07:34:00Z,1.50,98.43
2026-05-20T07:35:00Z,2.59,98.10
2026-05-20T07:36:00Z,1.80,98.83
2026-05-20T07:37:00Z,1.84,99.00
2026-05-20T07:38:00Z,2.20,99.00
2026-05-20T07:39:00Z,1.93,99.00
2026-05-20T07:40:00Z,1.99,99.00
2026-05-20T07:41:00Z,1.28,98.50
2026-05-20T07:42:00Z,1.00,99.00
2026-05-20T07:43:00Z,1.00,99.00
2026-05-20T07:44:00Z,1.00,99.00
2026-05-20T07:45:00Z,1.00,99.00
2026-05-20T07:46:00Z,1.00,99.00
2026-05-20T07:47:00Z,1.00,99.00
2026-05-20T07:48:00Z,1.00,99.00
2026-05-20T07:49:00Z,1.00,99.00
2026-05-20T07:50:00Z,1.00,99.00
2026-05-20T07:52:00Z,1.00,99.00
