# event_ticker=KXATPMATCH-26MAR04BERSTR
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Zizou Bergs
# fav_player=Jan-Lennard Struff
# dog_player=Zizou Bergs
# kalshi_date=2026-03-04
timestamp,Jan-Lennard Struff,Zizou Bergs
2026-03-04T09:15:00Z,47.00,
2026-03-04T10:01:00Z,47.00,54.00
2026-03-04T11:12:00Z,47.00,54.00
2026-03-04T12:05:00Z,47.00,54.00
2026-03-04T12:06:00Z,47.00,54.00
2026-03-04T12:10:00Z,47.00,54.00
2026-03-04T12:16:00Z,47.00,54.00
2026-03-04T12:48:00Z,47.00,54.00
2026-03-04T12:54:00Z,47.00,54.66
2026-03-04T12:57:00Z,47.00,54.66
2026-03-04T13:04:00Z,47.00,54.00
2026-03-04T13:47:00Z,47.00,54.00
2026-03-04T13:48:00Z,47.00,55.00
2026-03-04T13:53:00Z,47.00,55.00
2026-03-04T14:05:00Z,46.00,55.00
2026-03-04T14:15:00Z,46.00,55.00
2026-03-04T14:16:00Z,46.00,55.00
2026-03-04T14:17:00Z,46.00,56.00
2026-03-04T14:25:00Z,46.00,56.00
2026-03-04T14:29:00Z,46.00,55.62
2026-03-04T14:30:00Z,46.61,55.62
2026-03-04T14:31:00Z,46.61,55.00
2026-03-04T14:32:00Z,46.61,55.47
2026-03-04T14:33:00Z,46.61,55.00
2026-03-04T14:36:00Z,46.61,55.00
2026-03-04T14:38:00Z,46.61,55.00
2026-03-04T14:39:00Z,46.61,55.00
2026-03-04T14:48:00Z,46.61,55.99
2026-03-04T14:52:00Z,46.61,55.23
2026-03-04T14:57:00Z,46.61,55.00
2026-03-04T14:59:00Z,46.61,55.65
2026-03-04T15:19:00Z,46.61,55.00
2026-03-04T15:21:00Z,46.61,55.92
2026-03-04T15:22:00Z,46.61,55.00
2026-03-04T15:24:00Z,46.61,55.00
2026-03-04T15:27:00Z,43.19,55.00
2026-03-04T15:36:00Z,43.19,55.00
2026-03-04T15:39:00Z,43.19,55.00
2026-03-04T15:42:00Z,43.19,55.73
2026-03-04T15:43:00Z,46.00,55.73
2026-03-04T15:44:00Z,46.00,55.73
2026-03-04T15:46:00Z,46.00,55.53
2026-03-04T15:55:00Z,46.00,55.41
2026-03-04T16:00:00Z,46.00,55.97
2026-03-04T16:05:00Z,46.00,56.00
2026-03-04T16:13:00Z,45.00,56.00
