# event_ticker=KXATPMATCH-26APR05RUBBOR
# final_score=6-4 1-6 6-1
# score_resolution=4-6 6-1 1-6
# match_winner=Andrey Rublev
# fav_player=Nuno Borges
# dog_player=Andrey Rublev
# kalshi_date=2026-04-05
timestamp,Nuno Borges,Andrey Rublev
2026-04-05T21:26:00Z,,73.00
2026-04-05T21:39:00Z,,74.00
2026-04-05T21:40:00Z,,74.00
2026-04-05T21:41:00Z,,74.00
2026-04-05T21:58:00Z,27.00,74.00
2026-04-05T22:03:00Z,27.00,74.58
2026-04-05T22:06:00Z,27.00,75.00
2026-04-05T22:08:00Z,27.00,75.00
2026-04-05T22:29:00Z,27.00,72.30
2026-04-05T22:34:00Z,27.00,75.00
2026-04-05T22:35:00Z,27.00,75.00
2026-04-05T22:36:00Z,27.40,75.00
2026-04-05T22:45:00Z,27.40,75.00
2026-04-05T22:46:00Z,27.40,75.00
2026-04-05T22:49:00Z,27.40,75.00
2026-04-05T22:51:00Z,27.40,73.00
2026-04-05T23:01:00Z,27.40,75.00
2026-04-05T23:02:00Z,27.40,75.00
2026-04-05T23:18:00Z,27.40,75.00
2026-04-05T23:30:00Z,27.40,75.00
2026-04-05T23:43:00Z,27.40,75.00
2026-04-05T23:47:00Z,27.40,75.00
2026-04-05T23:50:00Z,27.40,75.00
2026-04-05T23:57:00Z,27.40,75.00
2026-04-06T00:02:00Z,27.40,75.00
2026-04-06T00:07:00Z,27.40,75.00
2026-04-06T00:11:00Z,27.40,75.00
2026-04-06T00:13:00Z,25.00,79.93
2026-04-06T00:15:00Z,25.00,76.00
2026-04-06T00:16:00Z,25.00,76.00
2026-04-06T00:20:00Z,25.00,77.00
2026-04-06T00:24:00Z,25.00,77.00
2026-04-06T00:28:00Z,25.00,76.73
2026-04-06T00:30:00Z,25.00,77.00
2026-04-06T00:33:00Z,25.00,77.00
2026-04-06T00:35:00Z,25.00,77.00
2026-04-06T00:37:00Z,25.00,77.00
2026-04-06T00:40:00Z,25.00,76.00
2026-04-06T00:47:00Z,24.00,76.00
2026-04-06T00:48:00Z,24.34,76.00
2026-04-06T00:51:00Z,24.34,76.00
2026-04-06T00:53:00Z,24.34,76.00
2026-04-06T01:02:00Z,24.34,76.00
2026-04-06T01:03:00Z,24.34,76.00
2026-04-06T01:13:00Z,24.34,76.00
2026-04-06T01:19:00Z,24.34,76.00
2026-04-06T01:24:00Z,24.00,77.00
2026-04-06T01:27:00Z,24.00,77.00
2026-04-06T01:31:00Z,24.00,77.00
2026-04-06T01:32:00Z,24.00,77.85
2026-04-06T01:34:00Z,24.00,77.00
2026-04-06T01:37:00Z,25.00,77.00
2026-04-06T01:38:00Z,25.00,77.00
2026-04-06T01:40:00Z,25.00,77.00
2026-04-06T01:43:00Z,25.00,77.00
2026-04-06T01:44:00Z,25.00,77.00
2026-04-06T01:48:00Z,25.00,77.00
2026-04-06T01:50:00Z,25.00,77.00
2026-04-06T01:51:00Z,25.00,77.00
2026-04-06T01:53:00Z,25.00,77.00
2026-04-06T01:55:00Z,24.00,77.00
2026-04-06T01:56:00Z,24.00,77.00
2026-04-06T01:59:00Z,24.00,77.00
2026-04-06T02:00:00Z,24.00,77.00
2026-04-06T02:01:00Z,24.00,77.00
2026-04-06T02:07:00Z,24.98,77.00
