# event_ticker=KXATPMATCH-26JUN11GRIZHA
# final_score=7-6(5) 6-4
# score_resolution=6-7 4-6
# match_winner=Zhizhen Zhang
# fav_player=Tallon Griekspoor
# dog_player=Zhizhen Zhang
# kalshi_date=2026-06-11
timestamp,Tallon Griekspoor,Zhizhen Zhang
2026-06-10T23:11:00Z,70.00,
2026-06-11T00:34:00Z,70.00,
2026-06-11T01:22:00Z,70.00,
2026-06-11T01:43:00Z,70.00,
2026-06-11T02:05:00Z,70.00,
2026-06-11T02:42:00Z,70.00,
2026-06-11T02:44:00Z,70.00,32.00
2026-06-11T03:07:00Z,70.00,32.00
2026-06-11T03:08:00Z,70.00,32.00
2026-06-11T03:39:00Z,70.00,32.00
2026-06-11T03:41:00Z,70.00,32.00
2026-06-11T03:53:00Z,70.00,32.00
2026-06-11T03:55:00Z,70.00,32.00
2026-06-11T03:57:00Z,70.00,32.00
2026-06-11T04:02:00Z,70.00,32.00
2026-06-11T04:05:00Z,70.10,32.00
2026-06-11T04:06:00Z,70.10,32.00
2026-06-11T04:08:00Z,71.00,32.00
2026-06-11T04:11:00Z,70.66,32.00
2026-06-11T04:16:00Z,71.00,32.00
2026-06-11T04:22:00Z,71.00,32.00
2026-06-11T04:27:00Z,71.00,32.00
2026-06-11T04:29:00Z,71.00,32.00
2026-06-11T04:40:00Z,71.00,32.00
2026-06-11T04:45:00Z,71.00,32.00
2026-06-11T04:46:00Z,71.00,32.00
2026-06-11T04:49:00Z,71.00,32.00
2026-06-11T04:54:00Z,70.00,32.00
2026-06-11T04:55:00Z,71.00,31.00
2026-06-11T05:04:00Z,71.00,31.00
2026-06-11T05:05:00Z,71.00,31.00
2026-06-11T05:19:00Z,71.00,31.00
2026-06-11T05:23:00Z,71.00,31.00
2026-06-11T05:24:00Z,71.00,31.00
2026-06-11T05:25:00Z,71.00,31.00
2026-06-11T05:27:00Z,71.00,31.00
2026-06-11T05:33:00Z,71.00,31.00
2026-06-11T05:34:00Z,71.00,31.00
2026-06-11T05:37:00Z,71.00,31.00
