# event_ticker=KXATPCHALLENGERMATCH-26APR30BERHER
# final_score=6-4 6-3
# match_winner=Zizou Bergs
# fav_player=Zizou Bergs
# dog_player=Pierre-Hugues Herbert
# kalshi_date=2026-04-30
timestamp,Zizou Bergs,Pierre-Hugues Herbert
2026-04-29T21:39:00Z,78.00,
2026-04-29T21:51:00Z,78.00,25.00
2026-04-29T23:04:00Z,78.00,25.00
2026-04-29T23:49:00Z,78.00,25.00
2026-04-30T00:27:00Z,76.00,25.00
2026-04-30T00:46:00Z,77.00,25.00
2026-04-30T01:41:00Z,77.00,24.00
2026-04-30T02:09:00Z,77.00,24.00
2026-04-30T02:28:00Z,77.00,24.00
2026-04-30T02:31:00Z,77.00,24.00
2026-04-30T02:48:00Z,77.87,24.00
2026-04-30T02:49:00Z,78.00,24.00
2026-04-30T03:10:00Z,78.00,24.00
2026-04-30T03:20:00Z,78.00,24.00
2026-04-30T03:24:00Z,78.00,24.00
2026-04-30T04:06:00Z,78.00,24.00
2026-04-30T04:08:00Z,78.00,24.00
2026-04-30T04:13:00Z,78.00,24.00
2026-04-30T04:17:00Z,78.00,24.00
2026-04-30T04:20:00Z,78.00,24.00
2026-04-30T04:23:00Z,78.00,24.00
2026-04-30T04:38:00Z,78.00,24.00
2026-04-30T04:57:00Z,78.00,24.00
2026-04-30T04:58:00Z,78.00,24.00
2026-04-30T04:59:00Z,78.00,24.00
2026-04-30T05:09:00Z,78.00,24.00
2026-04-30T05:15:00Z,76.00,24.00
2026-04-30T05:28:00Z,79.00,24.00
2026-04-30T05:30:00Z,79.00,23.00
2026-04-30T05:33:00Z,79.00,23.00
2026-04-30T05:53:00Z,79.00,23.00
2026-04-30T06:03:00Z,79.00,23.00
2026-04-30T06:13:00Z,79.00,22.00
2026-04-30T06:18:00Z,79.00,22.00
2026-04-30T06:30:00Z,79.00,22.00
2026-04-30T06:31:00Z,79.00,22.00
2026-04-30T09:01:00Z,83.00,22.00
2026-04-30T09:02:00Z,82.00,22.00
2026-04-30T09:06:00Z,79.00,22.00
2026-04-30T09:07:00Z,79.00,21.00
2026-04-30T09:08:00Z,82.00,21.00
2026-04-30T09:09:00Z,80.50,21.00
2026-04-30T09:10:00Z,81.00,21.63
2026-04-30T09:11:00Z,81.00,22.14
2026-04-30T09:12:00Z,81.00,22.12
2026-04-30T09:15:00Z,80.29,21.14
2026-04-30T09:16:00Z,78.00,23.00
2026-04-30T09:17:00Z,77.00,23.00
2026-04-30T09:19:00Z,79.86,22.00
2026-04-30T09:20:00Z,80.00,21.71
2026-04-30T09:21:00Z,79.00,21.71
2026-04-30T09:22:00Z,79.00,23.63
2026-04-30T09:23:00Z,75.06,27.30
2026-04-30T09:24:00Z,70.02,31.69
2026-04-30T09:25:00Z,60.06,37.04
2026-04-30T09:26:00Z,58.00,41.80
2026-04-30T09:27:00Z,58.05,44.00
2026-04-30T09:28:00Z,58.05,44.00
2026-04-30T09:29:00Z,57.01,40.00
