# event_ticker=KXATPMATCH-25JUL28MCDGOF
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Mackenzie McDonald
# fav_player=David Goffin
# dog_player=Mackenzie McDonald
# kalshi_date=2025-07-28
timestamp,David Goffin,Mackenzie McDonald
2025-07-28T06:01:00Z,58.00,
2025-07-28T06:04:00Z,58.00,
2025-07-28T06:22:00Z,58.00,
2025-07-28T12:03:00Z,41.00,61.00
2025-07-28T12:05:00Z,41.00,61.00
2025-07-28T12:06:00Z,41.00,61.00
2025-07-28T12:07:00Z,41.00,61.00
2025-07-28T12:10:00Z,41.00,61.00
2025-07-28T12:11:00Z,41.00,61.00
2025-07-28T12:15:00Z,41.00,61.00
2025-07-28T12:16:00Z,41.00,61.00
2025-07-28T12:18:00Z,41.00,61.00
2025-07-28T12:21:00Z,41.00,60.89
2025-07-28T12:29:00Z,41.00,61.00
2025-07-28T12:37:00Z,41.00,61.00
2025-07-28T12:43:00Z,41.00,61.00
2025-07-28T12:46:00Z,41.00,61.00
2025-07-28T12:47:00Z,41.00,61.00
2025-07-28T12:51:00Z,41.00,61.00
2025-07-28T13:06:00Z,41.00,61.00
2025-07-28T13:11:00Z,41.00,61.00
2025-07-28T13:13:00Z,41.00,61.00
2025-07-28T13:17:00Z,41.00,61.00
2025-07-28T13:19:00Z,41.00,61.00
2025-07-28T13:23:00Z,41.00,60.00
2025-07-28T13:27:00Z,41.00,60.00
2025-07-28T13:30:00Z,41.19,60.00
2025-07-28T13:36:00Z,41.19,60.00
2025-07-28T13:39:00Z,41.00,60.00
2025-07-28T13:42:00Z,41.00,60.00
2025-07-28T13:52:00Z,41.71,60.00
2025-07-28T13:53:00Z,42.00,60.00
2025-07-28T14:02:00Z,42.00,60.00
2025-07-28T14:08:00Z,42.00,60.00
2025-07-28T14:13:00Z,42.00,60.00
2025-07-28T14:14:00Z,42.00,60.00
2025-07-28T14:15:00Z,42.00,60.00
2025-07-28T14:19:00Z,42.00,60.00
2025-07-28T14:20:00Z,41.00,60.00
2025-07-28T14:28:00Z,41.00,60.00
2025-07-28T14:29:00Z,41.00,60.09
2025-07-28T14:31:00Z,41.00,60.09
2025-07-28T14:34:00Z,41.00,60.00
2025-07-28T14:37:00Z,41.00,60.00
2025-07-28T14:38:00Z,40.00,60.00
2025-07-28T14:39:00Z,40.00,58.00
2025-07-28T14:40:00Z,41.00,61.00
2025-07-28T14:41:00Z,41.00,61.00
2025-07-28T14:42:00Z,41.00,60.18
2025-07-28T14:49:00Z,41.00,61.00
2025-07-28T14:51:00Z,41.00,60.00
2025-07-28T14:52:00Z,41.00,60.00
2025-07-28T14:54:00Z,41.00,60.00
2025-07-28T14:56:00Z,41.00,60.00
2025-07-28T14:57:00Z,41.26,60.00
2025-07-28T14:58:00Z,42.00,60.00
2025-07-28T14:59:00Z,42.00,60.04
