# event_ticker=KXATPCHALLENGERMATCH-26JUN02BERRAT
# final_score=6-4 4-6 6-2
# score_resolution=4-6 6-4 2-6
# match_winner=Remy Bertola
# fav_player=Lucio Ratti
# dog_player=Remy Bertola
# kalshi_date=2026-06-02
timestamp,Remy Bertola,Lucio Ratti
2026-06-01T20:36:00Z,93.00,
2026-06-01T20:39:00Z,92.00,23.00
2026-06-01T20:46:00Z,68.00,23.00
2026-06-01T21:02:00Z,81.00,23.00
2026-06-01T21:30:00Z,77.00,23.00
2026-06-01T22:22:00Z,76.00,23.00
2026-06-01T23:03:00Z,76.00,23.00
2026-06-01T23:16:00Z,76.00,29.00
2026-06-02T01:28:00Z,68.00,29.00
2026-06-02T01:32:00Z,68.00,32.00
2026-06-02T01:41:00Z,68.00,32.00
2026-06-02T03:38:00Z,68.00,32.00
2026-06-02T04:13:00Z,68.00,32.00
2026-06-02T04:25:00Z,68.00,32.00
2026-06-02T04:27:00Z,68.00,32.00
2026-06-02T05:15:00Z,68.00,32.00
2026-06-02T05:16:00Z,68.00,32.00
2026-06-02T05:20:00Z,68.00,32.00
2026-06-02T05:21:00Z,68.24,32.00
2026-06-02T05:29:00Z,68.24,32.00
2026-06-02T05:33:00Z,68.24,32.00
2026-06-02T05:34:00Z,68.24,32.83
2026-06-02T05:43:00Z,69.00,32.83
2026-06-02T05:50:00Z,69.00,32.83
2026-06-02T05:51:00Z,69.00,32.83
2026-06-02T05:54:00Z,67.00,32.83
2026-06-02T06:03:00Z,67.00,34.00
2026-06-02T06:10:00Z,68.00,34.00
2026-06-02T06:17:00Z,68.00,34.00
2026-06-02T06:25:00Z,68.00,34.00
2026-06-02T06:36:00Z,68.00,33.00
2026-06-02T06:48:00Z,67.01,33.00
2026-06-02T06:57:00Z,68.00,33.00
2026-06-02T07:12:00Z,68.00,33.00
2026-06-02T07:16:00Z,68.00,34.00
2026-06-02T07:19:00Z,68.66,34.00
2026-06-02T07:21:00Z,68.00,34.00
2026-06-02T07:31:00Z,67.00,34.00
2026-06-02T07:33:00Z,68.00,34.00
2026-06-02T07:34:00Z,68.00,34.00
2026-06-02T07:38:00Z,68.00,34.00
2026-06-02T07:41:00Z,68.00,34.00
2026-06-02T07:44:00Z,68.00,34.00
2026-06-02T07:51:00Z,67.00,34.00
2026-06-02T07:59:00Z,67.00,34.00
2026-06-02T08:02:00Z,68.00,34.00
2026-06-02T08:04:00Z,68.00,34.00
2026-06-02T08:05:00Z,67.00,34.00
2026-06-02T08:06:00Z,67.00,36.01
2026-06-02T08:07:00Z,66.00,36.03
2026-06-02T08:08:00Z,68.21,33.00
2026-06-02T08:09:00Z,64.27,36.52
2026-06-02T08:10:00Z,66.00,36.99
