# event_ticker=KXATPCHALLENGERMATCH-26MAR31DALCHA
# final_score=4-6 6-3 7-6(4)
# score_resolution=4-6 6-3 7-6
# match_winner=Enrico Dalla Valle
# fav_player=Enrico Dalla Valle
# dog_player=Maxime Chazal
# kalshi_date=2026-03-31
timestamp,Enrico Dalla Valle,Maxime Chazal
2026-04-01T23:19:00Z,66.00,
2026-04-02T00:16:00Z,67.00,
2026-04-02T02:19:00Z,66.00,
2026-04-02T04:27:00Z,66.00,
2026-04-02T04:31:00Z,66.00,34.00
2026-04-02T05:02:00Z,68.00,34.00
2026-04-02T06:11:00Z,68.00,34.00
2026-04-02T06:20:00Z,68.00,34.00
2026-04-02T06:46:00Z,68.00,34.00
2026-04-02T06:48:00Z,69.00,34.00
2026-04-02T06:51:00Z,69.00,32.14
2026-04-02T09:03:00Z,69.00,33.00
2026-04-02T09:04:00Z,69.00,33.00
2026-04-02T09:08:00Z,69.00,33.00
2026-04-02T09:13:00Z,69.00,35.00
2026-04-02T09:15:00Z,69.00,31.00
2026-04-02T09:25:00Z,69.00,31.00
2026-04-02T09:31:00Z,69.00,34.70
2026-04-02T09:35:00Z,69.00,35.00
2026-04-02T09:42:00Z,66.60,35.00
2026-04-02T09:45:00Z,66.60,34.00
2026-04-02T09:46:00Z,66.60,34.00
2026-04-02T09:47:00Z,69.18,34.00
2026-04-02T09:48:00Z,69.17,34.00
2026-04-02T09:49:00Z,70.00,33.00
2026-04-02T09:50:00Z,70.00,33.00
2026-04-02T09:51:00Z,70.00,33.00
2026-04-02T09:52:00Z,70.00,33.00
2026-04-02T09:54:00Z,70.00,33.00
2026-04-02T09:55:00Z,71.22,33.00
2026-04-02T09:56:00Z,71.00,33.00
2026-04-02T09:57:00Z,67.00,34.84
2026-04-02T09:58:00Z,67.33,34.63
2026-04-02T09:59:00Z,67.35,35.72
2026-04-02T10:00:00Z,67.00,34.53
2026-04-02T10:01:00Z,68.44,34.02
2026-04-02T10:02:00Z,66.69,35.71
2026-04-02T10:03:00Z,72.98,29.07
2026-04-02T10:04:00Z,74.05,28.00
2026-04-02T10:05:00Z,75.85,29.98
2026-04-02T10:06:00Z,70.90,31.83
2026-04-02T10:07:00Z,70.90,35.00
2026-04-02T10:08:00Z,66.72,37.77
2026-04-02T10:09:00Z,69.92,31.00
2026-04-02T10:10:00Z,68.00,31.76
2026-04-02T10:12:00Z,69.00,31.49
2026-04-02T10:13:00Z,73.70,29.48
2026-04-02T10:14:00Z,73.70,29.98
2026-04-02T10:15:00Z,80.67,28.46
2026-04-02T10:16:00Z,64.08,34.89
2026-04-02T10:17:00Z,64.96,36.05
2026-04-02T10:18:00Z,61.07,36.81
2026-04-02T10:19:00Z,60.05,39.00
2026-04-02T10:20:00Z,58.48,40.78
2026-04-02T10:21:00Z,48.87,51.14
2026-04-02T10:22:00Z,49.54,51.14
2026-04-02T10:23:00Z,47.16,53.20
2026-04-02T10:24:00Z,59.61,43.84
2026-04-02T10:25:00Z,49.93,49.53
2026-04-02T10:26:00Z,47.33,51.29
2026-04-02T10:27:00Z,47.95,54.63
2026-04-02T10:28:00Z,42.47,59.57
2026-04-02T10:29:00Z,39.80,63.51
2026-04-02T10:30:00Z,39.11,59.72
2026-04-02T10:31:00Z,46.07,59.33
2026-04-02T10:32:00Z,44.17,61.60
2026-04-02T10:33:00Z,47.52,54.02
2026-04-02T10:34:00Z,48.74,53.64
2026-04-02T10:35:00Z,57.69,43.35
2026-04-02T10:36:00Z,57.14,44.83
2026-04-02T10:37:00Z,58.12,48.26
2026-04-02T10:38:00Z,45.82,52.88
2026-04-02T10:39:00Z,42.16,59.31
2026-04-02T10:40:00Z,47.08,58.76
2026-04-02T10:41:00Z,47.01,55.83
2026-04-02T10:42:00Z,49.00,52.29
2026-04-02T10:43:00Z,49.69,53.27
2026-04-02T10:44:00Z,51.92,49.35
2026-04-02T10:45:00Z,60.06,46.41
2026-04-02T10:46:00Z,49.61,56.76
2026-04-02T10:47:00Z,40.61,60.93
2026-04-02T10:48:00Z,41.00,60.44
2026-04-02T10:49:00Z,41.01,59.61
2026-04-02T10:50:00Z,38.17,60.63
2026-04-02T10:51:00Z,43.58,61.31
2026-04-02T10:52:00Z,47.68,55.91
2026-04-02T10:53:00Z,49.69,54.02
2026-04-02T10:54:00Z,54.91,48.47
2026-04-02T10:55:00Z,57.22,47.43
2026-04-02T10:56:00Z,52.78,50.81
2026-04-02T10:57:00Z,44.29,56.05
2026-04-02T10:58:00Z,47.06,58.92
2026-04-02T10:59:00Z,54.06,48.79
2026-04-02T11:00:00Z,49.99,51.98
2026-04-02T11:01:00Z,49.81,52.12
2026-04-02T11:02:00Z,47.81,55.17
