# event_ticker=KXATPCHALLENGERMATCH-26MAR30BARDEV
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Murkel Dellien
# fav_player=Marcelo Tomas Barrios Vera
# dog_player=Murkel Dellien
# kalshi_date=2026-03-30
timestamp,Marcelo Tomas Barrios Vera,Murkel Dellien
2026-03-31T04:17:00Z,,21.00
2026-03-31T06:06:00Z,,21.00
2026-03-31T06:22:00Z,80.00,21.00
2026-03-31T06:40:00Z,80.00,23.00
2026-03-31T06:48:00Z,80.00,23.00
2026-03-31T06:55:00Z,80.00,23.00
2026-03-31T08:52:00Z,78.00,23.00
2026-03-31T09:19:00Z,78.00,23.00
2026-03-31T10:17:00Z,80.53,22.00
2026-03-31T10:37:00Z,80.53,19.00
2026-03-31T10:50:00Z,81.00,19.00
2026-03-31T10:52:00Z,81.00,19.00
2026-03-31T11:06:00Z,81.00,19.00
2026-03-31T11:11:00Z,81.00,22.00
2026-03-31T12:49:00Z,79.00,22.00
2026-03-31T12:50:00Z,78.00,22.00
2026-03-31T13:16:00Z,79.00,22.00
2026-03-31T13:24:00Z,79.00,22.00
2026-03-31T13:33:00Z,79.00,22.00
2026-03-31T13:34:00Z,79.00,19.00
2026-03-31T13:57:00Z,80.00,19.00
2026-03-31T14:01:00Z,80.00,22.00
2026-03-31T14:07:00Z,80.00,22.50
2026-03-31T14:11:00Z,80.00,22.95
2026-03-31T14:20:00Z,80.00,22.95
2026-03-31T14:25:00Z,80.00,21.00
2026-03-31T14:33:00Z,80.00,21.00
2026-03-31T14:37:00Z,80.00,21.00
2026-03-31T14:39:00Z,80.00,21.00
2026-03-31T14:40:00Z,80.00,21.00
2026-03-31T14:41:00Z,80.00,21.64
2026-03-31T15:27:00Z,80.00,21.64
2026-03-31T15:32:00Z,80.00,21.00
2026-03-31T15:36:00Z,80.00,21.00
2026-03-31T15:37:00Z,80.06,21.00
2026-03-31T15:44:00Z,81.58,21.00
2026-03-31T15:49:00Z,81.58,21.00
2026-03-31T15:50:00Z,79.00,21.00
2026-03-31T15:51:00Z,79.00,21.00
2026-03-31T15:52:00Z,79.00,21.00
2026-03-31T15:54:00Z,81.00,21.00
2026-03-31T15:56:00Z,81.00,21.00
2026-03-31T15:58:00Z,81.00,21.00
2026-03-31T15:59:00Z,81.89,21.00
2026-03-31T16:00:00Z,82.00,20.92
2026-03-31T16:01:00Z,81.57,20.08
2026-03-31T16:02:00Z,81.57,20.91
2026-03-31T16:03:00Z,81.57,21.28
2026-03-31T16:04:00Z,76.00,26.37
2026-03-31T16:05:00Z,71.00,30.02
2026-03-31T16:06:00Z,73.00,28.33
2026-03-31T16:07:00Z,68.01,31.06
2026-03-31T16:08:00Z,68.01,32.03
2026-03-31T16:09:00Z,67.12,34.38
2026-03-31T16:10:00Z,62.00,35.03
2026-03-31T16:11:00Z,65.00,34.76
2026-03-31T16:12:00Z,68.00,33.00
2026-03-31T16:13:00Z,61.00,39.44
2026-03-31T16:14:00Z,65.54,36.69
2026-03-31T16:15:00Z,66.98,33.00
2026-03-31T16:16:00Z,66.98,37.00
2026-03-31T16:17:00Z,68.97,33.35
2026-03-31T16:18:00Z,69.00,33.00
2026-03-31T16:19:00Z,67.10,32.45
2026-03-31T16:20:00Z,69.94,32.45
2026-03-31T16:21:00Z,76.36,24.08
2026-03-31T16:22:00Z,76.36,22.99
2026-03-31T16:23:00Z,80.98,21.36
2026-03-31T16:24:00Z,82.00,19.96
2026-03-31T16:25:00Z,82.02,18.73
2026-03-31T16:26:00Z,81.95,19.00
2026-03-31T16:27:00Z,83.69,18.35
2026-03-31T16:28:00Z,85.64,14.84
2026-03-31T16:29:00Z,89.19,11.23
2026-03-31T16:30:00Z,90.69,10.38
2026-03-31T16:31:00Z,88.40,12.56
2026-03-31T16:32:00Z,88.40,14.00
2026-03-31T16:33:00Z,91.60,13.66
2026-03-31T16:34:00Z,91.91,10.41
2026-03-31T16:35:00Z,89.42,12.00
2026-03-31T16:36:00Z,90.68,11.00
2026-03-31T16:37:00Z,89.24,9.94
2026-03-31T16:38:00Z,86.76,14.59
2026-03-31T16:39:00Z,87.00,11.51
2026-03-31T16:40:00Z,88.84,12.17
2026-03-31T16:41:00Z,87.95,12.63
2026-03-31T16:42:00Z,88.85,14.44
2026-03-31T16:43:00Z,86.00,17.00
2026-03-31T16:44:00Z,81.91,17.95
