# event_ticker=KXATPCHALLENGERMATCH-26APR22OSTGAD
# final_score=6-2 4-6 6-4
# match_winner=Daniil Ostapenkov
# fav_player=Daniil Ostapenkov
# dog_player=Buvaysar Gadamauri
# kalshi_date=2026-04-22
timestamp,Daniil Ostapenkov,Buvaysar Gadamauri
2026-04-21T20:02:00Z,,74.00
2026-04-21T21:12:00Z,,76.00
2026-04-21T22:17:00Z,25.00,76.00
2026-04-21T23:23:00Z,25.00,75.00
2026-04-21T23:43:00Z,25.00,75.00
2026-04-22T00:26:00Z,25.43,75.00
2026-04-22T00:54:00Z,25.43,75.00
2026-04-22T01:49:00Z,25.43,75.00
2026-04-22T02:04:00Z,23.00,75.00
2026-04-22T02:05:00Z,23.00,75.00
2026-04-22T02:18:00Z,23.00,75.00
2026-04-22T02:27:00Z,25.01,75.00
2026-04-22T02:49:00Z,25.01,75.00
2026-04-22T03:07:00Z,26.00,75.00
2026-04-22T03:59:00Z,25.00,75.00
2026-04-22T04:03:00Z,26.00,75.00
2026-04-22T04:06:00Z,26.00,75.00
2026-04-22T04:24:00Z,26.00,75.00
2026-04-22T04:26:00Z,26.00,75.00
2026-04-22T04:33:00Z,26.00,75.00
2026-04-22T04:38:00Z,26.00,75.00
2026-04-22T04:45:00Z,26.00,75.00
2026-04-22T04:51:00Z,24.00,75.00
2026-04-22T05:23:00Z,25.00,75.00
2026-04-22T05:34:00Z,26.00,75.00
2026-04-22T05:38:00Z,26.00,75.99
2026-04-22T05:40:00Z,26.00,77.00
2026-04-22T05:48:00Z,25.00,77.00
2026-04-22T05:56:00Z,25.00,75.00
2026-04-22T06:05:00Z,25.73,76.66
2026-04-22T06:06:00Z,25.00,76.66
2026-04-22T06:08:00Z,25.00,76.66
2026-04-22T06:10:00Z,25.00,76.66
2026-04-22T06:11:00Z,25.00,77.00
2026-04-22T06:12:00Z,24.87,77.00
2026-04-22T06:13:00Z,24.87,78.00
2026-04-22T06:14:00Z,24.00,78.00
2026-04-22T06:23:00Z,25.00,78.00
2026-04-22T06:24:00Z,25.00,78.00
2026-04-22T06:28:00Z,25.00,77.87
2026-04-22T06:40:00Z,25.00,77.87
2026-04-22T06:47:00Z,25.00,77.87
2026-04-22T06:49:00Z,25.00,77.87
2026-04-22T06:53:00Z,25.00,77.87
2026-04-22T06:58:00Z,25.00,77.98
2026-04-22T06:59:00Z,25.00,78.00
2026-04-22T07:02:00Z,25.00,77.00
2026-04-22T07:03:00Z,25.00,77.00
2026-04-22T07:04:00Z,25.00,77.00
2026-04-22T07:06:00Z,25.00,77.00
2026-04-22T07:07:00Z,25.00,77.59
2026-04-22T07:08:00Z,24.99,77.59
2026-04-22T07:09:00Z,25.00,77.59
2026-04-22T07:12:00Z,24.00,77.59
2026-04-22T07:13:00Z,23.76,80.00
2026-04-22T07:16:00Z,23.91,80.00
2026-04-22T07:18:00Z,24.50,75.41
2026-04-22T07:19:00Z,28.49,71.95
2026-04-22T07:20:00Z,35.86,65.58
2026-04-22T07:21:00Z,36.67,67.06
2026-04-22T07:22:00Z,38.90,64.01
2026-04-22T07:23:00Z,40.43,63.67
2026-04-22T07:24:00Z,42.10,61.00
2026-04-22T07:25:00Z,37.03,65.25
2026-04-22T07:26:00Z,37.29,65.96
2026-04-22T07:27:00Z,41.55,61.61
2026-04-22T07:28:00Z,42.21,59.80
2026-04-22T07:29:00Z,49.60,54.21
2026-04-22T07:30:00Z,53.04,48.31
2026-04-22T07:31:00Z,55.81,46.00
2026-04-22T07:32:00Z,53.12,49.49
2026-04-22T07:33:00Z,49.87,51.12
2026-04-22T07:34:00Z,53.45,51.00
2026-04-22T07:35:00Z,51.65,49.52
2026-04-22T07:36:00Z,53.13,46.26
2026-04-22T07:37:00Z,54.25,44.00
2026-04-22T07:38:00Z,55.25,44.71
2026-04-22T07:39:00Z,55.00,46.97
2026-04-22T07:40:00Z,54.78,46.97
2026-04-22T07:41:00Z,55.17,46.00
2026-04-22T07:42:00Z,56.30,46.00
2026-04-22T07:43:00Z,56.02,45.32
2026-04-22T07:44:00Z,50.47,49.18
2026-04-22T07:45:00Z,53.78,49.67
2026-04-22T07:46:00Z,55.58,45.33
2026-04-22T07:47:00Z,54.39,48.31
2026-04-22T07:48:00Z,56.82,43.52
2026-04-22T07:49:00Z,58.76,42.74
2026-04-22T07:50:00Z,58.94,42.96
2026-04-22T07:51:00Z,57.98,43.37
2026-04-22T07:52:00Z,57.72,43.94
2026-04-22T07:53:00Z,58.16,39.82
2026-04-22T07:54:00Z,59.25,41.93
2026-04-22T07:55:00Z,59.00,41.95
2026-04-22T07:56:00Z,58.41,41.82
2026-04-22T07:57:00Z,58.53,44.38
2026-04-22T07:58:00Z,58.45,43.00
2026-04-22T07:59:00Z,56.33,46.43
2026-04-22T08:00:00Z,56.06,45.95
2026-04-22T08:01:00Z,56.08,44.70
2026-04-22T08:02:00Z,52.38,45.90
2026-04-22T08:03:00Z,51.36,49.77
2026-04-22T08:04:00Z,55.41,45.15
2026-04-22T08:05:00Z,60.19,43.74
2026-04-22T08:06:00Z,64.95,36.47
2026-04-22T08:07:00Z,58.26,43.43
2026-04-22T08:08:00Z,58.91,43.21
2026-04-22T08:09:00Z,54.56,44.50
2026-04-22T08:10:00Z,55.53,44.24
2026-04-22T08:11:00Z,56.39,46.01
2026-04-22T08:12:00Z,59.22,43.08
2026-04-22T08:13:00Z,60.51,41.21
