# event_ticker=KXATPMATCH-25JUL27HERETC
# final_score=6-4 4-6 7-5
# score_resolution=4-6 6-4 5-7
# match_winner=Tomas Martin Etcheverry
# fav_player=Pierre-Hugues Herbert
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2025-07-27
timestamp,Pierre-Hugues Herbert,Tomas Martin Etcheverry
2025-07-27T18:39:00Z,51.00,
2025-07-27T19:39:00Z,51.00,70.00
2025-07-27T19:44:00Z,78.00,70.00
2025-07-27T20:41:00Z,51.19,70.00
2025-07-27T20:42:00Z,50.00,70.00
2025-07-27T20:44:00Z,50.00,78.00
2025-07-27T20:48:00Z,5.21,78.00
2025-07-27T20:50:00Z,5.21,75.00
2025-07-27T20:51:00Z,29.00,78.00
2025-07-27T20:53:00Z,27.00,78.00
2025-07-27T20:58:00Z,27.00,78.00
2025-07-27T20:59:00Z,57.17,78.00
2025-07-27T21:00:00Z,60.00,78.00
2025-07-27T21:06:00Z,60.00,63.37
2025-07-27T21:08:00Z,60.00,69.00
2025-07-27T21:11:00Z,60.00,73.00
2025-07-27T21:12:00Z,60.00,75.38
2025-07-27T21:13:00Z,60.00,82.35
2025-07-27T21:22:00Z,60.00,85.14
2025-07-27T21:23:00Z,60.00,89.00
2025-07-27T21:29:00Z,20.00,89.00
2025-07-27T21:30:00Z,21.00,89.00
2025-07-27T21:33:00Z,15.00,88.00
2025-07-27T21:34:00Z,11.88,93.00
2025-07-27T21:35:00Z,10.98,94.00
2025-07-27T21:39:00Z,15.00,94.00
2025-07-27T21:40:00Z,13.00,94.00
2025-07-27T21:41:00Z,13.56,85.00
2025-07-27T21:42:00Z,15.64,85.00
2025-07-27T21:43:00Z,16.00,87.00
2025-07-27T21:44:00Z,16.00,85.00
2025-07-27T21:45:00Z,16.89,85.00
2025-07-27T21:46:00Z,17.54,85.00
2025-07-27T21:47:00Z,17.27,85.00
2025-07-27T21:48:00Z,17.00,86.00
2025-07-27T21:49:00Z,15.00,86.00
2025-07-27T21:50:00Z,23.00,87.40
2025-07-27T21:51:00Z,26.88,52.00
2025-07-27T21:52:00Z,24.75,52.00
2025-07-27T21:53:00Z,29.00,52.00
2025-07-27T21:54:00Z,29.00,52.00
2025-07-27T21:55:00Z,43.26,52.00
2025-07-27T21:56:00Z,41.97,70.26
2025-07-27T21:57:00Z,41.00,85.00
2025-07-27T21:58:00Z,46.54,85.00
2025-07-27T21:59:00Z,46.54,53.96
2025-07-27T22:00:00Z,54.00,46.49
2025-07-27T22:02:00Z,48.00,46.49
2025-07-27T22:04:00Z,20.00,73.64
2025-07-27T22:05:00Z,29.00,73.64
2025-07-27T22:06:00Z,21.00,73.64
2025-07-27T22:09:00Z,21.00,85.00
2025-07-27T22:10:00Z,18.93,88.00
2025-07-27T22:11:00Z,18.93,94.07
2025-07-27T22:12:00Z,19.19,94.07
2025-07-27T22:13:00Z,19.19,80.29
2025-07-27T22:14:00Z,24.48,80.29
2025-07-27T22:15:00Z,24.74,80.29
2025-07-27T22:17:00Z,28.39,80.29
2025-07-27T22:18:00Z,43.00,80.29
2025-07-27T22:19:00Z,36.24,65.00
2025-07-27T22:21:00Z,59.00,38.00
2025-07-27T22:22:00Z,56.33,38.00
2025-07-27T22:23:00Z,52.00,38.00
2025-07-27T22:24:00Z,44.45,38.00
2025-07-27T22:26:00Z,41.90,38.00
2025-07-27T22:27:00Z,59.00,69.00
2025-07-27T22:29:00Z,59.00,69.00
2025-07-27T22:30:00Z,53.17,55.00
2025-07-27T22:31:00Z,52.98,55.00
2025-07-27T22:33:00Z,42.00,52.92
2025-07-27T22:35:00Z,57.00,46.46
2025-07-27T22:36:00Z,46.00,59.97
2025-07-27T22:37:00Z,33.50,65.00
2025-07-27T22:38:00Z,11.10,88.71
2025-07-27T22:39:00Z,14.46,90.44
2025-07-27T22:40:00Z,20.96,89.49
2025-07-27T22:41:00Z,31.69,89.49
2025-07-27T22:42:00Z,28.20,56.00
2025-07-27T22:43:00Z,19.96,93.43
2025-07-27T22:44:00Z,17.23,95.00
2025-07-27T22:45:00Z,16.92,95.00
2025-07-27T22:46:00Z,35.81,95.00
2025-07-27T22:47:00Z,45.12,57.22
2025-07-27T22:48:00Z,52.18,50.89
2025-07-27T22:49:00Z,52.54,61.49
2025-07-27T22:50:00Z,24.76,78.00
2025-07-27T22:51:00Z,11.83,78.00
2025-07-27T22:52:00Z,8.75,98.00
2025-07-27T22:53:00Z,11.82,93.00
2025-07-27T22:54:00Z,5.00,97.53
2025-07-27T22:56:00Z,1.00,98.26
2025-07-27T22:57:00Z,1.00,99.00
2025-07-27T22:58:00Z,1.00,99.00
2025-07-27T23:00:00Z,1.00,99.00
