# event_ticker=KXATPCHALLENGERMATCH-26MAY11BLAPIN
# final_score=6-3 6-7(4) 7-5
# score_resolution=3-6 7-6 5-7
# match_winner=Jack Pinnington Jones
# fav_player=Darwin Blanch
# dog_player=Jack Pinnington Jones
# kalshi_date=2026-05-11
timestamp,Darwin Blanch,Jack Pinnington Jones
2026-05-11T17:11:00Z,61.56,40.56
2026-05-11T17:12:00Z,65.53,43.98
2026-05-11T17:13:00Z,69.77,31.41
2026-05-11T17:14:00Z,71.01,31.00
2026-05-11T17:15:00Z,68.61,32.83
2026-05-11T17:16:00Z,64.06,37.32
2026-05-11T17:17:00Z,62.35,38.77
2026-05-11T17:18:00Z,61.02,38.66
2026-05-11T17:19:00Z,58.89,47.35
2026-05-11T17:20:00Z,56.79,39.53
2026-05-11T17:21:00Z,43.21,54.77
2026-05-11T17:22:00Z,66.33,32.99
2026-05-11T17:23:00Z,67.30,33.39
2026-05-11T17:24:00Z,74.60,26.55
2026-05-11T17:25:00Z,63.49,37.96
2026-05-11T17:26:00Z,58.16,42.94
2026-05-11T17:27:00Z,53.64,50.82
2026-05-11T17:28:00Z,41.67,51.02
2026-05-11T17:29:00Z,27.75,78.21
2026-05-11T17:30:00Z,14.90,85.10
2026-05-11T17:31:00Z,12.53,85.93
2026-05-11T17:32:00Z,21.65,81.07
2026-05-11T17:33:00Z,23.26,79.51
2026-05-11T17:34:00Z,6.35,97.24
2026-05-11T17:35:00Z,1.00,99.00
2026-05-11T17:36:00Z,1.00,99.00
2026-05-11T17:37:00Z,1.00,99.00
