# event_ticker=KXATPCHALLENGERMATCH-26MAY11BLAPIN
# final_score=6-3 6-7(4) 7-5
# score_resolution=3-6 7-6 5-7
# match_winner=Jack Pinnington Jones
# fav_player=Darwin Blanch
# dog_player=Jack Pinnington Jones
# kalshi_date=2026-05-11
timestamp,Darwin Blanch,Jack Pinnington Jones
2026-05-11T05:31:00Z,,45.00
2026-05-11T05:52:00Z,58.00,45.00
2026-05-11T06:48:00Z,56.00,45.00
2026-05-11T07:12:00Z,58.00,45.00
2026-05-11T07:56:00Z,58.00,43.00
2026-05-11T08:02:00Z,58.00,43.00
2026-05-11T08:57:00Z,57.00,43.00
2026-05-11T10:09:00Z,57.00,43.00
2026-05-11T10:48:00Z,57.00,44.00
2026-05-11T12:52:00Z,57.00,44.00
2026-05-11T14:19:00Z,57.00,44.00
2026-05-11T14:21:00Z,57.00,44.00
2026-05-11T14:23:00Z,57.00,44.00
2026-05-11T14:25:00Z,57.00,44.00
2026-05-11T14:26:00Z,57.00,44.00
2026-05-11T14:37:00Z,57.00,44.00
2026-05-11T14:48:00Z,57.00,44.00
2026-05-11T14:53:00Z,57.00,44.00
2026-05-11T14:55:00Z,57.00,44.00
2026-05-11T15:01:00Z,57.70,44.00
2026-05-11T15:05:00Z,57.70,44.00
2026-05-11T15:10:00Z,53.82,45.65
2026-05-11T15:11:00Z,51.00,51.00
2026-05-11T15:12:00Z,53.17,46.32
2026-05-11T15:13:00Z,52.00,45.22
2026-05-11T15:14:00Z,59.84,45.22
2026-05-11T15:15:00Z,57.00,42.63
2026-05-11T15:17:00Z,52.26,47.00
2026-05-11T15:18:00Z,52.00,49.00
2026-05-11T15:19:00Z,55.02,49.00
2026-05-11T15:20:00Z,57.00,44.02
2026-05-11T15:21:00Z,59.00,43.00
2026-05-11T15:22:00Z,58.82,43.00
2026-05-11T15:23:00Z,60.24,39.67
2026-05-11T15:24:00Z,61.68,38.28
2026-05-11T15:25:00Z,59.98,38.28
2026-05-11T15:26:00Z,56.51,45.00
2026-05-11T15:27:00Z,54.11,45.80
2026-05-11T15:28:00Z,57.02,47.68
2026-05-11T15:29:00Z,55.14,46.00
2026-05-11T15:30:00Z,54.52,47.85
2026-05-11T15:31:00Z,41.68,60.07
2026-05-11T15:32:00Z,38.15,62.00
2026-05-11T15:33:00Z,37.87,63.03
2026-05-11T15:34:00Z,37.15,62.71
2026-05-11T15:35:00Z,38.52,63.11
2026-05-11T15:36:00Z,38.88,63.55
2026-05-11T15:37:00Z,44.57,56.00
2026-05-11T15:38:00Z,45.64,52.53
2026-05-11T15:39:00Z,39.00,64.00
2026-05-11T15:40:00Z,34.95,67.30
2026-05-11T15:41:00Z,34.00,65.74
2026-05-11T15:42:00Z,37.89,62.98
2026-05-11T15:43:00Z,37.89,64.00
2026-05-11T15:44:00Z,34.00,66.90
2026-05-11T15:45:00Z,33.00,67.99
2026-05-11T15:46:00Z,32.16,67.83
2026-05-11T15:47:00Z,32.16,67.63
2026-05-11T15:48:00Z,26.59,74.38
2026-05-11T15:49:00Z,25.00,74.96
2026-05-11T15:50:00Z,24.94,75.46
2026-05-11T15:51:00Z,26.00,75.04
2026-05-11T15:52:00Z,25.67,77.62
2026-05-11T15:53:00Z,19.94,78.16
2026-05-11T15:54:00Z,20.07,80.97
2026-05-11T15:55:00Z,21.01,81.00
2026-05-11T15:56:00Z,21.21,80.10
2026-05-11T15:57:00Z,22.56,77.02
2026-05-11T15:58:00Z,20.58,80.26
2026-05-11T15:59:00Z,20.58,82.00
2026-05-11T16:00:00Z,18.00,80.72
2026-05-11T16:01:00Z,19.64,79.03
2026-05-11T16:02:00Z,22.94,78.00
2026-05-11T16:03:00Z,24.71,75.14
2026-05-11T16:04:00Z,29.87,72.53
2026-05-11T16:05:00Z,35.57,66.93
2026-05-11T16:06:00Z,39.95,62.00
2026-05-11T16:07:00Z,40.53,60.07
2026-05-11T16:08:00Z,43.99,56.23
2026-05-11T16:09:00Z,47.00,54.80
2026-05-11T16:10:00Z,47.96,51.39
2026-05-11T16:11:00Z,52.82,46.77
2026-05-11T16:12:00Z,54.61,45.53
2026-05-11T16:13:00Z,55.00,45.89
2026-05-11T16:14:00Z,55.76,44.68
2026-05-11T16:15:00Z,54.94,46.31
2026-05-11T16:16:00Z,51.00,47.58
2026-05-11T16:17:00Z,52.02,47.58
2026-05-11T16:18:00Z,55.93,44.97
2026-05-11T16:19:00Z,54.33,45.77
2026-05-11T16:20:00Z,51.12,47.23
2026-05-11T16:21:00Z,50.36,50.00
2026-05-11T16:22:00Z,46.86,53.37
2026-05-11T16:23:00Z,49.07,53.13
2026-05-11T16:24:00Z,45.17,55.54
2026-05-11T16:25:00Z,38.56,59.77
2026-05-11T16:26:00Z,25.96,75.29
2026-05-11T16:27:00Z,22.07,78.50
2026-05-11T16:28:00Z,20.99,79.94
2026-05-11T16:29:00Z,21.53,79.35
2026-05-11T16:30:00Z,25.98,75.25
2026-05-11T16:31:00Z,32.91,65.49
2026-05-11T16:32:00Z,43.68,59.16
2026-05-11T16:33:00Z,44.38,54.82
2026-05-11T16:34:00Z,37.96,63.64
2026-05-11T16:35:00Z,32.14,68.24
2026-05-11T16:36:00Z,30.99,71.30
2026-05-11T16:37:00Z,36.27,66.77
2026-05-11T16:38:00Z,48.72,48.50
2026-05-11T16:39:00Z,54.08,45.63
2026-05-11T16:40:00Z,54.70,46.00
2026-05-11T16:41:00Z,55.39,45.69
2026-05-11T16:42:00Z,56.33,43.74
2026-05-11T16:43:00Z,60.41,39.72
2026-05-11T16:44:00Z,61.32,39.42
2026-05-11T16:45:00Z,60.39,39.80
2026-05-11T16:46:00Z,59.30,43.68
2026-05-11T16:47:00Z,64.89,40.65
2026-05-11T16:48:00Z,62.20,36.58
2026-05-11T16:49:00Z,62.01,42.04
2026-05-11T16:50:00Z,62.05,39.82
2026-05-11T16:51:00Z,58.86,43.25
2026-05-11T16:52:00Z,61.43,36.86
2026-05-11T16:53:00Z,65.53,35.01
2026-05-11T16:54:00Z,65.44,35.07
2026-05-11T16:55:00Z,59.43,39.67
2026-05-11T16:56:00Z,58.05,42.05
2026-05-11T16:57:00Z,63.88,38.87
2026-05-11T16:58:00Z,65.46,35.91
2026-05-11T16:59:00Z,65.56,35.00
2026-05-11T17:00:00Z,63.57,36.74
2026-05-11T17:01:00Z,64.03,38.00
2026-05-11T17:02:00Z,65.32,34.36
2026-05-11T17:03:00Z,74.73,22.41
2026-05-11T17:04:00Z,75.08,27.20
2026-05-11T17:05:00Z,75.06,30.58
2026-05-11T17:06:00Z,67.53,35.04
2026-05-11T17:07:00Z,65.12,36.55
2026-05-11T17:08:00Z,67.49,34.09
2026-05-11T17:09:00Z,68.01,33.35
2026-05-11T17:10:00Z,60.15,39.44
