# event_ticker=KXATPCHALLENGERMATCH-26JUN04BASFOR
# final_score=6-1 6-3
# match_winner=Pierluigi Basile
# fav_player=Pierluigi Basile
# dog_player=Francesco Forti
# kalshi_date=2026-06-04
timestamp,Pierluigi Basile,Francesco Forti
2026-06-04T00:59:00Z,,64.00
2026-06-04T03:29:00Z,38.00,64.00
2026-06-04T03:32:00Z,38.76,64.00
2026-06-04T03:35:00Z,38.76,63.00
2026-06-04T03:43:00Z,39.00,63.00
2026-06-04T03:44:00Z,39.00,63.00
2026-06-04T03:45:00Z,39.00,63.00
2026-06-04T03:58:00Z,39.00,63.00
2026-06-04T04:11:00Z,39.00,63.00
2026-06-04T04:24:00Z,39.00,63.00
2026-06-04T04:38:00Z,37.00,63.00
2026-06-04T04:45:00Z,37.00,63.00
2026-06-04T04:54:00Z,37.00,63.00
2026-06-04T05:01:00Z,37.00,63.00
2026-06-04T05:06:00Z,37.00,63.00
2026-06-04T05:09:00Z,37.00,63.00
2026-06-04T05:39:00Z,37.00,63.00
2026-06-04T05:42:00Z,37.00,63.00
2026-06-04T05:43:00Z,37.00,63.00
2026-06-04T05:59:00Z,37.00,63.00
2026-06-04T06:05:00Z,37.00,62.00
2026-06-04T06:06:00Z,37.00,63.00
2026-06-04T06:21:00Z,38.00,61.00
2026-06-04T06:22:00Z,38.00,63.00
2026-06-04T06:26:00Z,38.00,63.00
2026-06-04T06:27:00Z,37.00,63.00
2026-06-04T06:37:00Z,37.00,63.00
2026-06-04T06:43:00Z,38.00,63.00
2026-06-04T06:44:00Z,38.00,61.00
2026-06-04T06:49:00Z,37.00,61.00
2026-06-04T06:51:00Z,37.00,63.00
2026-06-04T09:03:00Z,38.00,63.00
2026-06-04T09:06:00Z,38.00,63.00
2026-06-04T09:09:00Z,38.00,62.00
2026-06-04T09:12:00Z,39.00,62.00
2026-06-04T09:28:00Z,39.00,62.00
2026-06-04T11:01:00Z,39.00,62.00
2026-06-04T11:04:00Z,39.00,62.00
2026-06-04T11:12:00Z,39.00,63.00
2026-06-04T11:18:00Z,38.00,63.00
2026-06-04T11:20:00Z,38.00,61.00
2026-06-04T11:23:00Z,38.00,63.00
2026-06-04T11:32:00Z,38.00,63.00
2026-06-04T11:34:00Z,38.00,63.00
2026-06-04T11:36:00Z,38.00,63.00
2026-06-04T11:39:00Z,38.00,61.00
2026-06-04T11:46:00Z,38.00,63.00
2026-06-04T11:52:00Z,38.00,63.00
2026-06-04T11:54:00Z,38.00,63.00
2026-06-04T11:57:00Z,38.00,63.00
2026-06-04T12:01:00Z,39.00,63.00
2026-06-04T12:04:00Z,39.00,63.00
2026-06-04T12:06:00Z,39.00,62.96
2026-06-04T12:07:00Z,39.00,62.96
2026-06-04T12:08:00Z,39.00,62.96
2026-06-04T12:09:00Z,44.46,58.05
2026-06-04T12:10:00Z,42.00,57.66
2026-06-04T12:11:00Z,46.37,54.00
2026-06-04T12:12:00Z,52.98,48.00
2026-06-04T12:13:00Z,50.43,50.92
2026-06-04T12:14:00Z,49.85,50.20
2026-06-04T12:15:00Z,52.37,48.06
2026-06-04T12:16:00Z,56.25,45.00
2026-06-04T12:17:00Z,58.79,42.15
2026-06-04T12:18:00Z,60.15,41.82
2026-06-04T12:19:00Z,58.87,42.77
2026-06-04T12:20:00Z,58.87,44.00
2026-06-04T12:21:00Z,58.00,44.00
2026-06-04T12:22:00Z,59.50,42.44
2026-06-04T12:23:00Z,59.04,41.00
2026-06-04T12:24:00Z,63.00,37.00
2026-06-04T12:25:00Z,65.67,33.20
2026-06-04T12:26:00Z,72.90,27.58
2026-06-04T12:27:00Z,73.00,28.00
2026-06-04T12:28:00Z,73.84,27.79
2026-06-04T12:29:00Z,74.00,27.98
2026-06-04T12:30:00Z,72.26,29.03
2026-06-04T12:31:00Z,74.00,27.64
2026-06-04T12:32:00Z,74.58,26.00
2026-06-04T12:33:00Z,78.60,22.45
2026-06-04T12:34:00Z,78.00,23.00
2026-06-04T12:35:00Z,78.00,23.00
2026-06-04T12:36:00Z,76.89,23.02
2026-06-04T12:37:00Z,77.07,23.91
2026-06-04T12:38:00Z,80.66,21.73
2026-06-04T12:39:00Z,78.03,23.44
2026-06-04T12:40:00Z,79.56,21.91
2026-06-04T12:41:00Z,80.13,21.00
2026-06-04T12:42:00Z,81.84,18.52
2026-06-04T12:43:00Z,77.90,22.76
2026-06-04T12:44:00Z,75.73,24.53
2026-06-04T12:45:00Z,78.53,23.42
2026-06-04T12:46:00Z,79.98,21.00
2026-06-04T12:47:00Z,80.00,21.00
2026-06-04T12:48:00Z,80.33,21.04
2026-06-04T12:49:00Z,84.03,19.99
2026-06-04T12:50:00Z,79.42,17.47
2026-06-04T12:51:00Z,80.16,20.88
2026-06-04T12:52:00Z,77.69,24.45
2026-06-04T12:53:00Z,75.04,25.12
2026-06-04T12:54:00Z,77.22,26.48
2026-06-04T12:55:00Z,77.07,21.49
2026-06-04T12:56:00Z,74.41,27.63
2026-06-04T12:57:00Z,75.32,22.16
2026-06-04T12:58:00Z,75.32,22.00
2026-06-04T12:59:00Z,77.77,22.02
2026-06-04T13:00:00Z,78.68,24.00
2026-06-04T13:01:00Z,76.33,24.01
2026-06-04T13:02:00Z,76.33,27.96
2026-06-04T13:03:00Z,72.05,30.35
2026-06-04T13:04:00Z,74.25,26.74
2026-06-04T13:05:00Z,77.83,23.80
2026-06-04T13:06:00Z,77.83,23.00
2026-06-04T13:07:00Z,75.98,24.73
2026-06-04T13:08:00Z,78.65,21.18
2026-06-04T13:09:00Z,81.42,16.16
2026-06-04T13:10:00Z,95.37,8.95
2026-06-04T13:11:00Z,97.99,2.15
2026-06-04T13:12:00Z,96.10,4.71
