# event_ticker=KXATPCHALLENGERMATCH-26APR21NEUBEN
# final_score=4-3 RET
# match_winner=Karim Bennani
# fav_player=Karim Bennani
# dog_player=Maximilian Neuchrist
# kalshi_date=2026-04-21
timestamp,Maximilian Neuchrist,Karim Bennani
2026-04-21T06:09:00Z,39.00,
2026-04-21T06:56:00Z,39.00,62.00
2026-04-21T08:18:00Z,39.00,62.00
2026-04-21T11:27:00Z,39.00,62.90
2026-04-21T12:31:00Z,39.00,62.90
2026-04-21T12:39:00Z,39.00,64.00
2026-04-21T13:23:00Z,40.00,64.00
2026-04-21T13:47:00Z,40.00,64.00
2026-04-21T13:54:00Z,40.00,64.00
2026-04-21T13:58:00Z,40.00,64.00
2026-04-21T14:05:00Z,36.65,64.00
2026-04-21T14:24:00Z,36.65,64.00
2026-04-21T14:39:00Z,40.00,64.00
2026-04-21T15:02:00Z,40.00,64.00
2026-04-21T15:46:00Z,40.00,63.00
2026-04-21T15:59:00Z,40.00,63.00
2026-04-21T16:25:00Z,40.00,63.00
2026-04-21T16:43:00Z,40.00,63.00
2026-04-21T16:47:00Z,39.00,63.00
2026-04-21T16:52:00Z,39.00,63.50
2026-04-21T16:54:00Z,39.00,63.00
2026-04-21T17:00:00Z,39.00,64.00
2026-04-21T17:01:00Z,39.00,64.00
2026-04-21T17:02:00Z,39.00,64.00
2026-04-21T17:05:00Z,39.00,64.00
2026-04-21T17:06:00Z,39.00,64.00
2026-04-21T17:15:00Z,37.00,64.00
2026-04-21T17:16:00Z,36.00,64.00
2026-04-21T17:21:00Z,36.00,64.00
2026-04-21T17:30:00Z,39.00,64.00
2026-04-21T17:34:00Z,39.00,63.10
2026-04-21T17:36:00Z,39.00,63.10
2026-04-21T17:37:00Z,38.00,63.10
2026-04-21T17:38:00Z,38.00,64.00
2026-04-21T17:39:00Z,39.00,64.00
2026-04-21T17:40:00Z,39.00,64.00
2026-04-21T17:41:00Z,30.33,65.04
2026-04-21T17:42:00Z,38.00,66.00
2026-04-21T17:43:00Z,38.00,66.00
2026-04-21T17:44:00Z,38.00,66.00
2026-04-21T17:45:00Z,38.25,66.00
2026-04-21T17:46:00Z,37.64,64.21
2026-04-21T17:47:00Z,37.64,65.00
2026-04-21T17:48:00Z,37.64,65.53
2026-04-21T17:50:00Z,37.64,67.00
2026-04-21T17:51:00Z,37.64,67.04
2026-04-21T17:53:00Z,35.00,67.04
2026-04-21T17:56:00Z,35.00,65.00
2026-04-21T17:57:00Z,35.00,64.04
2026-04-21T18:00:00Z,36.00,66.00
2026-04-21T18:01:00Z,36.00,66.00
2026-04-21T18:02:00Z,36.00,66.00
2026-04-21T18:03:00Z,36.00,66.00
2026-04-21T18:04:00Z,33.64,70.63
2026-04-21T18:05:00Z,28.00,70.63
2026-04-21T18:06:00Z,35.00,67.40
2026-04-21T18:07:00Z,35.00,65.73
2026-04-21T18:08:00Z,35.00,71.00
2026-04-21T18:11:00Z,35.00,65.00
2026-04-21T18:14:00Z,33.00,71.00
2026-04-21T18:17:00Z,7.34,93.10
2026-04-21T18:18:00Z,1.00,99.00
2026-04-21T18:20:00Z,1.00,99.00
2026-04-21T18:22:00Z,1.00,99.00
