# event_ticker=KXATPCHALLENGERMATCH-26FEB22PERHER
# final_score=6-4 6-4
# match_winner=Pierre-Hugues Herbert
# fav_player=Pierre-Hugues Herbert
# dog_player=Raphael Perot
# kalshi_date=2026-02-22
timestamp,Pierre-Hugues Herbert,Raphael Perot
2026-02-24T05:43:00Z,65.00,
2026-02-24T05:51:00Z,65.00,
2026-02-24T06:23:00Z,65.00,39.00
2026-02-24T06:38:00Z,65.00,39.00
2026-02-24T06:57:00Z,65.00,35.00
2026-02-24T08:19:00Z,65.00,39.00
2026-02-24T09:11:00Z,64.31,39.00
2026-02-24T10:44:00Z,64.31,41.00
2026-02-24T11:08:00Z,63.00,41.00
2026-02-24T11:17:00Z,63.00,41.00
2026-02-24T11:49:00Z,63.00,41.00
2026-02-24T13:16:00Z,63.00,41.00
2026-02-24T13:39:00Z,63.00,41.00
2026-02-24T13:41:00Z,63.00,41.00
2026-02-24T13:46:00Z,63.00,40.00
2026-02-24T13:59:00Z,63.00,40.00
2026-02-24T14:29:00Z,63.00,40.00
2026-02-24T14:50:00Z,63.00,40.00
2026-02-24T15:01:00Z,59.00,40.00
2026-02-24T15:02:00Z,59.00,40.00
2026-02-24T15:04:00Z,59.00,43.00
2026-02-24T15:18:00Z,59.00,43.00
2026-02-24T15:20:00Z,60.00,43.00
2026-02-24T15:24:00Z,60.00,43.00
2026-02-24T15:31:00Z,60.00,43.00
2026-02-24T15:38:00Z,60.00,43.00
2026-02-24T15:40:00Z,60.00,43.00
2026-02-24T15:42:00Z,60.00,43.00
2026-02-24T15:43:00Z,60.00,43.00
2026-02-24T15:44:00Z,60.00,43.00
2026-02-24T15:45:00Z,60.00,43.00
2026-02-24T15:46:00Z,60.00,43.00
2026-02-24T15:49:00Z,60.00,43.00
2026-02-24T15:53:00Z,60.00,43.00
2026-02-24T15:58:00Z,60.00,43.00
2026-02-24T15:59:00Z,60.00,43.00
2026-02-24T16:00:00Z,60.00,43.00
2026-02-24T16:01:00Z,60.00,40.78
2026-02-24T16:03:00Z,60.00,40.78
2026-02-24T16:05:00Z,60.00,43.00
2026-02-24T16:15:00Z,60.00,40.00
2026-02-24T16:18:00Z,60.00,43.00
2026-02-24T16:20:00Z,61.00,43.00
2026-02-24T16:22:00Z,61.00,42.91
2026-02-24T16:23:00Z,61.00,40.00
2026-02-24T16:24:00Z,61.00,40.00
2026-02-24T16:25:00Z,61.00,42.98
2026-02-24T16:28:00Z,61.00,42.98
2026-02-24T16:31:00Z,63.93,42.98
2026-02-24T16:37:00Z,63.93,42.50
2026-02-24T16:48:00Z,63.97,42.50
2026-02-24T16:50:00Z,63.80,42.50
2026-02-24T16:51:00Z,63.00,42.50
2026-02-24T16:52:00Z,63.00,42.50
2026-02-24T16:53:00Z,64.00,42.50
2026-02-24T16:54:00Z,64.00,42.50
2026-02-24T16:59:00Z,61.00,42.50
2026-02-24T17:01:00Z,61.00,42.50
2026-02-24T17:02:00Z,61.00,39.23
2026-02-24T17:05:00Z,61.00,39.23
2026-02-24T17:10:00Z,61.00,39.23
2026-02-24T17:13:00Z,61.00,39.23
2026-02-24T17:16:00Z,61.00,39.23
2026-02-24T17:18:00Z,61.00,39.23
2026-02-24T17:21:00Z,61.00,39.23
2026-02-24T17:22:00Z,62.04,39.23
2026-02-24T17:27:00Z,60.00,42.00
2026-02-24T17:29:00Z,60.02,42.00
2026-02-24T17:31:00Z,61.32,43.00
2026-02-24T17:32:00Z,56.00,46.00
2026-02-24T17:33:00Z,56.13,44.20
2026-02-24T17:34:00Z,53.00,46.00
2026-02-24T17:35:00Z,57.30,46.00
2026-02-24T17:36:00Z,56.61,43.27
2026-02-24T17:37:00Z,56.00,44.17
2026-02-24T17:38:00Z,59.92,49.26
2026-02-24T17:39:00Z,56.88,45.65
2026-02-24T17:40:00Z,58.07,43.05
2026-02-24T17:41:00Z,54.00,43.05
2026-02-24T17:42:00Z,53.76,48.00
2026-02-24T17:43:00Z,52.18,51.13
2026-02-24T17:44:00Z,55.04,46.72
2026-02-24T17:45:00Z,57.30,44.71
2026-02-24T17:46:00Z,58.78,44.34
2026-02-24T17:47:00Z,57.75,41.88
2026-02-24T17:48:00Z,59.44,43.35
2026-02-24T17:49:00Z,56.21,45.55
2026-02-24T17:50:00Z,56.00,46.00
2026-02-24T17:51:00Z,55.40,48.04
2026-02-24T17:52:00Z,57.19,42.00
2026-02-24T17:53:00Z,52.51,47.70
2026-02-24T17:54:00Z,52.75,52.67
2026-02-24T17:55:00Z,56.00,47.00
2026-02-24T17:56:00Z,53.76,49.58
2026-02-24T17:57:00Z,54.90,47.64
2026-02-24T17:58:00Z,59.39,42.00
2026-02-24T17:59:00Z,59.18,43.00
2026-02-24T18:00:00Z,65.29,40.00
2026-02-24T18:01:00Z,68.81,27.75
2026-02-24T18:02:00Z,77.85,22.15
2026-02-24T18:03:00Z,74.31,25.00
2026-02-24T18:04:00Z,74.64,31.99
2026-02-24T18:05:00Z,73.88,30.47
2026-02-24T18:06:00Z,76.08,25.31
2026-02-24T18:07:00Z,78.40,23.98
2026-02-24T18:08:00Z,79.31,20.88
2026-02-24T18:09:00Z,77.86,21.95
2026-02-24T18:10:00Z,77.32,21.82
2026-02-24T18:11:00Z,79.98,22.00
2026-02-24T18:12:00Z,80.31,20.05
2026-02-24T18:13:00Z,80.02,17.27
2026-02-24T18:15:00Z,80.41,19.04
2026-02-24T18:16:00Z,79.88,18.00
2026-02-24T18:17:00Z,84.00,17.01
2026-02-24T18:18:00Z,83.98,17.00
2026-02-24T18:19:00Z,81.79,18.25
2026-02-24T18:20:00Z,80.40,21.00
2026-02-24T18:21:00Z,79.78,21.71
2026-02-24T18:22:00Z,81.22,20.85
2026-02-24T18:23:00Z,80.24,21.00
2026-02-24T18:24:00Z,81.79,18.77
2026-02-24T18:25:00Z,81.34,19.81
2026-02-24T18:26:00Z,87.19,13.61
2026-02-24T18:27:00Z,91.30,7.76
2026-02-24T18:28:00Z,92.11,5.59
2026-02-24T18:29:00Z,94.58,6.10
2026-02-24T18:30:00Z,96.00,6.10
2026-02-24T18:31:00Z,95.63,4.64
2026-02-24T18:32:00Z,95.92,5.00
2026-02-24T18:33:00Z,94.86,6.01
2026-02-24T18:34:00Z,94.90,6.50
2026-02-24T18:35:00Z,95.03,4.99
2026-02-24T18:36:00Z,96.99,4.00
2026-02-24T18:37:00Z,96.70,3.97
2026-02-24T18:38:00Z,97.24,4.82
2026-02-24T18:39:00Z,95.96,5.44
2026-02-24T18:40:00Z,96.74,5.00
2026-02-24T18:41:00Z,94.02,6.57
2026-02-24T18:42:00Z,92.96,7.33
2026-02-24T18:43:00Z,95.78,3.31
2026-02-24T18:44:00Z,99.00,2.50
2026-02-24T18:45:00Z,98.79,1.64
2026-02-24T18:46:00Z,97.71,3.46
2026-02-24T18:47:00Z,98.05,2.09
2026-02-24T18:48:00Z,98.90,1.28
2026-02-24T18:49:00Z,98.96,2.98
2026-02-24T18:50:00Z,97.91,3.60
2026-02-24T18:51:00Z,98.00,3.00
2026-02-24T18:52:00Z,98.07,3.24
2026-02-24T18:53:00Z,98.96,1.04
2026-02-24T18:54:00Z,99.00,1.04
2026-02-24T18:55:00Z,99.00,1.04
2026-02-24T18:56:00Z,99.00,1.04
2026-02-24T18:57:00Z,99.00,1.04
2026-02-24T18:58:00Z,99.00,1.04
2026-02-24T19:00:00Z,99.00,1.04
2026-02-24T19:01:00Z,99.00,1.04
