# event_ticker=KXATPMATCH-25AUG19FUCGRI
# final_score=6-3 4-6 6-3
# match_winner=Marton Fucsovics
# fav_player=Marton Fucsovics
# dog_player=Tallon Griekspoor
# kalshi_date=2025-08-19
timestamp,Marton Fucsovics,Tallon Griekspoor
2025-08-19T12:00:00Z,50.00,
2025-08-19T12:44:00Z,49.43,57.97
2025-08-19T12:58:00Z,48.00,57.97
2025-08-19T13:00:00Z,48.00,57.00
2025-08-19T13:15:00Z,48.00,56.00
2025-08-19T13:16:00Z,49.00,56.00
2025-08-19T13:25:00Z,49.00,56.00
2025-08-19T13:31:00Z,49.00,56.00
2025-08-19T13:50:00Z,49.00,56.00
2025-08-19T13:59:00Z,45.00,56.00
2025-08-19T14:09:00Z,45.00,56.00
2025-08-19T14:11:00Z,45.00,56.00
2025-08-19T14:54:00Z,45.00,56.00
2025-08-19T15:40:00Z,45.00,56.00
2025-08-19T15:41:00Z,45.00,56.31
2025-08-19T15:53:00Z,45.00,57.00
2025-08-19T16:14:00Z,44.00,57.00
2025-08-19T16:20:00Z,44.00,57.00
2025-08-19T16:28:00Z,44.00,56.00
2025-08-19T16:36:00Z,44.00,56.67
2025-08-19T16:39:00Z,45.00,56.67
2025-08-19T16:45:00Z,45.00,56.67
2025-08-19T16:57:00Z,45.00,57.00
2025-08-19T17:12:00Z,45.00,55.00
2025-08-19T17:13:00Z,45.00,55.00
2025-08-19T17:14:00Z,45.00,54.00
2025-08-19T17:15:00Z,46.00,54.00
2025-08-19T17:16:00Z,46.00,54.00
2025-08-19T17:21:00Z,46.00,54.00
2025-08-19T17:22:00Z,46.00,54.00
2025-08-19T17:32:00Z,46.00,54.00
2025-08-19T17:54:00Z,46.00,54.00
2025-08-19T17:58:00Z,46.00,54.00
2025-08-19T17:59:00Z,46.00,55.00
2025-08-19T18:00:00Z,46.00,55.00
2025-08-19T18:02:00Z,47.00,55.00
2025-08-19T18:03:00Z,47.00,55.84
2025-08-19T18:05:00Z,47.00,56.00
2025-08-19T18:07:00Z,47.00,56.00
2025-08-19T18:09:00Z,47.00,56.00
2025-08-19T18:10:00Z,47.00,56.00
2025-08-19T18:11:00Z,48.68,55.00
2025-08-19T18:12:00Z,48.73,53.11
2025-08-19T18:13:00Z,46.34,53.11
2025-08-19T18:14:00Z,46.00,59.22
2025-08-19T18:15:00Z,45.00,57.00
2025-08-19T18:16:00Z,46.24,56.63
2025-08-19T18:17:00Z,46.24,53.86
2025-08-19T18:18:00Z,46.24,50.00
2025-08-19T18:19:00Z,50.00,50.00
2025-08-19T18:20:00Z,53.00,48.36
2025-08-19T18:21:00Z,50.63,50.69
2025-08-19T18:22:00Z,60.06,38.16
2025-08-19T18:23:00Z,63.54,35.00
2025-08-19T18:24:00Z,63.54,35.00
2025-08-19T18:25:00Z,63.54,33.97
2025-08-19T18:26:00Z,64.16,37.92
2025-08-19T18:27:00Z,64.16,37.00
2025-08-19T18:28:00Z,61.28,40.62
2025-08-19T18:29:00Z,62.00,41.11
2025-08-19T18:30:00Z,58.99,43.52
2025-08-19T18:31:00Z,65.59,37.85
2025-08-19T18:32:00Z,68.00,35.00
2025-08-19T18:33:00Z,78.26,33.02
2025-08-19T18:34:00Z,69.48,30.19
2025-08-19T18:35:00Z,57.64,35.91
2025-08-19T18:36:00Z,66.28,34.90
2025-08-19T18:37:00Z,70.75,28.66
2025-08-19T18:38:00Z,70.12,34.70
2025-08-19T18:39:00Z,70.66,30.00
2025-08-19T18:40:00Z,70.66,32.00
2025-08-19T18:41:00Z,65.00,32.00
2025-08-19T18:42:00Z,66.35,38.67
2025-08-19T18:43:00Z,65.78,36.90
2025-08-19T18:44:00Z,63.54,35.00
2025-08-19T18:45:00Z,63.00,37.92
2025-08-19T18:46:00Z,65.49,37.00
2025-08-19T18:47:00Z,68.00,35.11
2025-08-19T18:48:00Z,67.00,35.00
2025-08-19T18:49:00Z,68.00,36.16
2025-08-19T18:50:00Z,67.61,34.10
2025-08-19T18:51:00Z,67.61,35.00
2025-08-19T18:52:00Z,67.61,36.15
2025-08-19T18:53:00Z,67.61,36.00
2025-08-19T18:54:00Z,68.39,35.00
2025-08-19T18:55:00Z,68.39,35.06
2025-08-19T18:56:00Z,68.02,34.75
2025-08-19T18:57:00Z,68.02,32.01
