# event_ticker=KXATPCHALLENGERMATCH-26APR09CHIGAD
# final_score=6-4 6-1
# match_winner=Clement Chidekh
# fav_player=Clement Chidekh
# dog_player=Buvaysar Gadamauri
# kalshi_date=2026-04-09
timestamp,Clement Chidekh,Buvaysar Gadamauri
2026-04-08T18:19:00Z,66.00,
2026-04-08T18:55:00Z,63.29,
2026-04-08T19:25:00Z,65.00,
2026-04-08T19:39:00Z,65.00,
2026-04-08T20:16:00Z,65.00,35.00
2026-04-08T20:57:00Z,65.00,35.00
2026-04-08T21:16:00Z,66.00,35.00
2026-04-08T21:17:00Z,66.00,35.00
2026-04-08T21:36:00Z,66.00,35.00
2026-04-08T22:14:00Z,66.00,35.00
2026-04-08T22:40:00Z,65.00,35.00
2026-04-08T23:00:00Z,66.00,35.00
2026-04-08T23:14:00Z,66.00,35.00
2026-04-08T23:20:00Z,65.00,35.00
2026-04-08T23:35:00Z,65.00,36.00
2026-04-08T23:36:00Z,65.00,36.00
2026-04-08T23:40:00Z,65.00,36.00
2026-04-08T23:51:00Z,65.00,36.00
2026-04-08T23:56:00Z,65.00,36.00
2026-04-08T23:58:00Z,66.00,36.00
2026-04-09T00:17:00Z,66.00,36.00
2026-04-09T00:20:00Z,66.00,36.00
2026-04-09T00:37:00Z,66.00,36.00
2026-04-09T00:40:00Z,66.00,35.00
2026-04-09T00:46:00Z,67.00,35.00
2026-04-09T00:50:00Z,67.00,35.00
2026-04-09T00:56:00Z,67.00,34.00
2026-04-09T00:57:00Z,67.00,34.00
2026-04-09T01:05:00Z,67.00,34.00
2026-04-09T01:10:00Z,67.19,34.00
2026-04-09T01:12:00Z,68.00,34.00
2026-04-09T01:17:00Z,68.00,32.00
2026-04-09T01:19:00Z,68.00,32.00
2026-04-09T01:31:00Z,68.00,32.00
2026-04-09T01:37:00Z,68.00,32.00
2026-04-09T01:40:00Z,68.00,32.00
2026-04-09T01:41:00Z,68.00,32.00
2026-04-09T01:46:00Z,68.00,32.00
2026-04-09T01:48:00Z,68.00,32.00
2026-04-09T01:49:00Z,68.00,32.00
2026-04-09T01:51:00Z,68.00,33.00
2026-04-09T01:52:00Z,68.00,34.00
2026-04-09T01:58:00Z,68.00,34.00
2026-04-09T02:07:00Z,68.00,34.00
2026-04-09T02:08:00Z,68.00,34.00
2026-04-09T02:42:00Z,68.00,34.00
2026-04-09T02:44:00Z,68.00,34.00
2026-04-09T02:49:00Z,68.00,34.00
2026-04-09T02:50:00Z,68.71,34.00
2026-04-09T02:51:00Z,69.00,34.00
2026-04-09T03:08:00Z,69.00,31.96
2026-04-09T03:13:00Z,69.00,31.96
2026-04-09T03:14:00Z,69.00,31.96
2026-04-09T03:21:00Z,67.00,31.96
2026-04-09T03:24:00Z,67.00,32.00
2026-04-09T03:28:00Z,68.24,32.00
2026-04-09T03:30:00Z,68.24,33.00
2026-04-09T03:33:00Z,69.00,33.00
2026-04-09T03:34:00Z,69.00,33.00
2026-04-09T03:37:00Z,69.00,33.00
2026-04-09T03:38:00Z,69.00,33.00
2026-04-09T03:40:00Z,69.00,33.00
2026-04-09T03:43:00Z,69.00,33.00
2026-04-09T03:44:00Z,69.00,33.00
2026-04-09T03:45:00Z,68.00,33.00
2026-04-09T03:48:00Z,69.00,33.00
2026-04-09T03:51:00Z,69.00,33.00
2026-04-09T03:52:00Z,69.00,33.00
2026-04-09T03:54:00Z,69.00,31.00
2026-04-09T03:55:00Z,69.00,31.00
2026-04-09T03:56:00Z,69.00,32.00
2026-04-09T03:59:00Z,69.00,32.00
2026-04-09T04:00:00Z,69.00,32.00
2026-04-09T04:01:00Z,69.00,32.00
2026-04-09T04:03:00Z,69.00,32.00
2026-04-09T04:04:00Z,69.00,32.00
2026-04-09T04:05:00Z,69.00,32.00
2026-04-09T04:06:00Z,68.04,32.00
2026-04-09T04:07:00Z,68.04,33.00
2026-04-09T04:08:00Z,67.00,33.00
2026-04-09T04:10:00Z,66.00,33.00
2026-04-09T04:13:00Z,67.17,34.00
2026-04-09T04:15:00Z,67.00,34.00
2026-04-09T04:16:00Z,67.00,34.00
2026-04-09T04:17:00Z,66.98,34.00
2026-04-09T04:18:00Z,67.00,34.00
2026-04-09T04:19:00Z,67.00,34.00
2026-04-09T04:20:00Z,67.14,34.00
2026-04-09T04:21:00Z,67.00,34.00
2026-04-09T04:22:00Z,67.00,34.00
2026-04-09T04:23:00Z,67.51,34.00
2026-04-09T04:24:00Z,68.00,34.00
2026-04-09T04:25:00Z,67.00,34.00
2026-04-09T04:26:00Z,67.00,35.03
2026-04-09T04:27:00Z,67.59,35.37
2026-04-09T04:28:00Z,66.91,35.49
2026-04-09T04:29:00Z,65.61,37.75
2026-04-09T04:30:00Z,65.26,38.11
2026-04-09T04:31:00Z,68.59,34.69
2026-04-09T04:32:00Z,55.46,34.72
2026-04-09T04:33:00Z,69.91,32.46
2026-04-09T04:34:00Z,71.06,32.62
2026-04-09T04:35:00Z,72.50,29.83
2026-04-09T04:36:00Z,73.05,29.49
2026-04-09T04:37:00Z,72.70,28.64
2026-04-09T04:38:00Z,74.54,26.77
2026-04-09T04:39:00Z,80.43,24.47
2026-04-09T04:40:00Z,72.87,28.82
2026-04-09T04:41:00Z,79.64,22.21
2026-04-09T04:42:00Z,74.24,27.45
2026-04-09T04:43:00Z,74.35,28.83
2026-04-09T04:44:00Z,72.01,29.37
2026-04-09T04:45:00Z,71.46,30.12
2026-04-09T04:46:00Z,71.88,30.68
2026-04-09T04:47:00Z,71.55,30.66
2026-04-09T04:48:00Z,73.74,28.53
2026-04-09T04:49:00Z,78.56,23.48
2026-04-09T04:50:00Z,79.55,20.65
2026-04-09T04:51:00Z,82.02,22.36
2026-04-09T04:52:00Z,79.66,21.15
2026-04-09T04:53:00Z,77.30,24.96
2026-04-09T04:54:00Z,69.87,29.32
2026-04-09T04:55:00Z,61.58,40.40
2026-04-09T04:56:00Z,61.01,40.13
2026-04-09T04:57:00Z,64.31,39.97
2026-04-09T04:58:00Z,67.13,34.80
2026-04-09T04:59:00Z,71.11,30.54
2026-04-09T05:00:00Z,61.70,41.07
2026-04-09T05:01:00Z,59.13,38.77
2026-04-09T05:02:00Z,68.09,30.23
2026-04-09T05:03:00Z,74.04,27.40
2026-04-09T05:04:00Z,71.55,30.79
2026-04-09T05:05:00Z,69.72,29.94
2026-04-09T05:06:00Z,73.68,26.92
2026-04-09T05:07:00Z,76.59,24.14
2026-04-09T05:08:00Z,77.56,23.20
2026-04-09T05:09:00Z,78.22,21.79
2026-04-09T05:10:00Z,83.40,18.23
2026-04-09T05:11:00Z,86.77,11.59
2026-04-09T05:12:00Z,90.66,9.74
2026-04-09T05:13:00Z,90.39,10.16
2026-04-09T05:14:00Z,85.51,15.12
2026-04-09T05:15:00Z,87.63,12.06
2026-04-09T05:16:00Z,88.36,14.18
2026-04-09T05:17:00Z,88.75,11.40
2026-04-09T05:18:00Z,88.47,12.56
2026-04-09T05:19:00Z,84.23,15.86
2026-04-09T05:20:00Z,76.73,22.77
2026-04-09T05:21:00Z,77.53,21.59
2026-04-09T05:22:00Z,83.24,16.02
