# event_ticker=KXATPMATCH-26JAN13VUKVAV
# final_score=6-2 7-6(5)
# score_resolution=6-2 7-6
# match_winner=Aleksandar Vukic
# fav_player=Aleksandar Vukic
# dog_player=Andrea Vavassori
# kalshi_date=2026-01-13
timestamp,Aleksandar Vukic,Andrea Vavassori
2026-01-13T17:45:00Z,,38.00
2026-01-13T17:46:00Z,,38.00
2026-01-13T18:23:00Z,,38.00
2026-01-13T19:39:00Z,,36.00
2026-01-13T19:43:00Z,,39.00
2026-01-13T19:47:00Z,,36.00
2026-01-13T20:15:00Z,65.00,36.00
2026-01-13T21:08:00Z,65.00,38.00
2026-01-13T22:09:00Z,64.00,38.00
2026-01-13T22:11:00Z,64.00,38.00
2026-01-13T22:12:00Z,63.00,38.00
2026-01-13T22:15:00Z,64.00,38.00
2026-01-13T22:17:00Z,63.00,38.00
2026-01-13T23:00:00Z,64.00,38.00
2026-01-13T23:47:00Z,63.00,38.00
2026-01-14T00:12:00Z,63.00,39.00
2026-01-14T00:31:00Z,63.00,39.00
2026-01-14T00:34:00Z,63.00,41.00
2026-01-14T02:12:00Z,63.00,40.00
2026-01-14T02:20:00Z,62.00,40.00
2026-01-14T03:09:00Z,62.00,40.00
2026-01-14T03:10:00Z,59.00,40.00
2026-01-14T03:34:00Z,59.00,41.00
2026-01-14T03:35:00Z,59.00,41.00
2026-01-14T03:39:00Z,59.00,41.00
2026-01-14T03:43:00Z,59.00,38.00
2026-01-14T03:44:00Z,62.00,41.00
2026-01-14T03:54:00Z,62.00,41.00
2026-01-14T03:58:00Z,62.00,41.00
2026-01-14T04:08:00Z,62.00,41.00
2026-01-14T04:23:00Z,62.00,41.00
2026-01-14T04:31:00Z,61.00,41.47
2026-01-14T04:32:00Z,62.00,41.47
2026-01-14T04:35:00Z,62.00,41.47
2026-01-14T04:36:00Z,62.00,40.79
2026-01-14T04:37:00Z,61.00,40.79
2026-01-14T04:39:00Z,61.00,42.00
2026-01-14T04:40:00Z,61.77,42.00
2026-01-14T04:41:00Z,64.66,38.79
2026-01-14T04:42:00Z,71.00,38.79
2026-01-14T04:43:00Z,69.00,30.98
2026-01-14T04:44:00Z,72.00,30.98
2026-01-14T04:45:00Z,75.15,28.00
2026-01-14T04:46:00Z,75.38,26.00
2026-01-14T04:47:00Z,77.00,24.58
2026-01-14T04:48:00Z,78.62,22.00
2026-01-14T04:49:00Z,77.64,22.22
2026-01-14T04:50:00Z,77.64,25.00
2026-01-14T04:51:00Z,77.00,26.00
2026-01-14T04:52:00Z,74.00,29.00
2026-01-14T04:53:00Z,67.79,29.00
2026-01-14T04:54:00Z,72.27,28.30
2026-01-14T04:55:00Z,71.70,28.80
2026-01-14T04:56:00Z,69.07,27.81
2026-01-14T04:57:00Z,79.96,23.38
2026-01-14T04:58:00Z,79.96,23.00
2026-01-14T04:59:00Z,80.67,23.00
2026-01-14T05:00:00Z,83.00,23.00
2026-01-14T05:01:00Z,86.00,14.00
2026-01-14T05:02:00Z,86.00,16.00
2026-01-14T05:03:00Z,86.71,16.47
2026-01-14T05:04:00Z,84.39,13.64
2026-01-14T05:05:00Z,86.00,13.00
2026-01-14T05:06:00Z,84.55,15.00
2026-01-14T05:07:00Z,84.55,15.00
2026-01-14T05:08:00Z,86.30,15.62
2026-01-14T05:11:00Z,87.00,15.00
2026-01-14T05:13:00Z,86.00,15.00
2026-01-14T05:14:00Z,85.00,16.00
2026-01-14T05:15:00Z,87.39,15.00
2026-01-14T05:16:00Z,87.00,15.00
2026-01-14T05:17:00Z,85.01,15.00
2026-01-14T05:18:00Z,89.66,15.00
2026-01-14T05:19:00Z,91.00,10.07
2026-01-14T05:20:00Z,93.98,5.64
2026-01-14T05:21:00Z,95.00,6.00
2026-01-14T05:23:00Z,95.00,5.00
2026-01-14T05:24:00Z,96.00,4.00
2026-01-14T05:25:00Z,96.00,4.00
2026-01-14T05:26:00Z,96.00,4.04
2026-01-14T05:27:00Z,96.00,4.32
2026-01-14T05:28:00Z,98.00,4.00
2026-01-14T05:29:00Z,94.19,4.00
2026-01-14T05:30:00Z,94.19,5.00
2026-01-14T05:31:00Z,98.00,5.00
2026-01-14T05:32:00Z,96.00,4.00
2026-01-14T05:33:00Z,95.00,6.95
2026-01-14T05:34:00Z,85.35,14.20
2026-01-14T05:35:00Z,82.00,17.86
2026-01-14T05:36:00Z,82.00,15.48
2026-01-14T05:37:00Z,79.93,24.52
2026-01-14T05:38:00Z,79.32,21.00
2026-01-14T05:39:00Z,81.00,21.00
2026-01-14T05:40:00Z,83.10,21.00
2026-01-14T05:41:00Z,81.95,20.00
2026-01-14T05:42:00Z,82.00,20.00
2026-01-14T05:43:00Z,84.00,16.10
2026-01-14T05:44:00Z,84.76,15.92
2026-01-14T05:45:00Z,90.00,11.44
2026-01-14T05:46:00Z,93.00,7.44
2026-01-14T05:47:00Z,89.41,11.54
2026-01-14T05:48:00Z,80.42,16.05
2026-01-14T05:49:00Z,80.50,20.42
2026-01-14T05:50:00Z,80.91,19.57
2026-01-14T05:51:00Z,80.93,24.00
2026-01-14T05:52:00Z,81.80,26.00
2026-01-14T05:53:00Z,84.02,16.60
2026-01-14T05:54:00Z,84.53,18.97
2026-01-14T05:55:00Z,83.00,18.78
2026-01-14T05:56:00Z,83.03,16.75
2026-01-14T05:57:00Z,83.94,19.88
2026-01-14T05:58:00Z,84.00,19.05
2026-01-14T05:59:00Z,83.00,19.78
2026-01-14T06:00:00Z,82.80,19.28
2026-01-14T06:01:00Z,81.78,20.79
2026-01-14T06:02:00Z,79.00,20.81
2026-01-14T06:03:00Z,82.97,19.61
2026-01-14T06:04:00Z,86.00,15.80
2026-01-14T06:05:00Z,82.73,17.98
2026-01-14T06:06:00Z,81.26,17.10
2026-01-14T06:07:00Z,85.69,14.08
2026-01-14T06:08:00Z,89.40,12.45
2026-01-14T06:09:00Z,84.67,14.39
2026-01-14T06:10:00Z,89.18,13.31
2026-01-14T06:11:00Z,88.93,15.38
2026-01-14T06:12:00Z,81.59,19.00
2026-01-14T06:13:00Z,81.00,18.95
2026-01-14T06:14:00Z,82.27,17.30
2026-01-14T06:15:00Z,85.98,17.07
2026-01-14T06:16:00Z,85.61,16.77
2026-01-14T06:17:00Z,84.94,28.42
2026-01-14T06:18:00Z,86.28,13.60
2026-01-14T06:19:00Z,87.87,17.06
2026-01-14T06:20:00Z,86.26,17.20
2026-01-14T06:21:00Z,86.98,16.73
2026-01-14T06:22:00Z,79.18,22.54
2026-01-14T06:23:00Z,79.86,21.57
2026-01-14T06:24:00Z,81.21,16.48
2026-01-14T06:25:00Z,97.42,2.24
2026-01-14T06:26:00Z,99.00,1.00
2026-01-14T06:27:00Z,99.00,1.00
2026-01-14T06:28:00Z,99.00,1.00
2026-01-14T06:29:00Z,99.00,1.00
