# event_ticker=KXATPCHALLENGERMATCH-26MAR23SHIHON
# final_score=6-1 6-4
# match_winner=Naoya Honda
# fav_player=Naoya Honda
# dog_player=Sho Shimabukuro
# kalshi_date=2026-03-23
timestamp,Naoya Honda,Sho Shimabukuro
2026-03-23T15:02:00Z,9.00,
2026-03-23T17:41:00Z,9.00,
2026-03-23T19:18:00Z,9.00,
2026-03-23T19:33:00Z,10.00,
2026-03-23T20:10:00Z,10.00,
2026-03-23T20:12:00Z,10.00,
2026-03-23T21:55:00Z,10.00,92.00
2026-03-23T22:20:00Z,10.00,92.00
2026-03-23T22:25:00Z,9.00,92.00
2026-03-23T23:03:00Z,9.00,92.00
2026-03-23T23:08:00Z,8.00,92.00
2026-03-23T23:11:00Z,9.00,92.00
2026-03-23T23:17:00Z,9.00,92.00
2026-03-24T00:21:00Z,9.00,92.00
2026-03-24T00:34:00Z,9.00,92.00
2026-03-24T00:45:00Z,9.00,92.00
2026-03-24T00:46:00Z,9.00,92.00
2026-03-24T00:50:00Z,9.00,92.00
2026-03-24T00:51:00Z,9.00,92.00
2026-03-24T01:02:00Z,9.00,92.00
2026-03-24T01:05:00Z,9.00,92.00
2026-03-24T01:10:00Z,9.00,92.00
2026-03-24T01:14:00Z,9.00,92.00
2026-03-24T01:26:00Z,9.00,92.00
2026-03-24T01:27:00Z,9.00,92.00
2026-03-24T01:28:00Z,9.00,92.00
2026-03-24T01:29:00Z,9.00,92.00
2026-03-24T01:31:00Z,9.00,92.00
2026-03-24T01:42:00Z,8.00,92.00
2026-03-24T01:43:00Z,8.00,92.00
2026-03-24T01:51:00Z,8.35,92.00
2026-03-24T01:53:00Z,9.00,92.00
2026-03-24T01:57:00Z,9.00,92.00
2026-03-24T02:03:00Z,8.17,92.00
2026-03-24T02:08:00Z,8.17,94.00
2026-03-24T02:11:00Z,9.00,94.00
2026-03-24T02:15:00Z,9.00,93.00
2026-03-24T02:20:00Z,9.36,93.00
2026-03-24T02:21:00Z,9.00,93.00
2026-03-24T02:22:00Z,9.00,93.00
2026-03-24T02:23:00Z,9.00,93.00
2026-03-24T02:24:00Z,9.00,93.00
2026-03-24T02:25:00Z,9.13,93.00
2026-03-24T02:26:00Z,9.89,93.00
2026-03-24T02:27:00Z,10.00,93.00
2026-03-24T02:28:00Z,9.50,93.00
2026-03-24T02:29:00Z,7.58,93.00
2026-03-24T02:30:00Z,6.85,94.96
2026-03-24T02:31:00Z,5.98,95.00
2026-03-24T02:32:00Z,6.90,94.24
2026-03-24T02:33:00Z,8.94,93.01
2026-03-24T02:34:00Z,10.00,91.00
2026-03-24T02:35:00Z,11.48,89.13
2026-03-24T02:36:00Z,14.45,85.82
2026-03-24T02:37:00Z,19.18,81.75
2026-03-24T02:38:00Z,22.69,79.00
2026-03-24T02:39:00Z,25.83,75.00
2026-03-24T02:40:00Z,25.88,75.00
2026-03-24T02:41:00Z,24.74,76.42
2026-03-24T02:42:00Z,25.84,75.54
2026-03-24T02:43:00Z,23.82,75.31
2026-03-24T02:44:00Z,28.12,74.08
2026-03-24T02:45:00Z,29.38,70.82
2026-03-24T02:46:00Z,29.91,69.19
2026-03-24T02:47:00Z,32.83,68.47
2026-03-24T02:48:00Z,37.03,63.52
2026-03-24T02:49:00Z,44.31,56.74
2026-03-24T02:50:00Z,42.34,59.02
2026-03-24T02:51:00Z,42.95,58.11
2026-03-24T02:52:00Z,39.72,61.60
2026-03-24T02:53:00Z,42.26,59.40
2026-03-24T02:54:00Z,43.64,57.67
2026-03-24T02:55:00Z,43.27,56.97
2026-03-24T02:56:00Z,42.90,57.00
2026-03-24T02:57:00Z,42.23,57.70
2026-03-24T02:58:00Z,39.86,60.82
2026-03-24T02:59:00Z,38.39,60.88
2026-03-24T03:00:00Z,40.09,60.10
2026-03-24T03:01:00Z,44.42,57.01
2026-03-24T03:02:00Z,47.50,53.26
2026-03-24T03:03:00Z,47.26,56.75
2026-03-24T03:04:00Z,45.85,55.85
2026-03-24T03:05:00Z,42.97,58.71
2026-03-24T03:06:00Z,47.92,56.48
2026-03-24T03:07:00Z,42.68,58.88
2026-03-24T03:08:00Z,43.93,57.01
2026-03-24T03:09:00Z,43.83,57.85
2026-03-24T03:10:00Z,48.59,53.12
2026-03-24T03:11:00Z,48.24,53.31
2026-03-24T03:12:00Z,48.27,52.89
2026-03-24T03:13:00Z,44.61,56.80
2026-03-24T03:14:00Z,44.25,57.22
2026-03-24T03:15:00Z,47.06,52.27
2026-03-24T03:16:00Z,50.49,50.95
2026-03-24T03:17:00Z,57.59,45.69
2026-03-24T03:18:00Z,51.15,50.01
2026-03-24T03:19:00Z,45.96,55.20
2026-03-24T03:20:00Z,47.33,54.87
2026-03-24T03:21:00Z,50.63,50.48
2026-03-24T03:22:00Z,51.42,50.30
2026-03-24T03:23:00Z,49.83,50.64
2026-03-24T03:24:00Z,57.49,44.41
2026-03-24T03:25:00Z,68.33,34.60
2026-03-24T03:26:00Z,74.80,23.93
2026-03-24T03:27:00Z,88.03,11.74
2026-03-24T03:28:00Z,88.25,10.21
2026-03-24T03:29:00Z,94.13,6.26
2026-03-24T03:30:00Z,98.31,1.70
2026-03-24T03:31:00Z,98.66,1.18
2026-03-24T03:32:00Z,99.00,1.00
2026-03-24T03:33:00Z,99.00,1.00
2026-03-24T03:34:00Z,99.00,1.00
2026-03-24T03:35:00Z,99.00,1.00
