# event_ticker=KXATPCHALLENGERMATCH-26MAR24GIUJAC
# final_score=2-6 6-4 6-0
# score_resolution=6-2 4-6 0-6
# match_winner=Lorenzo Giustino
# fav_player=Kyrian Jacquet
# dog_player=Lorenzo Giustino
# kalshi_date=2026-03-24
timestamp,Kyrian Jacquet,Lorenzo Giustino
2026-03-24T00:29:00Z,75.00,
2026-03-24T00:32:00Z,75.00,
2026-03-24T00:42:00Z,75.00,26.00
2026-03-24T02:11:00Z,75.00,26.00
2026-03-24T02:45:00Z,75.00,26.00
2026-03-24T03:09:00Z,75.00,26.00
2026-03-24T03:52:00Z,75.00,26.00
2026-03-24T04:38:00Z,75.00,26.00
2026-03-24T04:51:00Z,75.00,26.00
2026-03-24T05:00:00Z,75.23,26.00
2026-03-24T05:01:00Z,76.00,26.00
2026-03-24T05:04:00Z,75.00,26.00
2026-03-24T05:06:00Z,75.00,27.00
2026-03-24T05:16:00Z,75.00,27.00
2026-03-24T05:19:00Z,75.00,27.00
2026-03-24T05:21:00Z,75.00,27.00
2026-03-24T05:22:00Z,75.00,27.00
2026-03-24T05:23:00Z,75.00,27.00
2026-03-24T06:12:00Z,74.00,27.00
2026-03-24T06:13:00Z,75.00,27.00
2026-03-24T06:44:00Z,75.00,27.00
2026-03-24T07:00:00Z,74.05,27.00
2026-03-24T07:19:00Z,74.05,27.00
2026-03-24T07:29:00Z,74.05,27.00
2026-03-24T07:45:00Z,75.00,27.00
2026-03-24T08:17:00Z,75.00,27.00
2026-03-24T08:25:00Z,75.00,27.00
2026-03-24T08:29:00Z,75.00,27.00
2026-03-24T08:45:00Z,75.00,27.00
2026-03-24T08:46:00Z,75.00,27.00
2026-03-24T08:51:00Z,75.00,27.00
2026-03-24T08:55:00Z,75.00,27.00
2026-03-24T08:56:00Z,75.00,27.00
2026-03-24T08:58:00Z,75.00,27.00
2026-03-24T09:02:00Z,76.22,26.12
2026-03-24T09:03:00Z,76.22,25.00
2026-03-24T09:04:00Z,76.22,25.00
