# event_ticker=KXATPCHALLENGERMATCH-26MAY19ORAJUS
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Guido Ivan Justo
# fav_player=Giovanni Oradini
# dog_player=Guido Ivan Justo
# kalshi_date=2026-05-19
timestamp,Giovanni Oradini,Guido Ivan Justo
2026-05-19T02:22:00Z,35.00,
2026-05-19T04:20:00Z,35.00,
2026-05-19T04:39:00Z,35.00,67.00
2026-05-19T06:12:00Z,35.00,68.00
2026-05-19T06:17:00Z,32.00,68.00
2026-05-19T06:48:00Z,34.00,68.00
2026-05-19T10:44:00Z,34.00,67.00
2026-05-19T10:49:00Z,34.00,67.00
2026-05-19T11:54:00Z,35.00,67.00
2026-05-19T12:35:00Z,35.00,67.00
2026-05-19T13:09:00Z,35.00,67.00
2026-05-19T13:43:00Z,35.00,65.08
2026-05-19T13:45:00Z,35.00,67.00
2026-05-19T13:47:00Z,35.00,67.00
2026-05-19T13:48:00Z,35.00,67.00
2026-05-19T13:50:00Z,35.90,67.72
2026-05-19T13:51:00Z,36.00,69.00
2026-05-19T13:55:00Z,36.00,68.94
2026-05-19T13:56:00Z,38.40,65.00
2026-05-19T13:58:00Z,35.00,64.00
2026-05-19T14:00:00Z,32.00,64.00
2026-05-19T14:02:00Z,33.00,66.94
2026-05-19T14:04:00Z,39.00,63.32
2026-05-19T14:05:00Z,39.00,64.00
2026-05-19T14:06:00Z,39.00,62.00
2026-05-19T14:07:00Z,48.83,60.00
2026-05-19T14:08:00Z,51.00,56.47
2026-05-19T14:09:00Z,55.00,49.59
2026-05-19T14:10:00Z,50.86,55.50
2026-05-19T14:11:00Z,41.22,59.17
2026-05-19T14:12:00Z,38.00,61.90
2026-05-19T14:13:00Z,39.00,63.00
2026-05-19T14:14:00Z,40.00,60.04
2026-05-19T14:15:00Z,40.92,59.26
2026-05-19T14:16:00Z,44.98,55.15
2026-05-19T14:17:00Z,42.00,56.01
2026-05-19T14:18:00Z,42.00,61.24
2026-05-19T14:19:00Z,36.00,64.97
2026-05-19T14:20:00Z,34.21,67.00
2026-05-19T14:21:00Z,37.49,65.80
2026-05-19T14:22:00Z,35.69,68.00
2026-05-19T14:23:00Z,31.47,71.00
2026-05-19T14:24:00Z,30.49,68.95
2026-05-19T14:25:00Z,31.73,72.00
2026-05-19T14:26:00Z,21.80,78.94
2026-05-19T14:27:00Z,21.00,79.00
2026-05-19T14:28:00Z,21.00,81.09
2026-05-19T14:29:00Z,21.00,81.46
2026-05-19T14:30:00Z,18.77,81.56
2026-05-19T14:31:00Z,18.77,83.00
2026-05-19T14:32:00Z,18.77,82.00
2026-05-19T14:33:00Z,20.00,82.00
2026-05-19T14:34:00Z,20.00,81.00
2026-05-19T14:35:00Z,20.00,80.00
2026-05-19T14:36:00Z,22.96,78.06
2026-05-19T14:37:00Z,21.97,78.50
2026-05-19T14:38:00Z,20.24,79.83
2026-05-19T14:39:00Z,20.00,79.00
2026-05-19T14:40:00Z,18.00,80.69
2026-05-19T14:42:00Z,18.00,82.01
2026-05-19T14:43:00Z,18.00,85.00
2026-05-19T14:44:00Z,18.00,85.00
2026-05-19T14:45:00Z,14.91,84.90
2026-05-19T14:46:00Z,15.00,87.00
2026-05-19T14:47:00Z,16.81,80.88
2026-05-19T14:48:00Z,20.00,81.00
2026-05-19T14:49:00Z,21.00,78.07
2026-05-19T14:50:00Z,21.00,80.00
2026-05-19T14:51:00Z,19.00,80.00
2026-05-19T14:52:00Z,22.00,80.00
2026-05-19T14:53:00Z,22.00,81.00
2026-05-19T14:55:00Z,22.00,81.08
2026-05-19T14:56:00Z,22.00,81.00
2026-05-19T14:57:00Z,21.00,79.00
2026-05-19T14:58:00Z,21.00,81.00
2026-05-19T14:59:00Z,21.00,82.10
2026-05-19T15:00:00Z,21.00,83.00
2026-05-19T15:01:00Z,14.09,85.00
2026-05-19T15:02:00Z,13.28,89.79
2026-05-19T15:03:00Z,12.98,87.72
2026-05-19T15:04:00Z,14.14,90.00
2026-05-19T15:05:00Z,14.59,86.89
2026-05-19T15:06:00Z,11.00,90.67
2026-05-19T15:07:00Z,8.31,91.97
2026-05-19T15:08:00Z,8.31,93.00
2026-05-19T15:09:00Z,8.86,92.00
2026-05-19T15:10:00Z,7.00,93.94
2026-05-19T15:11:00Z,9.00,91.20
2026-05-19T15:12:00Z,10.44,91.68
2026-05-19T15:13:00Z,7.55,93.27
2026-05-19T15:14:00Z,4.43,95.16
2026-05-19T15:15:00Z,3.00,97.08
2026-05-19T15:16:00Z,3.96,97.37
2026-05-19T15:17:00Z,5.76,94.77
2026-05-19T15:18:00Z,8.46,93.66
2026-05-19T15:19:00Z,9.43,92.00
2026-05-19T15:20:00Z,9.60,92.16
2026-05-19T15:21:00Z,6.00,94.00
2026-05-19T15:22:00Z,5.00,95.99
2026-05-19T15:23:00Z,5.00,96.00
2026-05-19T15:24:00Z,6.00,95.99
2026-05-19T15:25:00Z,6.00,95.00
2026-05-19T15:26:00Z,5.05,96.00
2026-05-19T15:27:00Z,3.72,96.56
2026-05-19T15:28:00Z,7.00,94.00
2026-05-19T15:29:00Z,6.90,94.00
2026-05-19T15:30:00Z,8.06,92.75
2026-05-19T15:31:00Z,9.63,91.00
2026-05-19T15:32:00Z,4.19,94.90
2026-05-19T15:33:00Z,7.78,89.14
