# event_ticker=KXATPCHALLENGERMATCH-26MAR05BERKUZ
# final_score=6-2 7-5
# match_winner=Dimitar Kuzmanov
# fav_player=Dimitar Kuzmanov
# dog_player=Robin Bertrand
# kalshi_date=2026-03-05
timestamp,Dimitar Kuzmanov,Robin Bertrand
2026-03-05T02:30:00Z,,39.00
2026-03-05T05:03:00Z,64.00,39.00
2026-03-05T05:32:00Z,65.00,39.00
2026-03-05T05:39:00Z,65.00,39.00
2026-03-05T05:46:00Z,65.00,39.00
2026-03-05T05:56:00Z,65.00,39.00
2026-03-05T05:58:00Z,65.00,39.00
2026-03-05T06:00:00Z,65.00,38.00
2026-03-05T06:05:00Z,65.00,38.00
2026-03-05T06:07:00Z,65.00,38.00
2026-03-05T06:09:00Z,65.00,38.00
2026-03-05T06:10:00Z,65.00,38.00
2026-03-05T06:14:00Z,65.00,38.00
2026-03-05T06:16:00Z,65.00,38.00
2026-03-05T06:21:00Z,65.00,38.00
2026-03-05T06:22:00Z,65.00,38.00
2026-03-05T06:23:00Z,65.00,38.00
2026-03-05T06:28:00Z,66.00,38.00
2026-03-05T06:30:00Z,65.00,38.00
2026-03-05T06:40:00Z,65.00,38.00
2026-03-05T06:47:00Z,65.00,37.00
2026-03-05T06:52:00Z,64.00,37.00
2026-03-05T06:54:00Z,64.00,37.00
2026-03-05T06:55:00Z,64.13,37.00
2026-03-05T06:56:00Z,65.00,37.00
2026-03-05T06:57:00Z,65.00,37.00
2026-03-05T07:01:00Z,65.00,35.00
2026-03-05T07:02:00Z,65.00,35.00
2026-03-05T07:03:00Z,65.00,35.00
2026-03-05T07:05:00Z,65.00,35.00
2026-03-05T07:06:00Z,65.00,35.00
2026-03-05T07:08:00Z,65.67,35.00
2026-03-05T07:10:00Z,65.67,36.00
2026-03-05T07:11:00Z,66.00,36.00
2026-03-05T07:21:00Z,66.00,36.00
2026-03-05T07:24:00Z,66.00,36.00
2026-03-05T07:26:00Z,66.00,36.00
2026-03-05T07:29:00Z,66.00,36.00
2026-03-05T07:31:00Z,66.00,36.00
2026-03-05T07:32:00Z,66.00,36.00
2026-03-05T07:40:00Z,65.00,36.00
2026-03-05T07:42:00Z,66.00,36.00
2026-03-05T07:46:00Z,66.00,36.00
2026-03-05T07:49:00Z,65.00,36.00
2026-03-05T07:55:00Z,65.00,36.00
2026-03-05T07:57:00Z,65.00,36.00
2026-03-05T07:59:00Z,65.00,36.00
2026-03-05T08:00:00Z,65.00,36.00
2026-03-05T10:01:00Z,71.30,15.29
2026-03-05T10:02:00Z,91.78,12.00
2026-03-05T10:05:00Z,88.00,13.74
2026-03-05T10:06:00Z,88.95,11.21
2026-03-05T10:07:00Z,91.38,9.00
2026-03-05T10:08:00Z,91.38,9.00
2026-03-05T10:09:00Z,90.97,9.00
2026-03-05T10:10:00Z,90.00,12.00
2026-03-05T10:11:00Z,89.40,10.33
2026-03-05T10:12:00Z,93.00,9.46
2026-03-05T10:13:00Z,95.01,4.69
2026-03-05T10:14:00Z,95.01,3.00
2026-03-05T10:15:00Z,95.01,2.89
2026-03-05T10:16:00Z,97.03,3.00
2026-03-05T10:17:00Z,97.03,3.06
2026-03-05T10:18:00Z,94.00,6.00
2026-03-05T10:19:00Z,92.00,8.83
2026-03-05T10:20:00Z,92.00,11.00
2026-03-05T10:21:00Z,86.27,13.00
2026-03-05T10:22:00Z,84.98,17.27
2026-03-05T10:23:00Z,82.77,17.97
2026-03-05T10:24:00Z,86.00,14.00
2026-03-05T10:25:00Z,82.00,23.00
2026-03-05T10:26:00Z,73.37,23.70
2026-03-05T10:27:00Z,75.77,26.94
2026-03-05T10:28:00Z,79.28,20.91
2026-03-05T10:29:00Z,81.91,20.87
2026-03-05T10:30:00Z,87.38,13.03
2026-03-05T10:31:00Z,89.00,12.97
2026-03-05T10:32:00Z,92.72,12.57
2026-03-05T10:33:00Z,97.58,1.92
2026-03-05T10:34:00Z,97.46,3.00
2026-03-05T10:35:00Z,98.98,1.84
2026-03-05T10:36:00Z,99.00,1.84
2026-03-05T10:37:00Z,99.00,1.84
2026-03-05T10:38:00Z,99.00,1.84
2026-03-05T10:40:00Z,99.00,1.84
2026-03-05T10:42:00Z,99.00,1.84
