# event_ticker=KXATPCHALLENGERMATCH-26MAY12HIJVUK
# final_score=6-1 6-7(3) 6-3
# score_resolution=6-1 6-7 6-3
# match_winner=Aleksandar Vukic
# fav_player=Aleksandar Vukic
# dog_player=Rinky Hijikata
# kalshi_date=2026-05-12
timestamp,Rinky Hijikata,Aleksandar Vukic
2026-05-12T01:05:00Z,61.00,
2026-05-12T01:08:00Z,61.00,
2026-05-12T01:21:00Z,60.00,
2026-05-12T01:57:00Z,59.00,
2026-05-12T02:23:00Z,59.00,42.00
2026-05-12T03:36:00Z,60.00,42.00
2026-05-12T03:47:00Z,60.00,42.00
2026-05-12T04:13:00Z,60.00,42.00
2026-05-12T04:17:00Z,60.00,42.00
2026-05-12T04:49:00Z,59.00,42.00
2026-05-12T05:12:00Z,59.00,42.00
2026-05-12T05:23:00Z,59.00,42.00
2026-05-12T05:45:00Z,59.00,42.00
2026-05-12T05:47:00Z,59.00,42.00
2026-05-12T06:14:00Z,60.00,42.00
2026-05-12T06:56:00Z,60.00,42.00
2026-05-12T07:03:00Z,60.00,42.00
2026-05-12T07:34:00Z,60.00,42.00
2026-05-12T07:38:00Z,60.00,42.00
2026-05-12T08:01:00Z,60.00,42.00
2026-05-12T08:16:00Z,59.00,42.00
2026-05-12T08:17:00Z,58.00,42.00
2026-05-12T08:18:00Z,59.00,42.00
2026-05-12T10:53:00Z,59.00,42.00
2026-05-12T10:56:00Z,59.00,42.00
2026-05-12T11:49:00Z,59.00,42.00
2026-05-12T11:59:00Z,59.00,42.00
2026-05-12T12:02:00Z,59.00,42.00
2026-05-12T12:03:00Z,59.00,42.00
2026-05-12T12:14:00Z,60.00,42.00
2026-05-12T12:23:00Z,60.00,42.00
2026-05-12T12:25:00Z,63.45,38.61
2026-05-12T12:26:00Z,64.00,38.61
2026-05-12T12:27:00Z,63.00,37.00
2026-05-12T12:28:00Z,63.51,37.00
2026-05-12T12:32:00Z,63.55,37.00
2026-05-12T12:35:00Z,64.00,37.00
2026-05-12T12:40:00Z,58.00,40.69
2026-05-12T12:41:00Z,56.00,44.99
2026-05-12T12:42:00Z,55.12,45.00
2026-05-12T12:43:00Z,53.38,46.00
2026-05-12T12:44:00Z,53.00,48.83
2026-05-12T12:45:00Z,50.78,49.55
2026-05-12T12:46:00Z,54.62,55.75
2026-05-12T12:47:00Z,54.42,46.39
2026-05-12T12:48:00Z,56.01,44.33
2026-05-12T12:49:00Z,53.24,46.26
2026-05-12T12:50:00Z,53.83,47.87
2026-05-12T12:51:00Z,52.32,48.66
2026-05-12T12:52:00Z,52.32,48.92
2026-05-12T12:53:00Z,48.73,54.24
2026-05-12T12:54:00Z,39.11,58.95
2026-05-12T12:55:00Z,38.00,58.95
2026-05-12T12:56:00Z,35.00,63.00
2026-05-12T12:57:00Z,36.00,63.06
2026-05-12T12:58:00Z,33.06,66.23
2026-05-12T12:59:00Z,32.00,68.00
2026-05-12T13:00:00Z,30.00,71.07
2026-05-12T13:01:00Z,28.30,72.34
2026-05-12T13:02:00Z,27.00,73.00
2026-05-12T13:03:00Z,24.00,75.00
2026-05-12T13:04:00Z,24.00,75.99
