# event_ticker=KXATPCHALLENGERMATCH-26MAR16NEDIVA
# final_score=7-5 6-2
# match_winner=Andrej Nedic
# fav_player=Andrej Nedic
# dog_player=Emanuel Ivanisevic
# kalshi_date=2026-03-16
timestamp,Andrej Nedic,Emanuel Ivanisevic
2026-03-16T03:09:00Z,95.00,6.00
2026-03-16T03:23:00Z,95.00,5.99
2026-03-16T03:25:00Z,95.00,6.00
2026-03-16T03:38:00Z,95.00,6.00
2026-03-16T03:43:00Z,95.00,5.00
2026-03-16T03:45:00Z,95.00,5.00
2026-03-16T04:00:00Z,95.00,4.25
2026-03-16T04:01:00Z,96.00,4.25
2026-03-16T04:05:00Z,96.00,4.00
2026-03-16T04:08:00Z,96.00,4.00
2026-03-16T04:10:00Z,96.00,4.00
2026-03-16T04:16:00Z,96.00,5.00
2026-03-16T04:18:00Z,96.00,5.00
2026-03-16T04:27:00Z,96.00,5.00
2026-03-16T04:29:00Z,95.00,5.00
2026-03-16T04:32:00Z,95.00,6.00
2026-03-16T04:33:00Z,95.00,7.00
2026-03-16T04:34:00Z,95.00,7.00
2026-03-16T04:35:00Z,95.00,7.00
2026-03-16T04:42:00Z,95.00,7.00
2026-03-16T04:45:00Z,95.00,7.00
2026-03-16T04:49:00Z,94.00,7.00
2026-03-16T04:52:00Z,94.00,7.00
2026-03-16T04:54:00Z,94.00,7.00
2026-03-16T04:57:00Z,94.00,7.00
2026-03-16T05:06:00Z,94.00,7.00
2026-03-16T05:11:00Z,94.00,7.00
2026-03-16T05:27:00Z,94.00,7.00
2026-03-16T05:31:00Z,94.00,7.00
2026-03-16T05:32:00Z,94.00,7.00
2026-03-16T05:38:00Z,94.00,7.00
2026-03-16T05:48:00Z,94.00,7.00
2026-03-16T05:49:00Z,94.00,7.00
2026-03-16T06:03:00Z,94.00,7.00
2026-03-16T06:07:00Z,94.00,7.00
2026-03-16T06:11:00Z,94.00,7.00
2026-03-16T06:17:00Z,94.00,7.00
2026-03-16T06:40:00Z,94.00,7.00
2026-03-16T06:43:00Z,94.00,7.00
2026-03-16T06:46:00Z,94.00,7.00
2026-03-16T07:08:00Z,94.00,7.00
2026-03-16T07:14:00Z,94.00,7.00
2026-03-16T07:51:00Z,94.00,7.00
2026-03-16T07:53:00Z,94.00,6.00
2026-03-16T07:57:00Z,94.00,7.00
2026-03-16T07:58:00Z,94.00,6.00
2026-03-16T08:00:00Z,94.00,7.00
2026-03-16T08:03:00Z,94.00,7.00
2026-03-16T08:04:00Z,94.00,7.00
2026-03-16T08:20:00Z,94.00,7.00
2026-03-16T08:32:00Z,94.00,7.00
2026-03-16T08:40:00Z,94.00,7.00
2026-03-16T08:45:00Z,94.00,6.24
2026-03-16T08:51:00Z,94.00,7.00
2026-03-16T09:04:00Z,94.00,7.00
