# event_ticker=KXATPMATCH-26MAY20COMMUN
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Jaume Munar
# fav_player=Francisco Comesana
# dog_player=Jaume Munar
# kalshi_date=2026-05-20
timestamp,Francisco Comesana,Jaume Munar
2026-05-19T23:38:00Z,,61.00
2026-05-20T00:28:00Z,40.00,61.00
2026-05-20T01:06:00Z,40.00,61.00
2026-05-20T01:12:00Z,40.00,61.00
2026-05-20T02:38:00Z,40.00,61.00
2026-05-20T02:49:00Z,40.00,61.00
2026-05-20T03:01:00Z,40.00,61.00
2026-05-20T03:17:00Z,40.00,61.00
2026-05-20T03:29:00Z,40.00,61.00
2026-05-20T03:30:00Z,40.00,61.00
2026-05-20T03:38:00Z,40.00,61.00
2026-05-20T03:48:00Z,40.00,61.00
2026-05-20T03:52:00Z,40.00,61.00
2026-05-20T03:58:00Z,40.00,61.00
2026-05-20T04:03:00Z,40.00,61.00
2026-05-20T04:07:00Z,40.00,61.00
2026-05-20T04:20:00Z,40.00,61.00
2026-05-20T04:21:00Z,40.00,61.00
2026-05-20T04:23:00Z,40.00,61.00
2026-05-20T04:30:00Z,40.00,61.00
2026-05-20T04:33:00Z,40.00,61.00
2026-05-20T04:35:00Z,40.00,61.00
2026-05-20T04:36:00Z,40.00,61.00
2026-05-20T04:45:00Z,40.00,61.00
2026-05-20T04:50:00Z,40.00,61.00
2026-05-20T04:51:00Z,40.00,61.00
2026-05-20T04:54:00Z,40.00,61.00
2026-05-20T05:00:00Z,40.00,61.00
2026-05-20T05:06:00Z,40.00,61.00
2026-05-20T05:16:00Z,40.00,61.00
2026-05-20T05:18:00Z,40.00,61.00
2026-05-20T05:20:00Z,40.00,61.00
2026-05-20T05:25:00Z,40.00,61.00
2026-05-20T05:41:00Z,40.00,61.00
2026-05-20T05:42:00Z,40.00,61.00
2026-05-20T05:45:00Z,40.00,61.00
2026-05-20T05:46:00Z,40.00,61.00
2026-05-20T05:52:00Z,40.00,61.00
2026-05-20T05:56:00Z,40.00,61.00
2026-05-20T05:59:00Z,40.00,61.00
2026-05-20T06:03:00Z,40.00,61.00
2026-05-20T06:12:00Z,40.00,61.00
2026-05-20T06:35:00Z,40.00,61.00
2026-05-20T06:36:00Z,40.00,61.00
2026-05-20T06:43:00Z,40.00,61.00
2026-05-20T06:44:00Z,40.00,61.00
