# event_ticker=KXATPCHALLENGERMATCH-26APR04RIBSAC
# final_score=7-5 7-5
# match_winner=Michele Ribecai
# fav_player=Michele Ribecai
# dog_player=Vitaliy Sachko
# kalshi_date=2026-04-04
timestamp,Michele Ribecai,Vitaliy Sachko
2026-04-04T12:02:00Z,35.20,77.00
2026-04-04T12:05:00Z,35.20,85.23
2026-04-04T12:08:00Z,35.00,88.00
2026-04-04T12:10:00Z,35.00,88.00
2026-04-04T12:16:00Z,40.00,88.00
2026-04-04T12:27:00Z,46.67,88.00
2026-04-04T12:28:00Z,42.44,77.87
2026-04-04T12:40:00Z,51.00,77.87
2026-04-04T12:42:00Z,42.00,63.00
2026-04-04T12:52:00Z,41.14,81.00
2026-04-04T12:53:00Z,42.00,58.16
2026-04-04T12:56:00Z,57.58,51.00
2026-04-04T12:57:00Z,57.58,57.54
2026-04-04T13:01:00Z,57.58,56.00
2026-04-04T13:04:00Z,57.58,56.00
2026-04-04T13:07:00Z,56.00,56.00
2026-04-04T13:08:00Z,64.00,56.00
2026-04-04T13:11:00Z,64.00,50.00
2026-04-04T13:14:00Z,64.00,56.00
2026-04-04T13:15:00Z,60.00,50.00
2026-04-04T13:19:00Z,60.00,53.00
2026-04-04T13:20:00Z,60.00,53.00
2026-04-04T13:22:00Z,61.69,49.89
2026-04-04T13:23:00Z,61.69,50.00
2026-04-04T13:24:00Z,61.69,53.54
2026-04-04T13:25:00Z,55.74,49.00
2026-04-04T13:26:00Z,54.00,46.00
2026-04-04T13:27:00Z,54.00,44.00
2026-04-04T13:28:00Z,59.00,44.00
2026-04-04T13:29:00Z,59.00,41.06
2026-04-04T13:30:00Z,62.00,41.00
2026-04-04T13:31:00Z,61.40,39.68
2026-04-04T13:32:00Z,66.00,37.00
2026-04-04T13:33:00Z,62.09,39.00
2026-04-04T13:34:00Z,62.09,48.79
2026-04-04T13:35:00Z,63.00,48.79
2026-04-04T13:36:00Z,62.95,48.79
2026-04-04T13:38:00Z,67.83,31.72
2026-04-04T13:40:00Z,71.00,35.47
2026-04-04T13:41:00Z,71.00,34.00
2026-04-04T13:42:00Z,71.00,34.18
2026-04-04T13:43:00Z,65.10,36.32
2026-04-04T13:44:00Z,65.10,38.59
2026-04-04T13:45:00Z,55.00,48.98
2026-04-04T13:46:00Z,52.00,50.19
2026-04-04T13:47:00Z,44.21,54.56
2026-04-04T13:48:00Z,49.00,54.00
2026-04-04T13:49:00Z,63.13,45.36
2026-04-04T13:50:00Z,63.13,33.44
2026-04-04T13:51:00Z,63.13,41.42
2026-04-04T13:52:00Z,63.00,35.12
2026-04-04T13:53:00Z,68.88,31.87
2026-04-04T13:54:00Z,62.70,44.57
2026-04-04T13:55:00Z,62.70,41.26
2026-04-04T13:56:00Z,48.37,46.09
2026-04-04T13:57:00Z,61.80,46.09
2026-04-04T13:58:00Z,51.00,46.05
2026-04-04T13:59:00Z,49.15,52.00
2026-04-04T14:00:00Z,50.07,54.00
2026-04-04T14:01:00Z,46.08,56.86
2026-04-04T14:02:00Z,49.00,50.66
2026-04-04T14:03:00Z,55.00,48.72
2026-04-04T14:04:00Z,64.90,48.72
2026-04-04T14:05:00Z,72.89,31.23
2026-04-04T14:06:00Z,72.89,34.75
2026-04-04T14:07:00Z,68.50,37.67
2026-04-04T14:08:00Z,59.79,38.00
2026-04-04T14:09:00Z,52.02,48.39
2026-04-04T14:10:00Z,52.77,49.23
2026-04-04T14:11:00Z,45.11,55.64
2026-04-04T14:12:00Z,45.11,55.00
2026-04-04T14:13:00Z,43.00,59.00
2026-04-04T14:14:00Z,39.83,60.72
2026-04-04T14:15:00Z,44.43,55.70
2026-04-04T14:16:00Z,48.09,49.12
2026-04-04T14:17:00Z,51.00,48.00
2026-04-04T14:18:00Z,54.00,47.85
2026-04-04T14:19:00Z,59.79,38.63
2026-04-04T14:20:00Z,69.00,31.33
2026-04-04T14:21:00Z,72.98,29.00
2026-04-04T14:22:00Z,71.86,29.00
2026-04-04T14:23:00Z,72.00,29.87
2026-04-04T14:24:00Z,71.73,29.93
2026-04-04T14:25:00Z,72.00,30.00
2026-04-04T14:26:00Z,71.84,29.16
2026-04-04T14:27:00Z,76.21,27.09
2026-04-04T14:28:00Z,77.24,26.54
2026-04-04T14:29:00Z,77.39,24.00
2026-04-04T14:30:00Z,77.07,26.48
2026-04-04T14:31:00Z,77.67,28.08
2026-04-04T14:32:00Z,74.94,27.31
2026-04-04T14:33:00Z,74.55,25.94
2026-04-04T14:34:00Z,73.35,29.06
