# event_ticker=KXATPCHALLENGERMATCH-26APR13RODCOR
# final_score=6-1 4-6 6-3
# match_winner=Federico Coria
# fav_player=Federico Coria
# dog_player=Lorenzo Joaquin Rodriguez
# kalshi_date=2026-04-13
timestamp,Federico Coria,Lorenzo Joaquin Rodriguez
2026-04-13T12:13:00Z,,45.00
2026-04-13T13:44:00Z,,45.00
2026-04-13T14:11:00Z,57.00,45.00
2026-04-13T14:19:00Z,57.00,45.00
2026-04-13T14:40:00Z,57.32,45.00
2026-04-13T14:50:00Z,57.32,43.00
2026-04-13T15:36:00Z,60.00,43.00
2026-04-13T15:48:00Z,59.00,43.00
2026-04-13T16:41:00Z,59.00,43.00
2026-04-13T17:36:00Z,59.00,43.00
2026-04-13T18:17:00Z,59.00,43.00
2026-04-13T18:31:00Z,58.00,43.00
2026-04-13T19:15:00Z,58.00,41.00
2026-04-13T19:36:00Z,58.00,41.00
2026-04-13T19:43:00Z,58.00,41.00
2026-04-13T19:46:00Z,58.00,41.00
2026-04-13T19:56:00Z,58.00,41.00
2026-04-13T19:57:00Z,59.00,41.00
2026-04-13T20:06:00Z,59.00,43.86
2026-04-13T20:17:00Z,58.49,43.86
2026-04-13T20:26:00Z,58.00,43.86
2026-04-13T20:39:00Z,58.89,43.86
2026-04-13T20:40:00Z,59.00,43.86
2026-04-13T20:42:00Z,59.00,43.86
2026-04-13T20:47:00Z,59.00,43.86
2026-04-13T20:54:00Z,59.00,43.86
2026-04-13T20:55:00Z,59.00,43.86
2026-04-13T20:56:00Z,58.00,43.86
2026-04-13T20:57:00Z,57.11,43.00
2026-04-13T20:59:00Z,58.00,43.00
2026-04-13T21:00:00Z,57.00,43.00
2026-04-13T21:02:00Z,59.01,43.00
2026-04-13T21:09:00Z,59.00,43.00
2026-04-13T21:11:00Z,59.00,43.00
2026-04-13T21:13:00Z,59.00,43.00
2026-04-13T21:18:00Z,56.06,43.00
2026-04-13T21:19:00Z,56.06,44.00
2026-04-13T21:21:00Z,58.00,44.00
2026-04-13T21:24:00Z,58.00,44.16
2026-04-13T21:26:00Z,58.99,44.16
2026-04-13T21:27:00Z,58.99,44.00
2026-04-13T21:32:00Z,58.98,44.00
2026-04-13T21:33:00Z,58.53,44.00
2026-04-13T21:34:00Z,58.00,44.00
2026-04-13T21:36:00Z,58.13,43.20
2026-04-13T21:37:00Z,58.00,43.20
2026-04-13T21:38:00Z,58.00,43.20
2026-04-13T21:39:00Z,58.00,43.00
2026-04-13T21:40:00Z,58.00,43.00
