# event_ticker=KXATPMATCH-25JUL17COMCAR
# final_score=6-1 6-4
# match_winner=Francisco Comesana
# fav_player=Francisco Comesana
# dog_player=Roberto Carballes Baena
# kalshi_date=2025-07-17
timestamp,Francisco Comesana,Roberto Carballes Baena
2025-07-17T00:21:00Z,65.00,
2025-07-17T01:01:00Z,65.00,37.00
2025-07-17T01:22:00Z,65.00,37.00
2025-07-17T02:24:00Z,65.00,37.00
2025-07-17T03:21:00Z,65.00,37.00
2025-07-17T03:44:00Z,65.00,37.00
2025-07-17T03:47:00Z,64.00,37.00
2025-07-17T03:49:00Z,64.00,37.00
2025-07-17T03:52:00Z,64.00,37.00
2025-07-17T04:14:00Z,64.00,37.00
2025-07-17T04:17:00Z,64.00,37.00
2025-07-17T04:24:00Z,64.00,37.00
2025-07-17T04:26:00Z,64.00,36.00
2025-07-17T04:43:00Z,64.00,36.00
2025-07-17T05:12:00Z,64.00,36.00
2025-07-17T05:37:00Z,64.00,35.00
2025-07-17T05:38:00Z,64.00,35.00
2025-07-17T05:40:00Z,64.00,35.00
2025-07-17T05:47:00Z,64.00,36.00
2025-07-17T05:50:00Z,64.00,36.00
2025-07-17T05:51:00Z,64.00,36.00
2025-07-17T05:52:00Z,64.00,36.00
2025-07-17T06:10:00Z,66.00,36.00
2025-07-17T06:21:00Z,66.00,36.00
2025-07-17T06:24:00Z,66.00,36.00
2025-07-17T06:29:00Z,66.00,36.00
2025-07-17T06:30:00Z,66.00,36.00
2025-07-17T06:32:00Z,66.00,36.00
2025-07-17T06:47:00Z,65.00,36.00
2025-07-17T06:48:00Z,66.00,36.00
2025-07-17T07:00:00Z,65.00,36.00
2025-07-17T12:01:00Z,83.00,36.00
