# event_ticker=KXATPMATCH-25OCT04RUBNIS
# final_score=2-6 6-1 6-4
# score_resolution=6-2 1-6 4-6
# match_winner=Yoshihito Nishioka
# fav_player=Andrey Rublev
# dog_player=Yoshihito Nishioka
# kalshi_date=2025-10-04
timestamp,Andrey Rublev,Yoshihito Nishioka
2025-10-03T18:49:00Z,76.00,33.00
2025-10-03T19:13:00Z,77.00,33.00
2025-10-03T19:16:00Z,77.00,33.00
2025-10-03T19:36:00Z,77.00,33.00
2025-10-03T19:41:00Z,77.90,33.00
2025-10-03T19:56:00Z,77.90,24.00
2025-10-03T20:08:00Z,77.90,24.00
2025-10-03T20:18:00Z,77.00,24.00
2025-10-03T20:40:00Z,77.00,24.00
2025-10-03T20:42:00Z,77.00,24.00
2025-10-03T21:07:00Z,77.00,24.00
2025-10-03T21:28:00Z,77.00,24.00
2025-10-03T21:30:00Z,77.00,24.00
2025-10-03T21:46:00Z,77.00,24.00
2025-10-03T21:49:00Z,77.00,24.00
2025-10-03T22:08:00Z,77.00,24.00
2025-10-03T22:13:00Z,77.00,24.00
2025-10-03T22:21:00Z,77.00,24.00
2025-10-03T22:41:00Z,77.00,24.00
2025-10-03T22:42:00Z,77.00,24.00
2025-10-03T23:08:00Z,77.00,24.00
2025-10-03T23:09:00Z,77.00,24.00
2025-10-03T23:18:00Z,77.00,24.00
2025-10-03T23:25:00Z,77.00,24.00
2025-10-03T23:27:00Z,77.00,24.00
2025-10-03T23:28:00Z,77.00,23.00
2025-10-03T23:53:00Z,77.00,23.00
2025-10-04T00:04:00Z,78.00,23.00
2025-10-04T00:05:00Z,78.00,23.00
2025-10-04T00:12:00Z,78.00,23.00
2025-10-04T00:24:00Z,78.00,23.00
2025-10-04T00:27:00Z,78.00,23.00
2025-10-04T00:29:00Z,78.00,23.00
2025-10-04T00:42:00Z,78.00,23.00
2025-10-04T00:47:00Z,78.00,23.00
2025-10-04T00:51:00Z,77.00,23.00
2025-10-04T01:07:00Z,78.00,23.00
2025-10-04T01:11:00Z,78.00,23.00
2025-10-04T01:12:00Z,78.00,23.00
2025-10-04T01:17:00Z,78.00,23.00
2025-10-04T01:19:00Z,78.00,23.00
2025-10-04T02:03:00Z,78.00,22.00
