# event_ticker=KXATPCHALLENGERMATCH-26MAR24POLIVA
# final_score=6-2 4-6 6-2
# score_resolution=2-6 6-4 2-6
# match_winner=Mili Poljicak
# fav_player=Emanuel Ivanisevic
# dog_player=Mili Poljicak
# kalshi_date=2026-03-24
timestamp,Emanuel Ivanisevic,Mili Poljicak
2026-03-23T23:11:00Z,12.00,
2026-03-24T00:31:00Z,12.00,90.00
2026-03-24T00:43:00Z,12.00,90.00
2026-03-24T00:49:00Z,12.00,90.00
2026-03-24T00:56:00Z,12.00,90.67
2026-03-24T02:41:00Z,12.00,94.00
2026-03-24T02:47:00Z,12.00,94.00
2026-03-24T03:08:00Z,7.00,94.00
2026-03-24T03:09:00Z,7.00,94.00
2026-03-24T03:13:00Z,7.00,94.00
2026-03-24T03:28:00Z,7.00,94.00
2026-03-24T03:29:00Z,7.00,94.00
2026-03-24T03:46:00Z,8.00,94.00
2026-03-24T03:48:00Z,8.00,94.00
2026-03-24T03:51:00Z,8.00,94.00
2026-03-24T03:52:00Z,8.00,94.00
2026-03-24T03:55:00Z,8.00,94.00
2026-03-24T03:59:00Z,8.00,94.00
2026-03-24T04:28:00Z,8.00,94.00
2026-03-24T04:32:00Z,8.00,94.00
2026-03-24T04:35:00Z,8.00,94.00
2026-03-24T04:36:00Z,9.00,94.00
2026-03-24T04:37:00Z,9.00,94.00
2026-03-24T04:38:00Z,9.00,94.00
2026-03-24T04:43:00Z,9.00,94.00
2026-03-24T04:48:00Z,9.00,94.00
2026-03-24T04:50:00Z,9.00,94.00
2026-03-24T04:56:00Z,9.00,94.00
2026-03-24T05:03:00Z,8.00,93.00
2026-03-24T05:05:00Z,8.00,93.00
2026-03-24T05:10:00Z,8.00,93.00
2026-03-24T05:15:00Z,8.00,93.00
2026-03-24T05:16:00Z,8.00,92.00
2026-03-24T05:20:00Z,8.00,93.00
2026-03-24T05:24:00Z,8.00,93.00
2026-03-24T05:42:00Z,8.00,93.00
2026-03-24T05:47:00Z,8.00,93.00
2026-03-24T05:57:00Z,8.00,93.00
2026-03-24T06:00:00Z,8.00,93.00
2026-03-24T06:11:00Z,8.00,93.00
2026-03-24T06:15:00Z,8.00,93.00
2026-03-24T06:31:00Z,8.00,93.00
2026-03-24T06:33:00Z,8.00,93.00
2026-03-24T06:38:00Z,8.00,93.00
2026-03-24T06:48:00Z,8.00,93.00
2026-03-24T06:55:00Z,8.00,93.00
2026-03-24T07:03:00Z,8.00,93.00
2026-03-24T07:10:00Z,8.00,93.00
2026-03-24T07:18:00Z,8.00,93.00
2026-03-24T07:23:00Z,8.00,93.00
2026-03-24T07:32:00Z,8.00,93.00
2026-03-24T07:55:00Z,6.00,93.00
2026-03-24T08:00:00Z,7.00,93.00
2026-03-24T08:02:00Z,7.00,93.00
2026-03-24T08:03:00Z,7.00,94.00
2026-03-24T08:04:00Z,7.00,94.00
2026-03-24T08:20:00Z,7.00,94.85
2026-03-24T08:21:00Z,7.89,94.85
2026-03-24T08:23:00Z,8.00,94.85
2026-03-24T08:24:00Z,8.00,94.85
2026-03-24T08:25:00Z,8.00,94.85
2026-03-24T08:30:00Z,8.00,94.85
2026-03-24T08:31:00Z,8.00,94.85
2026-03-24T08:32:00Z,8.00,94.85
2026-03-24T08:36:00Z,8.00,94.85
2026-03-24T08:38:00Z,8.00,94.85
2026-03-24T08:40:00Z,8.00,94.85
2026-03-24T08:48:00Z,7.00,94.85
2026-03-24T08:56:00Z,8.00,94.85
2026-03-24T09:05:00Z,7.93,94.85
2026-03-24T09:06:00Z,8.00,94.85
2026-03-24T09:07:00Z,8.00,94.00
2026-03-24T09:08:00Z,8.43,93.00
2026-03-24T09:09:00Z,9.00,93.00
2026-03-24T09:10:00Z,8.42,92.78
2026-03-24T09:11:00Z,6.59,92.78
2026-03-24T09:12:00Z,5.35,95.05
2026-03-24T09:13:00Z,5.62,95.79
2026-03-24T09:14:00Z,3.93,97.00
2026-03-24T09:15:00Z,4.67,98.00
2026-03-24T09:16:00Z,3.97,98.00
2026-03-24T09:17:00Z,3.56,98.00
2026-03-24T09:18:00Z,3.21,98.00
2026-03-24T09:19:00Z,4.87,98.00
2026-03-24T09:20:00Z,4.00,98.00
2026-03-24T09:21:00Z,2.90,98.00
2026-03-24T09:22:00Z,2.81,98.00
2026-03-24T09:23:00Z,3.33,98.00
2026-03-24T09:24:00Z,3.70,98.00
2026-03-24T09:25:00Z,4.00,98.00
2026-03-24T09:26:00Z,2.25,98.00
2026-03-24T09:27:00Z,2.20,98.00
2026-03-24T09:28:00Z,2.00,98.00
2026-03-24T09:29:00Z,2.21,97.00
2026-03-24T09:30:00Z,2.65,97.00
