# event_ticker=KXATPCHALLENGERMATCH-26MAR17HUEYUZ
# final_score=4-6 6-3 6-4
# score_resolution=6-4 3-6 4-6
# match_winner=Marc-Andrea Huesler
# fav_player=Takeru Yuzuki
# dog_player=Marc-Andrea Huesler
# kalshi_date=2026-03-17
timestamp,Takeru Yuzuki,Marc-Andrea Huesler
2026-03-17T10:06:00Z,16.00,
2026-03-17T10:38:00Z,13.00,87.00
2026-03-17T10:40:00Z,13.00,89.00
2026-03-17T10:55:00Z,13.00,89.00
2026-03-17T11:05:00Z,13.00,89.00
2026-03-17T11:15:00Z,13.00,89.00
2026-03-17T11:25:00Z,13.00,89.00
2026-03-17T11:35:00Z,13.00,89.00
2026-03-17T11:41:00Z,14.00,89.00
2026-03-17T11:45:00Z,14.00,89.00
2026-03-17T11:54:00Z,14.00,89.00
2026-03-17T12:00:00Z,14.00,89.00
2026-03-17T12:10:00Z,14.00,89.00
2026-03-17T12:20:00Z,14.00,89.00
2026-03-17T12:30:00Z,14.00,89.00
2026-03-17T12:39:00Z,14.00,89.00
2026-03-17T12:40:00Z,14.00,89.00
2026-03-17T12:50:00Z,14.00,89.00
2026-03-17T13:00:00Z,14.00,89.00
2026-03-17T13:10:00Z,14.00,89.00
2026-03-17T13:11:00Z,14.00,89.00
2026-03-17T13:20:00Z,14.00,89.00
2026-03-17T13:40:00Z,14.00,88.00
2026-03-17T13:50:00Z,14.00,88.00
2026-03-17T13:53:00Z,14.90,88.00
2026-03-17T14:09:00Z,14.90,88.00
2026-03-17T14:12:00Z,15.00,88.00
2026-03-17T14:56:00Z,15.00,86.00
2026-03-17T15:14:00Z,15.00,86.00
2026-03-17T15:33:00Z,15.00,86.00
2026-03-17T16:21:00Z,15.00,86.00
2026-03-17T16:32:00Z,14.00,86.00
2026-03-17T17:01:00Z,14.00,86.00
2026-03-17T17:03:00Z,15.00,86.00
2026-03-17T17:05:00Z,15.00,86.00
2026-03-17T17:28:00Z,15.00,86.00
2026-03-17T17:41:00Z,14.00,86.00
2026-03-17T17:46:00Z,15.00,86.00
2026-03-17T17:53:00Z,15.00,86.00
2026-03-17T17:54:00Z,14.00,86.00
2026-03-17T17:55:00Z,15.00,86.00
2026-03-17T18:03:00Z,15.00,86.00
2026-03-17T18:06:00Z,15.00,86.00
2026-03-17T18:08:00Z,15.00,86.00
2026-03-17T18:25:00Z,15.00,86.00
2026-03-17T18:27:00Z,14.00,86.00
2026-03-17T18:29:00Z,15.00,86.00
2026-03-17T18:41:00Z,14.00,86.00
2026-03-17T18:53:00Z,15.00,86.00
2026-03-17T18:58:00Z,15.00,85.00
2026-03-17T19:10:00Z,15.00,86.00
2026-03-17T19:35:00Z,14.00,86.00
2026-03-17T19:38:00Z,15.00,86.00
2026-03-17T19:45:00Z,15.00,86.00
2026-03-17T19:48:00Z,15.00,86.00
2026-03-17T19:53:00Z,15.00,86.00
2026-03-17T19:55:00Z,13.93,86.00
2026-03-17T20:12:00Z,12.00,86.00
2026-03-17T20:13:00Z,14.00,86.00
2026-03-17T20:15:00Z,14.00,86.00
2026-03-17T20:35:00Z,14.00,86.00
2026-03-17T20:38:00Z,14.00,86.00
2026-03-17T20:40:00Z,14.00,86.00
2026-03-17T20:45:00Z,14.00,86.00
2026-03-17T20:55:00Z,13.86,86.00
2026-03-17T20:57:00Z,13.00,86.00
2026-03-17T20:58:00Z,14.00,86.00
2026-03-17T20:59:00Z,14.00,86.00
2026-03-17T21:00:00Z,14.00,87.00
2026-03-17T21:03:00Z,14.00,87.00
2026-03-17T21:09:00Z,14.00,87.00
2026-03-17T21:13:00Z,14.44,87.00
2026-03-17T21:14:00Z,14.03,87.00
2026-03-17T21:15:00Z,14.00,87.00
2026-03-17T21:16:00Z,14.00,87.00
2026-03-17T21:17:00Z,14.00,86.00
2026-03-17T21:18:00Z,14.00,88.69
2026-03-17T21:19:00Z,12.20,88.00
2026-03-17T21:20:00Z,11.13,89.00
2026-03-17T21:21:00Z,11.00,90.00
2026-03-17T21:22:00Z,10.32,90.00
2026-03-17T21:23:00Z,10.19,89.99
