# event_ticker=KXATPMATCH-26MAR25TIASIN
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Jannik Sinner
# fav_player=Frances Tiafoe
# dog_player=Jannik Sinner
# kalshi_date=2026-03-25
timestamp,Frances Tiafoe,Jannik Sinner
2026-03-26T05:23:00Z,6.00,
2026-03-26T05:25:00Z,6.00,
2026-03-26T05:26:00Z,6.00,
2026-03-26T05:27:00Z,6.00,
2026-03-26T05:28:00Z,6.00,
2026-03-26T05:29:00Z,6.00,
2026-03-26T05:36:00Z,6.00,
2026-03-26T05:37:00Z,6.00,
2026-03-26T05:38:00Z,6.00,95.00
2026-03-26T05:39:00Z,6.00,93.00
2026-03-26T05:40:00Z,6.00,93.00
2026-03-26T05:41:00Z,6.00,93.00
2026-03-26T05:42:00Z,6.00,93.00
2026-03-26T05:43:00Z,6.00,93.00
2026-03-26T05:45:00Z,6.00,94.00
2026-03-26T05:47:00Z,6.00,94.00
2026-03-26T05:48:00Z,5.86,94.00
2026-03-26T05:50:00Z,6.00,94.00
2026-03-26T05:52:00Z,6.00,94.00
2026-03-26T05:53:00Z,6.00,94.00
2026-03-26T05:54:00Z,6.00,94.00
2026-03-26T05:56:00Z,6.00,94.00
2026-03-26T05:57:00Z,6.00,95.00
2026-03-26T05:58:00Z,6.00,95.00
2026-03-26T06:01:00Z,5.94,95.00
2026-03-26T06:03:00Z,6.00,95.00
2026-03-26T06:04:00Z,6.00,95.00
2026-03-26T06:06:00Z,6.00,95.00
2026-03-26T06:09:00Z,6.00,95.00
2026-03-26T06:10:00Z,6.00,95.00
2026-03-26T06:13:00Z,5.99,95.00
2026-03-26T06:14:00Z,6.00,95.00
2026-03-26T06:15:00Z,6.00,95.00
2026-03-26T06:17:00Z,6.00,95.00
2026-03-26T06:27:00Z,6.00,95.00
2026-03-26T06:28:00Z,6.00,95.00
2026-03-26T06:29:00Z,6.00,95.00
2026-03-26T06:30:00Z,6.00,95.00
2026-03-26T06:31:00Z,6.00,95.00
2026-03-26T06:32:00Z,6.00,95.00
2026-03-26T06:33:00Z,6.00,95.00
2026-03-26T06:34:00Z,6.00,95.00
2026-03-26T06:36:00Z,6.00,95.00
2026-03-26T06:37:00Z,6.00,95.00
2026-03-26T06:39:00Z,6.00,95.00
2026-03-26T06:41:00Z,6.00,95.00
2026-03-26T06:42:00Z,6.00,95.00
2026-03-26T06:44:00Z,5.00,95.00
2026-03-26T06:45:00Z,6.00,95.00
2026-03-26T06:49:00Z,5.00,95.00
2026-03-26T06:52:00Z,5.00,95.00
2026-03-26T06:53:00Z,5.00,95.00
2026-03-26T06:54:00Z,6.00,95.00
2026-03-26T06:56:00Z,6.00,95.00
2026-03-26T06:57:00Z,6.00,95.00
2026-03-26T06:58:00Z,6.00,93.40
2026-03-26T06:59:00Z,6.00,94.00
2026-03-26T07:00:00Z,7.00,93.00
2026-03-26T09:01:00Z,6.00,93.00
2026-03-26T09:02:00Z,6.00,93.00
2026-03-26T09:03:00Z,7.00,94.00
2026-03-26T09:04:00Z,7.00,94.00
2026-03-26T09:05:00Z,7.00,94.00
2026-03-26T09:06:00Z,7.00,95.00
2026-03-26T09:07:00Z,7.00,95.00
2026-03-26T09:11:00Z,7.00,95.00
2026-03-26T09:12:00Z,7.00,95.00
2026-03-26T09:15:00Z,7.00,95.00
2026-03-26T09:16:00Z,7.00,95.00
2026-03-26T09:17:00Z,7.00,95.00
2026-03-26T09:20:00Z,7.00,95.00
2026-03-26T09:21:00Z,7.00,94.00
2026-03-26T09:22:00Z,7.00,94.00
2026-03-26T09:23:00Z,7.00,94.00
2026-03-26T09:24:00Z,7.00,94.00
2026-03-26T09:25:00Z,6.00,95.00
2026-03-26T09:26:00Z,6.21,95.00
2026-03-26T09:29:00Z,7.00,95.00
2026-03-26T09:30:00Z,7.00,95.00
2026-03-26T09:32:00Z,7.00,95.00
2026-03-26T09:33:00Z,5.00,95.00
2026-03-26T09:35:00Z,5.00,93.46
2026-03-26T09:36:00Z,5.00,93.34
2026-03-26T09:38:00Z,6.00,93.00
2026-03-26T09:39:00Z,7.00,93.00
2026-03-26T09:40:00Z,7.00,93.00
2026-03-26T09:41:00Z,7.00,93.00
2026-03-26T09:42:00Z,7.00,93.00
2026-03-26T09:43:00Z,7.00,93.00
2026-03-26T09:44:00Z,7.00,93.00
2026-03-26T09:45:00Z,7.00,93.00
2026-03-26T09:46:00Z,7.00,93.00
2026-03-26T09:47:00Z,7.00,93.00
2026-03-26T09:48:00Z,7.00,93.00
2026-03-26T09:49:00Z,7.00,93.00
2026-03-26T09:54:00Z,7.00,93.00
2026-03-26T09:55:00Z,7.00,93.00
2026-03-26T09:58:00Z,7.00,94.40
2026-03-26T09:59:00Z,7.00,94.40
2026-03-26T10:01:00Z,7.00,94.40
2026-03-26T10:05:00Z,6.00,94.40
2026-03-26T10:09:00Z,7.00,94.40
2026-03-26T10:13:00Z,7.00,95.00
2026-03-26T10:15:00Z,7.00,95.00
2026-03-26T10:16:00Z,5.65,95.00
2026-03-26T10:17:00Z,7.00,95.00
2026-03-26T10:18:00Z,7.00,95.00
2026-03-26T10:20:00Z,7.00,95.00
2026-03-26T10:22:00Z,7.00,95.00
2026-03-26T10:25:00Z,5.00,95.00
2026-03-26T10:26:00Z,6.00,95.00
2026-03-26T10:30:00Z,7.00,95.00
2026-03-26T10:33:00Z,7.00,95.00
2026-03-26T10:37:00Z,6.00,95.00
2026-03-26T10:41:00Z,7.00,95.00
2026-03-26T10:44:00Z,7.00,95.00
2026-03-26T10:45:00Z,7.00,95.00
2026-03-26T10:49:00Z,6.00,95.00
2026-03-26T10:53:00Z,7.00,95.00
2026-03-26T11:01:00Z,7.00,95.00
2026-03-26T11:02:00Z,7.00,95.00
2026-03-26T11:06:00Z,6.00,95.00
2026-03-26T11:07:00Z,6.00,95.00
2026-03-26T11:11:00Z,6.00,95.00
2026-03-26T11:12:00Z,6.00,95.00
2026-03-26T11:14:00Z,6.00,95.00
2026-03-26T11:15:00Z,7.00,95.00
