# event_ticker=KXATPCHALLENGERMATCH-26APR07KIRFAU
# final_score=4-6 7-5 7-6(2)
# score_resolution=4-6 7-5 7-6
# match_winner=Strong Kirchheimer
# fav_player=Strong Kirchheimer
# dog_player=Thomas Faurel
# kalshi_date=2026-04-07
timestamp,Strong Kirchheimer,Thomas Faurel
2026-04-07T08:11:00Z,,72.00
2026-04-07T09:21:00Z,27.00,73.00
2026-04-07T09:22:00Z,27.00,77.00
2026-04-07T11:55:00Z,27.00,78.00
2026-04-07T12:37:00Z,27.00,78.00
2026-04-07T12:52:00Z,27.00,78.00
2026-04-07T14:11:00Z,27.00,80.00
2026-04-07T14:26:00Z,27.00,80.00
2026-04-07T15:41:00Z,27.00,80.00
2026-04-07T16:33:00Z,22.00,80.00
2026-04-07T16:42:00Z,22.00,80.00
2026-04-07T17:05:00Z,22.00,79.00
2026-04-07T17:18:00Z,22.00,79.00
2026-04-07T17:24:00Z,22.00,79.00
2026-04-07T17:31:00Z,22.00,80.00
2026-04-07T17:40:00Z,22.00,80.00
2026-04-07T17:55:00Z,22.00,80.00
2026-04-07T18:00:00Z,22.00,80.00
2026-04-07T18:02:00Z,23.00,80.00
2026-04-07T18:03:00Z,23.00,80.00
2026-04-07T18:04:00Z,23.00,80.00
2026-04-07T18:09:00Z,23.00,80.00
2026-04-07T18:14:00Z,20.10,80.00
2026-04-07T18:15:00Z,15.83,84.36
2026-04-07T18:16:00Z,14.00,86.00
2026-04-07T18:17:00Z,12.00,85.00
2026-04-07T18:18:00Z,15.40,85.00
2026-04-07T18:19:00Z,14.01,85.05
2026-04-07T18:20:00Z,11.48,88.05
2026-04-07T18:21:00Z,12.00,88.05
2026-04-07T18:22:00Z,12.07,88.05
2026-04-07T18:23:00Z,13.00,88.00
2026-04-07T18:24:00Z,14.00,87.00
2026-04-07T18:25:00Z,14.00,87.00
2026-04-07T18:26:00Z,14.00,87.00
2026-04-07T18:27:00Z,14.54,86.29
2026-04-07T18:28:00Z,15.00,86.79
2026-04-07T18:29:00Z,14.00,86.03
2026-04-07T18:30:00Z,14.87,85.26
