# event_ticker=KXATPMATCH-25AUG09DAVFON
# final_score=6-7(4) 5-4 RET
# match_winner=Joao Fonseca
# fav_player=Alejandro Davidovich Fokina
# dog_player=Joao Fonseca
# kalshi_date=2025-08-09
timestamp,Alejandro Davidovich Fokina,Joao Fonseca
2025-08-10T04:46:00Z,1.00,
2025-08-10T08:58:00Z,1.00,99.00
2025-08-10T11:24:00Z,1.00,99.00
2025-08-10T14:12:00Z,1.00,99.00
2025-08-10T14:39:00Z,1.00,99.00
2025-08-10T14:49:00Z,1.00,99.00
2025-08-10T15:19:00Z,1.00,99.00
