# event_ticker=KXATPCHALLENGERMATCH-26MAR17MORGAU
# final_score=7-6(2) 6-2
# score_resolution=7-6 6-2
# match_winner=Alejandro Moro Canas
# fav_player=Alejandro Moro Canas
# dog_player=Vilius Gaubas
# kalshi_date=2026-03-17
timestamp,Alejandro Moro Canas,Vilius Gaubas
2026-03-16T22:24:00Z,29.00,
2026-03-16T22:26:00Z,29.00,71.00
2026-03-16T23:46:00Z,33.00,71.00
2026-03-17T00:25:00Z,33.00,69.00
2026-03-17T00:29:00Z,30.00,69.00
2026-03-17T00:31:00Z,29.00,69.00
2026-03-17T00:41:00Z,30.00,69.00
2026-03-17T00:51:00Z,30.00,70.00
2026-03-17T01:53:00Z,30.00,70.00
2026-03-17T02:03:00Z,30.00,70.00
2026-03-17T02:08:00Z,30.00,70.00
2026-03-17T02:13:00Z,30.00,70.00
2026-03-17T02:17:00Z,30.00,70.00
2026-03-17T02:38:00Z,30.00,70.00
2026-03-17T02:44:00Z,30.00,70.00
2026-03-17T02:48:00Z,30.00,70.00
2026-03-17T02:53:00Z,30.00,70.00
2026-03-17T02:56:00Z,30.00,70.00
2026-03-17T02:59:00Z,30.00,70.00
2026-03-17T03:00:00Z,30.00,70.00
2026-03-17T03:01:00Z,30.00,70.00
2026-03-17T03:02:00Z,30.00,70.00
2026-03-17T03:30:00Z,31.00,70.00
2026-03-17T03:37:00Z,31.00,70.00
2026-03-17T03:39:00Z,31.00,70.00
2026-03-17T04:08:00Z,31.00,71.00
2026-03-17T04:28:00Z,31.00,70.00
2026-03-17T04:30:00Z,30.00,70.00
2026-03-17T04:41:00Z,31.00,70.00
2026-03-17T04:43:00Z,31.00,70.00
2026-03-17T04:53:00Z,31.00,70.00
2026-03-17T05:11:00Z,31.00,70.00
2026-03-17T05:18:00Z,31.00,70.71
2026-03-17T05:33:00Z,31.00,71.00
2026-03-17T06:01:00Z,31.00,70.00
2026-03-17T06:06:00Z,31.00,71.00
2026-03-17T06:24:00Z,31.00,71.00
2026-03-17T06:49:00Z,31.00,71.00
2026-03-17T06:54:00Z,31.00,69.00
2026-03-17T07:16:00Z,30.00,69.00
2026-03-17T07:23:00Z,30.00,69.00
2026-03-17T08:02:00Z,29.00,70.50
2026-03-17T08:32:00Z,29.00,71.00
2026-03-17T08:35:00Z,30.00,71.00
2026-03-17T08:36:00Z,30.00,71.00
2026-03-17T08:55:00Z,30.00,71.00
2026-03-17T09:18:00Z,30.00,71.00
2026-03-17T09:42:00Z,30.00,71.00
2026-03-17T09:48:00Z,30.00,71.00
2026-03-17T09:57:00Z,30.00,71.00
2026-03-17T10:00:00Z,30.00,71.00
2026-03-17T10:01:00Z,30.00,71.00
2026-03-17T10:03:00Z,30.00,70.00
2026-03-17T10:04:00Z,30.00,70.00
2026-03-17T10:06:00Z,28.00,71.00
2026-03-17T10:07:00Z,31.00,70.00
2026-03-17T10:08:00Z,31.96,70.00
2026-03-17T10:09:00Z,33.00,70.00
2026-03-17T10:10:00Z,33.00,70.00
2026-03-17T10:11:00Z,33.00,72.00
2026-03-17T10:12:00Z,35.91,68.11
2026-03-17T10:13:00Z,37.70,66.00
2026-03-17T10:14:00Z,41.00,63.83
2026-03-17T10:15:00Z,39.65,63.00
2026-03-17T10:16:00Z,38.15,68.52
2026-03-17T10:17:00Z,38.00,64.26
2026-03-17T10:18:00Z,39.38,63.52
2026-03-17T10:19:00Z,41.78,61.07
