# event_ticker=KXATPCHALLENGERMATCH-26JUN01MIDKOL
# final_score=7-5 6-1
# score_resolution=5-7 1-6
# match_winner=Lautaro Midon
# fav_player=Zdenek Kolar
# dog_player=Lautaro Midon
# kalshi_date=2026-06-01
timestamp,Lautaro Midon,Zdenek Kolar
2026-06-01T02:16:00Z,,59.00
2026-06-01T02:52:00Z,43.00,59.00
2026-06-01T03:04:00Z,42.00,59.00
2026-06-01T03:07:00Z,42.00,59.00
2026-06-01T04:44:00Z,42.00,59.00
2026-06-01T04:51:00Z,41.00,59.00
2026-06-01T04:59:00Z,40.00,59.00
2026-06-01T05:02:00Z,40.00,62.00
2026-06-01T05:20:00Z,40.00,62.00
2026-06-01T05:38:00Z,40.00,61.00
2026-06-01T06:03:00Z,40.00,61.00
2026-06-01T06:04:00Z,40.00,62.00
2026-06-01T06:09:00Z,40.00,62.00
2026-06-01T06:37:00Z,40.00,63.00
2026-06-01T06:38:00Z,40.00,63.00
2026-06-01T09:54:00Z,40.00,62.00
2026-06-01T10:33:00Z,40.00,62.00
2026-06-01T10:47:00Z,40.00,62.85
2026-06-01T11:20:00Z,39.00,62.85
2026-06-01T11:23:00Z,39.00,62.85
2026-06-01T11:42:00Z,39.00,63.00
2026-06-01T11:48:00Z,39.00,63.00
2026-06-01T11:49:00Z,39.00,63.00
2026-06-01T11:51:00Z,39.00,63.00
2026-06-01T12:15:00Z,39.00,64.00
2026-06-01T12:20:00Z,39.00,62.00
2026-06-01T12:24:00Z,36.00,62.00
2026-06-01T12:49:00Z,39.00,64.00
2026-06-01T13:08:00Z,39.00,64.00
2026-06-01T13:19:00Z,39.00,64.00
2026-06-01T13:30:00Z,39.00,64.00
2026-06-01T13:31:00Z,39.00,64.00
2026-06-01T13:52:00Z,39.00,64.00
2026-06-01T13:56:00Z,40.00,60.00
2026-06-01T13:57:00Z,37.00,61.00
2026-06-01T13:58:00Z,41.67,58.32
2026-06-01T13:59:00Z,47.96,51.20
2026-06-01T14:00:00Z,47.87,51.95
2026-06-01T14:01:00Z,49.61,50.65
2026-06-01T14:02:00Z,52.00,48.61
2026-06-01T14:03:00Z,46.55,55.33
2026-06-01T14:04:00Z,38.06,60.27
2026-06-01T14:05:00Z,36.66,64.02
2026-06-01T14:06:00Z,37.86,63.00
2026-06-01T14:07:00Z,35.84,64.11
2026-06-01T14:08:00Z,36.13,65.00
2026-06-01T14:09:00Z,34.00,65.00
2026-06-01T14:10:00Z,34.00,66.13
2026-06-01T14:11:00Z,32.90,68.00
2026-06-01T14:12:00Z,35.78,65.96
2026-06-01T14:13:00Z,35.14,66.34
2026-06-01T14:14:00Z,37.09,62.00
2026-06-01T14:15:00Z,38.52,62.91
2026-06-01T14:16:00Z,41.61,58.38
2026-06-01T14:17:00Z,38.17,61.71
2026-06-01T14:18:00Z,35.64,64.73
2026-06-01T14:19:00Z,35.98,65.49
2026-06-01T14:20:00Z,38.96,61.89
2026-06-01T14:21:00Z,38.96,60.00
