# event_ticker=KXATPCHALLENGERMATCH-26MAR18VALZAR
# final_score=6-2 6-2
# match_winner=Adolfo Daniel Vallejo
# fav_player=Adolfo Daniel Vallejo
# dog_player=Carlos Maria Zarate
# kalshi_date=2026-03-18
timestamp,Adolfo Daniel Vallejo,Carlos Maria Zarate
2026-03-18T12:17:00Z,,10.00
2026-03-18T12:31:00Z,,7.00
2026-03-18T13:28:00Z,,10.00
2026-03-18T13:35:00Z,,10.00
2026-03-18T13:51:00Z,92.00,10.00
2026-03-18T14:13:00Z,90.00,10.00
2026-03-18T14:26:00Z,92.00,9.00
2026-03-18T14:36:00Z,92.00,9.00
2026-03-18T14:38:00Z,92.00,9.00
2026-03-18T14:46:00Z,92.00,9.00
2026-03-18T14:53:00Z,92.00,9.00
2026-03-18T15:04:00Z,91.00,9.00
2026-03-18T15:06:00Z,91.00,9.00
2026-03-18T15:21:00Z,90.00,9.00
2026-03-18T15:40:00Z,92.00,9.00
2026-03-18T16:18:00Z,92.00,9.00
2026-03-18T17:52:00Z,92.00,9.00
2026-03-18T17:56:00Z,92.00,9.00
2026-03-18T17:58:00Z,93.00,9.00
2026-03-18T18:04:00Z,92.00,9.00
2026-03-18T18:10:00Z,93.00,9.00
2026-03-18T18:47:00Z,93.00,9.00
2026-03-18T19:14:00Z,93.00,8.00
2026-03-18T19:38:00Z,93.00,8.12
2026-03-18T19:44:00Z,93.00,9.00
2026-03-18T19:46:00Z,93.00,9.00
2026-03-18T20:10:00Z,93.00,7.00
2026-03-18T20:22:00Z,93.00,7.00
2026-03-18T20:24:00Z,93.00,9.00
2026-03-18T20:28:00Z,93.00,8.00
2026-03-18T20:29:00Z,93.00,8.00
2026-03-18T20:46:00Z,93.00,9.00
2026-03-18T20:54:00Z,93.00,9.00
2026-03-18T21:00:00Z,91.00,9.00
2026-03-18T21:02:00Z,91.00,9.00
2026-03-18T21:03:00Z,91.00,9.00
2026-03-18T21:08:00Z,91.00,8.90
2026-03-18T21:17:00Z,91.00,9.00
2026-03-18T21:19:00Z,93.00,9.00
2026-03-18T21:24:00Z,93.00,6.59
2026-03-18T21:27:00Z,93.00,8.00
2026-03-18T21:29:00Z,93.00,8.00
2026-03-18T21:31:00Z,92.00,8.00
2026-03-18T21:33:00Z,92.00,8.00
2026-03-18T21:34:00Z,92.00,8.57
2026-03-18T21:36:00Z,92.00,9.00
2026-03-18T21:38:00Z,92.00,9.00
2026-03-18T21:39:00Z,93.00,9.00
2026-03-18T21:41:00Z,93.00,9.00
2026-03-18T21:42:00Z,93.00,9.00
2026-03-18T21:45:00Z,93.00,8.00
2026-03-18T21:50:00Z,93.00,8.00
2026-03-18T21:52:00Z,93.00,9.00
2026-03-18T21:55:00Z,93.00,9.00
2026-03-18T21:57:00Z,93.00,9.21
2026-03-18T21:58:00Z,93.00,9.00
2026-03-18T21:59:00Z,93.00,9.00
2026-03-18T22:00:00Z,93.00,9.00
2026-03-18T22:01:00Z,93.00,9.00
2026-03-18T22:02:00Z,93.00,9.00
2026-03-18T22:04:00Z,93.00,9.00
2026-03-18T22:08:00Z,93.00,9.00
2026-03-18T22:12:00Z,92.00,9.00
2026-03-18T22:13:00Z,94.00,9.00
2026-03-18T22:14:00Z,94.00,9.00
2026-03-18T22:15:00Z,94.00,9.00
2026-03-18T22:17:00Z,92.00,9.00
2026-03-18T22:21:00Z,94.00,9.00
2026-03-18T22:22:00Z,92.00,8.00
2026-03-18T22:23:00Z,92.00,9.00
2026-03-18T22:24:00Z,92.00,9.00
2026-03-18T22:25:00Z,92.00,9.00
2026-03-18T22:26:00Z,92.00,9.25
2026-03-18T22:28:00Z,93.05,9.00
2026-03-18T22:29:00Z,92.00,9.30
2026-03-18T22:30:00Z,92.00,9.00
2026-03-18T22:31:00Z,92.00,9.00
2026-03-18T22:32:00Z,92.00,10.00
2026-03-18T22:33:00Z,92.00,9.00
2026-03-18T22:34:00Z,92.00,10.00
2026-03-18T22:35:00Z,92.00,9.56
2026-03-18T22:36:00Z,92.00,9.00
2026-03-18T22:37:00Z,92.00,9.74
2026-03-18T22:38:00Z,89.23,13.69
2026-03-18T22:39:00Z,89.83,11.63
2026-03-18T22:41:00Z,89.83,11.00
2026-03-18T22:42:00Z,89.83,11.00
2026-03-18T22:43:00Z,89.83,11.00
2026-03-18T22:44:00Z,91.00,11.00
2026-03-18T22:45:00Z,91.00,11.00
2026-03-18T22:46:00Z,91.00,11.09
2026-03-18T22:47:00Z,91.00,11.42
2026-03-18T22:48:00Z,91.00,11.37
2026-03-18T22:50:00Z,90.00,11.37
2026-03-18T22:51:00Z,90.00,11.00
2026-03-18T22:52:00Z,90.00,10.81
2026-03-18T22:54:00Z,90.00,11.00
2026-03-18T22:55:00Z,90.00,11.93
2026-03-18T22:56:00Z,91.00,11.00
2026-03-18T22:57:00Z,91.00,11.00
2026-03-18T22:58:00Z,91.00,10.00
2026-03-18T23:00:00Z,91.00,11.00
2026-03-18T23:02:00Z,91.00,11.00
2026-03-18T23:03:00Z,91.00,9.07
2026-03-18T23:05:00Z,91.00,11.00
2026-03-18T23:07:00Z,91.00,11.00
2026-03-18T23:08:00Z,91.00,11.88
2026-03-18T23:09:00Z,91.00,12.00
2026-03-18T23:10:00Z,91.00,12.00
2026-03-18T23:11:00Z,90.83,12.00
2026-03-18T23:12:00Z,90.83,12.00
2026-03-18T23:14:00Z,88.00,12.72
2026-03-18T23:15:00Z,88.00,11.00
2026-03-18T23:16:00Z,88.00,11.00
2026-03-18T23:17:00Z,88.00,11.00
2026-03-18T23:18:00Z,90.00,11.00
2026-03-18T23:19:00Z,90.00,11.00
2026-03-18T23:21:00Z,90.00,11.03
2026-03-18T23:22:00Z,90.00,13.00
2026-03-18T23:23:00Z,86.89,11.16
2026-03-18T23:24:00Z,86.89,13.42
2026-03-18T23:25:00Z,89.00,13.00
2026-03-18T23:26:00Z,89.00,11.00
2026-03-18T23:27:00Z,89.00,13.00
2026-03-18T23:28:00Z,89.00,11.10
2026-03-18T23:30:00Z,89.00,11.01
2026-03-18T23:31:00Z,91.41,12.32
2026-03-18T23:32:00Z,91.41,13.00
2026-03-18T23:33:00Z,90.00,13.42
2026-03-18T23:34:00Z,89.00,13.00
2026-03-18T23:35:00Z,89.00,13.00
2026-03-18T23:36:00Z,88.43,12.15
2026-03-18T23:37:00Z,88.43,12.93
2026-03-18T23:38:00Z,89.00,13.12
2026-03-18T23:39:00Z,89.00,12.41
2026-03-18T23:40:00Z,87.89,12.12
2026-03-18T23:41:00Z,90.43,11.85
2026-03-18T23:42:00Z,91.84,7.78
2026-03-18T23:43:00Z,94.16,6.49
2026-03-18T23:44:00Z,95.94,5.93
2026-03-18T23:45:00Z,96.00,5.50
2026-03-18T23:46:00Z,96.64,4.89
2026-03-18T23:47:00Z,96.01,4.05
2026-03-18T23:48:00Z,96.70,4.98
2026-03-18T23:49:00Z,97.78,3.24
2026-03-18T23:50:00Z,97.98,2.97
2026-03-18T23:51:00Z,98.00,2.48
2026-03-18T23:52:00Z,97.97,2.19
2026-03-18T23:53:00Z,98.00,2.03
2026-03-18T23:54:00Z,98.00,2.26
2026-03-18T23:55:00Z,98.02,2.03
2026-03-18T23:56:00Z,99.00,2.00
2026-03-18T23:57:00Z,98.00,2.50
2026-03-18T23:58:00Z,98.00,3.00
