# event_ticker=KXATPCHALLENGERMATCH-26MAR25ANDSCH
# final_score=6-4 6-0
# score_resolution=4-6 0-6
# match_winner=Tristan Schoolkate
# fav_player=Andres Andrade
# dog_player=Tristan Schoolkate
# kalshi_date=2026-03-25
timestamp,Andres Andrade,Tristan Schoolkate
2026-03-25T14:02:00Z,32.00,68.00
2026-03-25T14:21:00Z,31.98,68.00
2026-03-25T14:22:00Z,33.00,71.00
2026-03-25T14:24:00Z,31.00,71.00
2026-03-25T14:26:00Z,32.00,71.00
2026-03-25T14:27:00Z,30.00,71.00
2026-03-25T14:28:00Z,35.00,71.00
2026-03-25T14:31:00Z,30.00,71.00
2026-03-25T14:36:00Z,38.00,68.00
2026-03-25T14:38:00Z,38.00,68.00
2026-03-25T14:40:00Z,38.00,68.00
2026-03-25T14:41:00Z,38.00,68.00
2026-03-25T14:46:00Z,38.00,68.00
2026-03-25T14:51:00Z,38.00,68.00
2026-03-25T14:54:00Z,39.00,68.00
2026-03-25T14:55:00Z,39.00,63.00
2026-03-25T14:56:00Z,38.83,63.00
2026-03-25T15:01:00Z,39.00,63.00
2026-03-25T15:18:00Z,39.00,63.00
2026-03-25T15:20:00Z,39.00,63.00
2026-03-25T15:21:00Z,39.00,63.00
2026-03-25T15:26:00Z,39.00,63.00
2026-03-25T15:27:00Z,39.00,63.00
2026-03-25T15:28:00Z,39.00,63.00
2026-03-25T15:31:00Z,39.00,63.00
2026-03-25T15:33:00Z,39.00,63.00
2026-03-25T15:35:00Z,37.27,63.00
2026-03-25T15:36:00Z,37.00,63.00
2026-03-25T15:39:00Z,36.00,63.00
2026-03-25T15:41:00Z,37.00,63.00
2026-03-25T15:45:00Z,37.00,63.00
2026-03-25T15:46:00Z,37.00,63.00
2026-03-25T15:47:00Z,36.00,63.00
2026-03-25T15:48:00Z,38.00,63.00
2026-03-25T15:51:00Z,37.50,63.00
2026-03-25T15:53:00Z,36.00,63.00
2026-03-25T15:56:00Z,38.00,63.00
2026-03-25T15:57:00Z,37.00,64.00
2026-03-25T15:59:00Z,37.00,64.00
2026-03-25T16:01:00Z,38.50,64.00
2026-03-25T16:06:00Z,38.50,64.00
2026-03-25T16:49:00Z,38.50,61.00
2026-03-25T16:55:00Z,38.50,61.00
2026-03-25T17:33:00Z,38.50,61.00
2026-03-25T17:34:00Z,38.50,62.00
2026-03-25T17:52:00Z,38.50,62.00
2026-03-25T17:53:00Z,38.50,62.00
2026-03-25T18:00:00Z,38.50,62.00
2026-03-25T18:02:00Z,38.50,62.00
2026-03-25T18:27:00Z,38.00,62.00
2026-03-25T19:06:00Z,38.00,62.00
