# event_ticker=KXATPCHALLENGERMATCH-26FEB11CHISHE
# final_score=6-4 7-6(6)
# score_resolution=6-4 7-6
# match_winner=Alexander Shevchenko
# fav_player=Alexander Shevchenko
# dog_player=Clement Chidekh
# kalshi_date=2026-02-11
timestamp,Alexander Shevchenko,Clement Chidekh
2026-02-11T02:16:00Z,52.00,
2026-02-11T03:19:00Z,52.00,51.00
2026-02-11T03:35:00Z,52.00,51.00
2026-02-11T04:05:00Z,52.00,51.00
2026-02-11T04:23:00Z,52.00,51.00
2026-02-11T04:38:00Z,52.00,51.00
2026-02-11T04:40:00Z,53.00,51.00
2026-02-11T04:50:00Z,53.00,50.00
2026-02-11T04:52:00Z,53.00,47.00
2026-02-11T04:56:00Z,53.00,47.00
2026-02-11T05:08:00Z,53.00,47.00
2026-02-11T05:10:00Z,53.00,47.00
2026-02-11T05:14:00Z,53.00,47.00
2026-02-11T05:15:00Z,53.00,47.00
2026-02-11T05:20:00Z,52.00,47.00
2026-02-11T05:26:00Z,52.00,51.00
2026-02-11T05:36:00Z,52.00,51.00
2026-02-11T05:53:00Z,52.00,51.00
2026-02-11T05:56:00Z,52.00,51.00
2026-02-11T05:57:00Z,52.00,53.52
2026-02-11T05:58:00Z,50.00,53.52
2026-02-11T05:59:00Z,50.00,53.52
2026-02-11T06:05:00Z,50.00,51.17
2026-02-11T06:10:00Z,50.00,51.17
2026-02-11T06:11:00Z,50.00,51.00
2026-02-11T06:15:00Z,50.00,51.00
2026-02-11T06:22:00Z,49.00,51.00
2026-02-11T06:26:00Z,49.00,51.00
2026-02-11T06:30:00Z,49.13,51.00
2026-02-11T06:44:00Z,49.00,51.00
2026-02-11T06:48:00Z,49.00,51.00
2026-02-11T06:49:00Z,49.00,52.00
2026-02-11T06:51:00Z,49.00,52.00
2026-02-11T06:52:00Z,49.00,52.00
2026-02-11T06:53:00Z,49.00,50.00
2026-02-11T06:56:00Z,48.00,50.00
2026-02-11T06:59:00Z,48.00,52.00
2026-02-11T07:01:00Z,49.00,52.00
2026-02-11T07:08:00Z,49.00,52.00
2026-02-11T07:09:00Z,49.00,52.00
2026-02-11T07:21:00Z,49.00,52.00
2026-02-11T08:06:00Z,49.00,52.00
2026-02-11T08:20:00Z,49.00,52.00
2026-02-11T08:22:00Z,49.00,52.00
2026-02-11T08:36:00Z,49.00,51.00
2026-02-11T08:50:00Z,49.00,51.00
2026-02-11T08:53:00Z,49.00,51.00
2026-02-11T08:56:00Z,49.00,51.00
2026-02-11T09:04:00Z,49.00,51.00
2026-02-11T09:05:00Z,49.00,51.00
2026-02-11T09:06:00Z,49.00,51.00
2026-02-11T09:09:00Z,49.62,51.00
2026-02-11T09:23:00Z,50.00,51.96
2026-02-11T09:30:00Z,50.00,51.96
2026-02-11T09:33:00Z,50.00,51.96
2026-02-11T09:39:00Z,50.00,51.96
2026-02-11T09:48:00Z,50.00,51.96
2026-02-11T09:50:00Z,50.00,52.00
2026-02-11T10:16:00Z,50.00,52.00
2026-02-11T10:19:00Z,48.00,52.00
2026-02-11T10:29:00Z,50.00,52.00
2026-02-11T10:37:00Z,50.00,52.00
2026-02-11T10:42:00Z,50.00,52.00
2026-02-11T10:54:00Z,50.00,52.00
2026-02-11T10:57:00Z,48.00,52.00
2026-02-11T10:58:00Z,49.00,52.00
2026-02-11T11:25:00Z,50.32,52.00
2026-02-11T11:26:00Z,51.00,52.00
2026-02-11T11:30:00Z,51.00,52.00
2026-02-11T11:35:00Z,51.97,52.00
2026-02-11T11:36:00Z,51.97,51.46
2026-02-11T11:37:00Z,51.94,52.56
2026-02-11T11:38:00Z,51.00,52.56
2026-02-11T11:39:00Z,53.92,47.70
2026-02-11T11:40:00Z,51.78,47.70
2026-02-11T11:41:00Z,52.32,50.00
2026-02-11T11:42:00Z,49.00,53.76
2026-02-11T11:43:00Z,46.79,55.00
2026-02-11T11:44:00Z,50.10,49.08
2026-02-11T11:45:00Z,47.27,49.08
2026-02-11T11:46:00Z,48.06,53.96
2026-02-11T11:47:00Z,45.27,53.96
2026-02-11T11:48:00Z,48.73,53.02
2026-02-11T11:49:00Z,48.73,52.00
2026-02-11T11:50:00Z,51.00,52.00
2026-02-11T11:51:00Z,49.33,52.00
2026-02-11T11:52:00Z,43.61,52.00
2026-02-11T11:53:00Z,44.00,58.00
2026-02-11T11:54:00Z,46.59,56.37
2026-02-11T11:55:00Z,37.67,57.10
2026-02-11T11:56:00Z,36.38,59.70
2026-02-11T11:57:00Z,42.38,61.00
2026-02-11T11:58:00Z,46.29,51.00
2026-02-11T11:59:00Z,48.16,51.17
2026-02-11T12:00:00Z,52.25,48.66
2026-02-11T12:01:00Z,63.53,39.86
2026-02-11T12:02:00Z,61.00,37.68
2026-02-11T12:03:00Z,61.00,39.05
2026-02-11T12:04:00Z,65.61,36.76
2026-02-11T12:05:00Z,60.00,40.45
2026-02-11T12:06:00Z,49.89,48.42
2026-02-11T12:07:00Z,53.46,47.95
2026-02-11T12:08:00Z,48.56,52.30
2026-02-11T12:09:00Z,56.56,39.41
2026-02-11T12:10:00Z,66.00,37.00
2026-02-11T12:11:00Z,67.36,35.66
2026-02-11T12:12:00Z,65.98,34.55
2026-02-11T12:13:00Z,65.02,37.96
2026-02-11T12:14:00Z,71.13,36.17
2026-02-11T12:15:00Z,59.52,42.77
2026-02-11T12:16:00Z,60.99,38.25
2026-02-11T12:17:00Z,62.02,34.94
2026-02-11T12:18:00Z,61.77,41.68
2026-02-11T12:19:00Z,58.38,41.22
2026-02-11T12:20:00Z,67.02,35.77
2026-02-11T12:21:00Z,64.41,36.08
2026-02-11T12:22:00Z,64.53,36.01
2026-02-11T12:23:00Z,71.48,28.97
2026-02-11T12:24:00Z,68.62,30.04
2026-02-11T12:25:00Z,66.00,30.04
2026-02-11T12:26:00Z,66.16,34.00
2026-02-11T12:27:00Z,69.37,32.45
2026-02-11T12:28:00Z,71.30,30.00
